Time (s),Volume (m^3),Ne,N2,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(52),COX(53),CH3OX(48),CHOX(64),SX(57),CH2O2X(54),CH3X(25),CH4(24)
1.7322572726656025e-11,0.00264225016925734,0.0,0.0,0.007033912386735221,0.7998881045667048,0.09999400151202756,0.09999999983786638,7.494652675244432e-20,6.593520365721436e-24,1.5133014369891316e-24,3.7432262893518455e-32,2.3262629889098385e-35,7.022825057428119e-05,3.545774253602167e-17,6.156134448103589e-20,3.966702915067894e-24,5.998055607516741e-06,1.621335147646183e-10,2.7008631937589506e-10,1.8383268684722896e-22,1.5263128151900448e-25,3.6967823429547946e-19,5.853864805807418e-28,2.9620473840603646e-43,5.061027294094329e-33,7.678117296444003e-05,1.6227890396739287e-10,1.9307164396713655e-29,1.2789399609010607e-19,2.9871629189828814e-44,3.160607606064813e-30,1.1359871296742307e-36,1.078497780544636e-40
1.7415448432745572e-11,0.00264225016925734,0.0,0.0,0.007033135744523785,0.7998875150890371,0.09999399864428606,0.09999999983788427,7.587580391777726e-20,6.7527347904607e-24,1.5373703094208101e-24,3.9194877536850324e-32,2.4525640913603826e-35,7.059684746152425e-05,3.575414252822326e-17,2.847900272218385e-21,4.045925936206236e-24,6.000920120069927e-06,1.621156121340473e-10,2.7333320874466063e-10,1.848037739050902e-22,1.5343533260384884e-25,3.805877195071831e-19,6.0627329955813665e-28,3.037431846691324e-43,5.299319135068619e-33,7.718635056504332e-05,1.6226095219839733e-10,2.0095165736413897e-29,1.2925620176388008e-19,3.1457493475340036e-44,3.21871815144855e-30,1.1831869500480641e-36,1.135614385975299e-40
1.750832413883512e-11,0.00264225016925734,0.0,0.0,0.007032359317395866,0.799886925719813,0.09999399584235596,0.09999999983790217,7.594352533451615e-20,6.91490480044409e-24,1.557820477269017e-24,4.1029750327152905e-32,2.5849256345468613e-35,7.096536271034877e-05,3.60939085702795e-17,2.658029392103143e-20,4.126294967252662e-24,6.003718802594686e-06,1.6209771434274572e-10,2.7659872561468025e-10,1.8577464439662658e-22,1.542390184318538e-25,3.9175294290870237e-19,6.277773300909242e-28,3.0877960326229644e-43,5.5473785272235766e-33,7.75914605319222e-05,1.622430058151479e-10,2.0910598420572844e-29,1.3062541475487204e-19,3.311767293232322e-44,3.277620440662362e-30,1.2320603944375371e-36,1.1954084850662345e-40
1.7601199844924667e-11,0.00264225016925734,0.0,0.0,0.007031583104077515,0.7998863364590003,0.09999399310501125,0.09999999983792007,7.818701101462504e-20,7.080069513400727e-24,1.588257467358772e-24,4.293940217808893e-32,2.723600124559921e-35,7.133379635240863e-05,3.6332121784903725e-17,5.785271644808752e-20,4.2078322201224305e-24,6.0064528811440105e-06,1.6207982155294252e-10,2.79882847588159e-10,1.8674529840643386e-22,1.5504233926273983e-25,4.0317831850197125e-19,6.499129897601677e-28,3.1581364301468282e-43,5.805546180853824e-33,7.79965028813943e-05,1.6222506478049341e-10,2.1754251724465866e-29,1.3200163224261679e-19,3.485518659620049e-44,3.337219978472483e-30,1.2826565449960978e-36,1.2579893540185901e-40
1.7694075551014215e-11,0.00264225016925734,0.0,0.0,0.007030807103317794,0.7998857473065674,0.09999399043104863,0.09999999983793795,7.907923462038306e-20,7.248268381388327e-24,1.6128352507895417e-24,4.4926426477956517e-32,2.8688489866277887e-35,7.170214841910272e-05,3.66353497516571e-17,5.3903503741244665e-21,4.2901130579429706e-24,6.009123558979077e-06,1.620619337260462e-10,2.83185552374595e-10,1.8771573601887528e-22,1.5584529535649218e-25,4.148683082981443e-19,6.726949422984654e-28,3.2376257008140987e-43,6.074172599140208e-33,7.840147762970263e-05,1.6220712905795097e-10,2.2626932817102032e-29,1.3338485140800192e-19,3.6673157260035034e-44,3.397474168300653e-30,1.3350256189851387e-36,1.323469942072141e-40
1.7786951257103763e-11,0.00264225016925734,0.0,0.0,0.0070300313138883345,0.799885158262482,0.09999398781928727,0.09999999983795584,7.924702743500257e-20,7.419541192701602e-24,1.6343855474177859e-24,4.699349072456251e-32,3.0209428232546026e-35,7.207041894176358e-05,3.697436908871272e-17,2.9243112450329035e-20,4.373615537938241e-24,6.011732016996089e-06,1.6204405066120027e-10,2.8650681779231954e-10,1.88685957317795e-22,1.5664788697205688e-25,4.2682742265714903e-19,6.961381002022253e-28,3.290020045840672e-43,6.353618298975418e-33,7.880638479301713e-05,1.6218919861169443e-10,2.3529467055878366e-29,1.3477506943326428e-19,3.857481438625046e-44,3.458547421371885e-30,1.3892189878375857e-36,1.3919671700423217e-40
1.787982696319331e-11,0.00264225016925734,0.0,0.0,0.007029255734582925,0.7998845693267128,0.09999398526856827,0.09999999983797372,8.151277590073208e-20,7.593928073792224e-24,1.665651617945057e-24,4.9143338186874133e-32,3.180161678190213e-35,7.243860795162519e-05,3.7218316462877424e-17,5.3601916883281217e-20,4.458264837092551e-24,6.014279414140983e-06,1.620261725158943e-10,2.89846621769942e-10,1.8965596238668573e-22,1.5745011436760432e-25,4.390602204671272e-19,7.202576274115515e-28,3.364214663332686e-43,6.644254035403847e-33,7.92112243874357e-05,1.6217127340654273e-10,2.4462698284446426e-29,1.3617228350198596e-19,4.056349708341582e-44,3.52032355203091e-30,1.4452891964475695e-36,1.463602007080715e-40
1.7972702669282858e-11,0.00264225016925734,0.0,0.0,0.007028480364217108,0.799883980499228,0.09999398277775419,0.09999999983799158,8.235952064186464e-20,7.771469491200259e-24,1.6907076076611988e-24,5.137878959355507e-32,3.346795306307684e-35,7.280671547968687e-05,3.752862010379903e-17,8.362951649929193e-21,4.5436920868400625e-24,6.0167668878154585e-06,1.6200829923455445e-10,2.9320494234770367e-10,1.906257513088205e-22,1.5825197780149408e-25,4.51571309239903e-19,7.450689419172666e-28,3.4471671917551487e-43,6.946461029690032e-33,7.961599642898574e-05,1.621533534079486e-10,2.5427489133222825e-29,1.3757649079909075e-19,4.2642657147670695e-44,3.5827713445913936e-30,1.503289982673712e-36,1.5384994237624856e-40
1.8065578375372405e-11,0.00264225016925734,0.0,0.0,0.007027705201627759,0.7998833917799963,0.09999398034572883,0.09999999983800946,8.267665254842031e-20,7.952206253497211e-24,1.713598997025788e-24,5.370274484853229e-32,3.5211434494567986e-35,7.317474155688696e-05,3.7864923420129894e-17,3.1779926324539916e-20,4.630406587486399e-24,6.0191955542803345e-06,1.6199043064662516e-10,2.965817576787436e-10,1.9159532416696325e-22,1.590534775310814e-25,4.643653454503095e-19,7.705877184086591e-28,3.5022404814579827e-43,7.260631201036387e-33,8.002070093362513e-05,1.621354385819873e-10,2.6424721323034925e-29,1.3898768851084088e-19,4.481586216698495e-44,3.646060873814572e-30,1.563276296996236e-36,1.6167887111229252e-40
1.8158454081461953e-11,0.00264225016925734,0.0,0.0,0.007026930245672702,0.7998828031689864,0.0999939779713967,0.09999999983802733,8.492121810940488e-20,8.136179513240525e-24,1.7455069934819124e-24,5.61181847741696e-32,3.703516118436936e-35,7.354268621405964e-05,3.8116472567455894e-17,4.920625916677088e-20,4.7182416395312505e-24,6.021566509047382e-06,1.619725668979384e-10,2.9997704603027987e-10,1.9256468104356374e-22,1.5985461381304946e-25,4.774470347028547e-19,7.9682989098748285e-28,3.580604821559813e-43,7.587167402026768e-33,8.042533791724382e-05,1.6211752889534552e-10,2.745529597200346e-29,1.4040587382483304e-19,4.708679869393588e-44,3.710058072338917e-30,1.625304322405305e-36,1.6986035455067896e-40
1.82513297875515e-11,0.00264225016925734,0.0,0.0,0.007026155495230315,0.7998822146661673,0.09999397565368265,0.09999999983804518,8.572691893013111e-20,8.323430768939414e-24,1.771068300969896e-24,5.862817288210884e-32,3.894233881160256e-35,7.391054948182688e-05,3.843350249090684e-17,1.1671699650028302e-20,4.806906355748104e-24,6.0238808272634985e-06,1.6195470791863663e-10,3.033907857847065e-10,1.9353382202085583e-22,1.6065538690417923e-25,4.908211318396487e-19,8.23811655802289e-28,3.6663413313870245e-43,7.926483657804216e-33,8.082990739566466e-05,1.6209962431531016e-10,2.852013390507413e-29,1.4183104392999552e-19,4.945927548593096e-44,3.7747492216479076e-30,1.6894314945008865e-36,1.7840819614013321e-40
1.8344205493641048e-11,0.00264225016925734,0.0,0.0,0.007025380949199156,0.7998816262715078,0.09999397339153154,0.09999999983806304,8.622777825886872e-20,8.514001867032171e-24,1.7954787099158566e-24,6.123585717193336e-32,4.093628157076187e-35,7.427833139075247e-05,3.876593876115723e-17,3.3924319928702945e-20,4.896909394032771e-24,6.026139564091749e-06,1.619368535710829e-10,3.068229554406125e-10,1.9450274718058114e-22,1.6145579706029422e-25,5.0449244127389e-19,8.51549473733245e-28,3.724826896314278e-43,8.279005409004676e-33,8.123440938464487e-05,1.620817248097582e-10,2.962017596675759e-29,1.4326319601658466e-19,5.193722681093806e-44,3.84029931915029e-30,1.755716521750783e-36,1.873366683168278e-40
1.8437081199730596e-11,0.00264225016925734,0.0,0.0,0.007024606606497574,0.799881037984977,0.09999397118390789,0.0999999998380809,8.84112120925359e-20,8.707935003874746e-24,1.827853018373078e-24,6.394447195827234e-32,4.302041518011113e-35,7.464603197129074e-05,3.902665400207017e-17,4.502618142004377e-20,4.988008034462148e-24,6.028343755081635e-06,1.619190039836627e-10,3.1027353361372215e-10,1.954714566042026e-22,1.622558445366441e-25,5.184658171446007e-19,8.800600731372216e-28,3.8075733809034616e-43,8.645169758528851e-33,8.163884389987708e-05,1.6206383034714545e-10,3.0756383337112047e-29,1.4470232727618158e-19,5.45247158252671e-44,3.906562607383399e-30,1.824219405984091e-36,1.9666051773577554e-40
1.8529956905820144e-11,0.00264225016925734,0.0,0.0,0.007023832466063357,0.7998804498065442,0.09999396902979533,0.09999999983809874,8.919269415965458e-20,8.905272727740559e-24,1.854004236517017e-24,6.675733972635736e-32,4.519827995487733e-35,7.501365125370694e-05,3.934954851020453e-17,1.5173842953804513e-20,5.080002740372368e-24,6.030494416532623e-06,1.6190115907672179e-10,3.1374249903776133e-10,1.9643995037296337e-22,1.6305552958847723e-25,5.327461634414023e-19,9.093604525108385e-28,3.895491706974435e-43,9.025425722154149e-33,8.204321095699044e-05,1.6204594089649634e-10,3.1929737850397924e-29,1.4614843490168904e-19,5.722593802154732e-44,3.973546500974018e-30,1.895001463093176e-36,2.063949654777598e-40
1.862283261190969e-11,0.00264225016925734,0.0,0.0,0.00702305852685336,0.7998798617361786,0.09999396692819656,0.09999999983811658,8.989338228866614e-20,9.106057940831653e-24,1.8800307156299337e-24,6.9677873016213e-32,4.7473533946010426e-35,7.538118926820841e-05,3.967784645709052e-17,3.5518222415579166e-20,5.1733693106715835e-24,6.032592545854024e-06,1.6188331874511797e-10,3.1722983056525053e-10,1.9740822856763807e-22,1.6385485247014405e-25,5.473384343267418e-19,9.394678832134096e-28,3.958156794131934e-43,9.420234483011854e-33,8.244751057155188e-05,1.620280564273936e-10,3.314124231701236e-29,1.4760151608732855e-19,6.004522474513224e-44,4.0414007079143886e-30,1.9681253439000374e-36,2.165557405925917e-40
1.871570831799924e-11,0.00264225016925734,0.0,0.0,0.007022284787843151,0.7998792737738499,0.09999396487813271,0.09999999983813443,9.198390343570591e-20,9.310333901300905e-24,1.9127294012326613e-24,7.270957633612403e-32,4.984995614612703e-35,7.574864604488937e-05,3.9948819256003553e-17,4.134669897563244e-20,5.267813555080458e-24,6.0346391219149605e-06,1.6186548309569403e-10,3.207355071682297e-10,1.9837629126875436e-22,1.646538134355066e-25,5.622476342811877e-19,9.703999122401088e-28,4.045342984059393e-43,9.830069650015072e-33,8.285174275906717e-05,1.6201017690996815e-10,3.4391920848654626e-29,1.4906156802863716e-19,6.298704678611144e-44,4.1099757988887685e-30,2.0436550552609873e-36,2.2715908430219794e-40
1.8808584024088786e-11,0.00264225016925734,0.0,0.0,0.007021511248026674,0.7998786859195276,0.09999396287864314,0.09999999983815225,9.276714052668266e-20,9.518144225285448e-24,1.939599286531209e-24,7.585604810534332e-32,5.233144976321583e-35,7.611602161367714e-05,4.02763952469887e-17,1.8695643259030906e-20,5.363230122824116e-24,6.036635105388335e-06,1.6184765204441255e-10,3.2425950793891367e-10,1.9934413855661146e-22,1.654524127383275e-25,5.774788182472134e-19,1.0021743649157484e-27,4.135017270847006e-43,1.025541752023312e-32,8.32559075349818e-05,1.61992302314889e-10,3.568281918620834e-29,1.5052858792246442e-19,6.605601804422696e-44,4.179300884481225e-30,2.1216559813765336e-36,2.3822175383731406e-40
