Time (s),Volume (m^3),Ne,N2,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(52),COX(53),CH3OX(48),CHOX(64),SX(57),CH2O2X(54),CH3X(25),CH4(24),CH4X(275)
8.487499398181615e-10,0.00299236199292705,0.0,0.0,0.004134942190504715,0.796938564631575,0.09999890949067768,0.09999999978060281,2.3062422587399013e-13,1.0898908835952473e-15,5.613527126852843e-18,1.053155974087376e-20,5.2351857679294726e-23,0.0018836029658208134,2.796810965373978e-14,6.654508108363965e-17,2.192423729060964e-17,9.999939695850658e-07,2.1913872577760958e-10,9.029358541232998e-08,1.1929001860202022e-19,1.8489060691605773e-22,2.795129918218731e-12,3.1059342061832134e-20,3.671595622653518e-34,3.5367078669812266e-22,0.0021195887356986565,2.1922828914862987e-10,1.5766118504256277e-18,1.4047422006191073e-15,5.395375649366691e-32,5.3259974066477805e-24,2.9216597961056854e-27,5.994902027890031e-19,1.1678617336229123e-16
8.54244380315922e-10,0.00299236199292705,0.0,0.0,0.004122873138694326,0.7969295856695175,0.09999891168527074,0.09999999978123927,2.3392450547327236e-13,1.1228526939986054e-15,5.710713576928075e-18,1.0912060455185865e-20,5.373613800729681e-23,0.0018897882649614004,2.7884550306970654e-14,6.676269553314523e-17,2.2177969401209687e-17,9.970709186437786e-07,2.1849906474204025e-10,9.102261963822117e-08,1.1967967613811566e-19,1.8530003687250607e-22,2.862354762434078e-12,2.0851004445572006e-20,3.747867964655671e-34,3.6578654945930054e-22,0.0021254746835980814,2.1858788298727578e-10,1.6321744024711578e-18,1.4172058212329716e-15,5.548535323285568e-32,5.402556741934893e-24,3.1065893103329813e-27,6.364771825149365e-19,1.2097887246361705e-16
8.597388208136825e-10,0.00299236199292705,0.0,0.0,0.004110899814647149,0.7969206842741787,0.09999891385734472,0.09999999978187062,2.3724635156357486e-13,1.1565733232542052e-15,5.808847408898995e-18,1.1297106972345303e-20,5.496052879960041e-23,0.0018959371962795279,2.780161908694257e-14,6.697901939562557e-17,2.2432466009885647e-17,9.94171067936544e-07,2.1786447738427508e-10,9.175096657479046e-08,1.2006702854452339e-19,1.8570619281738809e-22,2.9306516362167775e-12,3.588437055332667e-20,3.8251250261085386e-34,3.7801144741039544e-22,0.002131301249032588,2.179525575846495e-10,1.6892538838799795e-18,1.429682009485738e-15,5.623100710912736e-32,5.479601309919999e-24,3.333462710665367e-27,6.747731518672545e-19,1.2521993476724874e-16
8.652332613114429e-10,0.00299236199292705,0.0,0.0,0.004099021310351477,0.7969118597334042,0.0999989160071371,0.09999999978249693,2.405897067222817e-13,1.1910644401747328e-15,5.907929708501318e-18,1.1701330957107478e-20,5.652452819735304e-23,0.0019020501519473392,2.7719468369105587e-14,6.719406651106509e-17,2.2687720296040287e-17,9.912941972592592e-07,2.1723491557774617e-10,9.247860898179458e-08,1.2045210077388626e-19,1.861091186323174e-22,3.0000278302077684e-12,1.7287796207873764e-20,3.903370949960111e-34,3.9088398930493233e-22,0.002137068948079254,2.1732226473673513e-10,1.7478791447117818e-18,1.4421705679001377e-15,5.816221466936684e-32,5.5571295498268654e-24,3.497877473686679e-27,7.144196714734664e-19,1.2967335998606212e-16
8.707277018092034e-10,0.00299236199292705,0.0,0.0,0.00408723672774121,0.7969031113423838,0.0999989181348826,0.09999999978311822,2.4395451369680687e-13,1.2263377920443223e-15,6.007961529874815e-18,1.210485565222435e-20,5.771821361542392e-23,0.001908127518929803,2.7637859280917786e-14,6.740785140649375e-17,2.2943725584770033e-17,9.884400888218706e-07,2.166103317231785e-10,9.320552999465429e-08,1.2083491744588579e-19,1.8650885744185878e-22,3.07049083353413e-12,4.44810193749698e-20,3.982609841952587e-34,4.0366904456473423e-22,0.0021427782920739845,2.1669695676767728e-10,1.8080793220192606e-18,1.454671303195858e-15,5.853241246233264e-32,5.635139914305689e-24,3.7481123288541614e-27,7.554495364790575e-19,1.3411617892926122e-16
8.762221423069638e-10,0.00299236199292705,0.0,0.0,0.004075545178566289,0.7968944384035629,0.09999892024081315,0.09999999978373458,2.4734071537959483e-13,1.2624052034657129e-15,6.108943895429879e-18,1.2536049970061879e-20,5.955704490761662e-23,0.001914169679065281,2.7557101465152466e-14,6.762038649290505e-17,2.320047534473821e-17,9.85608527216894e-07,2.159906787413521e-10,9.393171311733944e-08,1.2121550285231125e-19,1.869054516293929e-22,3.142047733220781e-12,7.490797960409627e-21,4.062845760894157e-34,4.174120510172363e-22,0.0021484297876604246,2.1607658652289705e-10,1.869883838158748e-18,1.467184026203765e-15,6.122657749662766e-32,5.713630869300969e-24,3.875512034705128e-27,7.979115698819986e-19,1.3886643018916784e-16
8.817165828047243e-10,0.00299236199292705,0.0,0.0,0.004063945784265143,0.7968858402265546,0.09999892232515796,0.09999999978434602,2.5074825479283287e-13,1.29927857699897e-15,6.210877795275439e-18,1.2954020154712742e-20,6.054557523521176e-23,0.0019201770091449698,2.7476728067521438e-14,6.783168578194659e-17,2.345796318425474e-17,9.827992993884248e-07,2.1537591006694806e-10,9.465714221538886e-08,1.2159388096234159e-19,1.872989428526098e-22,3.2147060757521644e-12,6.305167504380529e-20,4.144082723992064e-34,4.30602528568583e-22,0.0021540239368382846,2.1546110736231635e-10,1.933322402211503e-18,1.479708551781945e-15,6.059654879880843e-32,5.7926008938689524e-24,4.1887140836809625e-27,8.418272267322106e-19,1.4346547588503813e-16
8.872110233024848e-10,0.00299236199292705,0.0,0.0,0.0040524376758391215,0.7968773161280522,0.09999892438814362,0.0999999997849526,2.541770751423876e-13,1.3369698907836938e-15,6.313764189540978e-18,1.3420342607055624e-20,6.294645398158056e-23,0.0019261498809905275,2.7397425862986742e-14,6.804176238061708e-17,2.371618284825784e-17,9.800121946016332e-07,2.147659796409667e-10,9.538180150906247e-08,1.2197007542728594e-19,1.8768937205858858e-22,3.288472593505293e-12,-1.7953372552752846e-20,4.226324727009293e-34,4.455115900091705e-22,0.002159561237011071,2.1485047315368692e-10,1.9984250063330106e-18,1.4922446987335038e-15,6.507163985205056e-32,5.872048480708373e-24,4.221846418357426e-27,8.872581252424691e-19,1.4860372676706485e-16
8.927054638002452e-10,0.00299236199292705,0.0,0.0,0.004041019993728906,0.7968688654317443,0.099998926429994,0.09999999978555438,2.5762711981178955e-13,1.375491200700067e-15,6.417604007763199e-18,1.384179683204488e-20,6.327486729115169e-23,0.0019320886615309017,2.731813422772114e-14,6.82506298599586e-17,2.397512821677757e-17,9.772470044127197e-07,2.1416084190556838e-10,9.61056755666231e-08,1.2234410958591483e-19,1.8807677949855093e-22,3.363355132062792e-12,1.0725636358030405e-19,4.309575697612927e-34,4.586974152681529e-22,0.0021650421810332403,2.14244638266024e-10,2.0652219293863684e-18,1.504792289726103e-15,6.179944449449679e-32,5.951972136008782e-24,4.690368510575977e-27,9.34206718549863e-19,1.5323577610810687e-16
8.981999042980057e-10,0.00299236199292705,0.0,0.0,0.00402969188769278,0.7968604874682315,0.09999892845093046,0.09999999978615137,2.610983323366374e-13,1.4148546355343557e-15,6.522398149318552e-18,1.4364142806815242e-20,6.702196138307634e-23,0.0019379937128769776,2.7240486406448316e-14,6.845829885619931e-17,2.423479330353426e-17,9.745035226393644e-07,2.1356045179542835e-10,9.682874929774501e-08,1.227160064686539e-19,1.8846120474218636e-22,3.4393596731010132e-12,-8.583134703068417e-20,4.393839555019172e-34,4.755379099956782e-22,0.0021704672572567907,2.1364355756314017e-10,2.1337437295877298e-18,1.5173511512131812e-15,7.080945285649415e-32,6.032370380012773e-24,4.4703861969015705e-27,9.8277363089249e-19,1.5899601568370863e-16
9.036943447957661e-10,0.00299236199292705,0.0,0.0,0.004018452516686872,0.7968521815749413,0.09999893045117168,0.09999999978674366,2.645906564511853e-13,1.455072403449396e-15,6.6281474838024455e-18,1.4756161000735537e-20,6.536793737500914e-23,0.001943865392396137,2.7161865973800206e-14,6.866478650556327e-17,2.449517225364841e-17,9.717815453315963e-07,2.1296476473489684e-10,9.755100794704788e-08,1.2308578880334803e-19,1.8884268669172926e-22,3.5164950302710753e-12,2.2286824453758224e-19,4.479120149625263e-34,4.874980330534861e-22,0.002175836949577286,2.130471863972821e-10,2.204021254439957e-18,1.5299211133568268e-15,6.023900110441718e-32,6.1132417460916224e-24,5.363539613478163e-27,1.03290299469158e-18,1.6329159430516924e-16
9.086393412437506e-10,0.00299236199292705,0.0,0.0,0.004008412263428293,0.7968447673488432,0.09999893223387317,0.09999999978727271,2.677517515014718e-13,1.4920090069500045e-15,6.7241392576328255e-18,1.507321589639902e-20,5.958551493779807e-23,0.0019491216626497864,2.7091400073178314e-14,6.884958734319502e-17,2.4730118914839968e-17,9.693499852844137e-07,2.1243263102396728e-10,9.820033190603719e-08,1.2341680350915996e-19,1.8918353555546774e-22,3.5868895117783992e-12,4.6318660243586955e-20,4.556745194230459e-34,4.968960737060981e-22,0.0021806227158130847,2.1251444248944209e-10,2.2687979080076673e-18,1.5412434329052837e-15,5.864461558728529e-32,6.186429285798637e-24,7.129229376314915e-27,1.0791091367485697e-18,1.6675433504020147e-16
9.13584337691735e-10,0.00299236199292705,0.0,0.0,0.0039984426112482626,0.7968374104948445,0.09999893400014259,0.099999999787798,2.7092985963528205e-13,1.5296565797500839e-15,6.820905988100878e-18,1.5451666820038214e-20,5.721714508259384e-23,0.0019543514413928437,2.702235812670518e-14,6.903346454452933e-17,2.4965635048135515e-17,9.66935534846555e-07,2.1190423924722535e-10,9.884897366527329e-08,1.2374613974900253e-19,1.895220587794439e-22,3.658209053412254e-12,2.602684962993045e-20,4.635199585612441e-34,5.085316207362106e-22,0.002185364356044994,2.11985445659507e-10,2.3350448135983556e-18,1.5525744906181519e-15,5.831891164422022e-32,6.2599978113728834e-24,8.114696998700821e-27,1.126367433771321e-18,1.709034160039807e-16
9.185293341397194e-10,0.00299236199292705,0.0,0.0,0.003988542965670302,0.7968301105437944,0.0999989357501342,0.09999999978831955,2.741249411958462e-13,1.568024165954673e-15,6.918448270440402e-18,1.5933577155249068e-20,5.99594581588267e-23,0.001959554979575323,2.6954881415162812e-14,6.921645555596577e-17,2.52017166345026e-17,9.645380498633365e-07,2.1137955789928152e-10,9.94969231390112e-08,1.2407381347975634e-19,1.8985828339021415e-22,3.730458331984787e-12,3.942272570503011e-20,4.714486244303989e-34,5.239408755445656e-22,0.0021900622139537167,2.114601643493373e-10,2.4027850274284614e-18,1.5639141700920329e-15,5.977385659693454e-32,6.33394628505921e-24,7.989203997439479e-27,1.1749284923915494e-18,1.762100808415177e-16
9.234743305877038e-10,0.00299236199292705,0.0,0.0,0.003978712737964764,0.7968228670308222,0.09999893748400066,0.0999999997888374,2.7733695616447467e-13,1.6071208628633198e-15,7.01676667214043e-18,1.6338988522303493e-20,5.811306776939696e-23,0.001964732525211527,2.6886807331480138e-14,6.939849039734886e-17,2.5438359755676308e-17,9.621573875751032e-07,2.108585557616277e-10,1.0014417044585721e-07,1.2439984047033093e-19,1.9019223600937082e-22,3.803644376740259e-12,6.751439033045661e-20,4.7946078032123205e-34,5.364630450843596e-22,0.0021947166304075844,2.1093856730596276e-10,2.472041801146228e-18,1.5752623571739256e-15,5.769484961101111e-32,6.408273688657219e-24,8.83298918432673e-27,1.2248631406854637e-18,1.8065610217794854e-16
9.284193270356883e-10,0.00299236199292705,0.0,0.0,0.0039689513450828955,0.7968156794952925,0.09999893920189311,0.09999999978935162,2.8056586370430194e-13,1.6469558239881861e-15,7.115861722637249e-18,1.6700554467616266e-20,5.316369354524938e-23,0.0019698843234196204,2.681867581715625e-14,6.95795990627227e-17,2.5675560593451724e-17,9.597934066009418e-07,2.103412019372061e-10,1.007907059052702e-07,1.2472423630493454e-19,1.9052394286087452e-22,3.877771851858329e-12,3.779237950717286e-20,4.875566822949444e-34,5.47317767289317e-22,0.0021993279434882806,2.1042062357808043e-10,2.542838578598873e-18,1.5866189399198864e-15,5.279132725206679e-32,6.4829790148785796e-24,1.0337298687969596e-26,1.2760201238581941e-18,1.8460793102086449e-16
