Time (s),Volume (m^3),Ne,N2,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(52),COX(53),CHOX(64),CH2O2X(54),CH3OX(48),SX(57),OCO(174),SX(231),CH3X(25),CH4(24),CH4X(249),CH3O2X(51),C2HO2X(68),SX(130),SX(55),SX(162)
9.34992323123303,0.000897708597878115,0.0,0.0,0.00014721093980338862,0.7916574183026911,0.1069681113524064,0.09303003624256224,0.006968675534560294,1.4961067241920606e-07,1.206278995662678e-06,3.2034145098120735e-07,2.046505554161499e-11,0.0018450107705907293,8.587563211770515e-16,5.657264211723494e-17,8.072855146787376e-08,1.2686791758597513e-07,2.4192219254410265e-11,3.9483347244261225e-08,3.6510693386372232e-19,8.325238019566813e-22,7.129476395325681e-09,2.195196635259434e-18,2.47016205272014e-22,2.2726270695413973e-11,0.0004492913764632842,2.7816119676507796e-11,8.0027765936748e-12,1.363483683937311e-13,1.08268788771554e-12,2.495479817834922e-21,1.875078207831429e-09,4.564508374457038e-12,3.295617485367239e-20,6.87088054610165e-10,1.553782268721707e-12,1.2227301460379183e-22,2.227869440312915e-19,7.854396513630674e-28,3.0600379200549364e-25,1.4992837944590106e-28
9.383623456280683,0.000897708597878115,0.0,0.0,0.00014721237521483403,0.7916435704730692,0.10698195675935965,0.09301618927410352,0.006982522566781121,1.4971876919054512e-07,1.2060575796449473e-06,3.2197870676569904e-07,2.06362788544313e-11,0.0018450126240698004,8.585428499441207e-16,5.655808452235074e-17,8.08897509975524e-08,1.2688557593261439e-07,2.4188854346952766e-11,3.948849743635277e-08,3.650505756980759e-19,8.324006550225775e-22,7.13469715627513e-09,2.2061445479470325e-18,2.4700248995230617e-22,2.2842646729760994e-11,0.0004492878982034896,2.781999131527003e-11,8.003820473377588e-12,1.363246705039851e-13,1.0842158074589507e-12,2.5163830817625516e-21,1.8778392331109215e-09,4.571274119167392e-12,3.312521876855836e-20,6.933837963302661e-10,1.5680347606584355e-12,1.2225094463724756e-22,2.2284484443874374e-19,7.92011920931357e-28,3.0628867700071735e-25,1.5118292487597043e-28
9.417323681328336,0.000897708597878115,0.0,0.0,0.0001472138050520023,0.7916297767842957,0.10699574801329981,0.09300239645782911,0.006996315446762405,1.4982592878776942e-07,1.2058368995015753e-06,3.2361711344332454e-07,2.0808286115912735e-11,0.0018450144703219579,8.583302660259276e-16,5.65435875558359e-17,8.105032324759176e-08,1.2690316556555762e-07,2.4185502535456775e-11,3.949362749535114e-08,3.649944221205682e-19,8.322779889887501e-22,7.139873086790677e-09,2.2170998966178216e-18,2.4698870225096346e-22,2.295910581005373e-11,0.00044928443350574887,2.782384788844008e-11,8.004860272350689e-12,1.363010501446337e-13,1.0857386255369947e-12,2.5373822521907387e-21,1.8805792198708167e-09,4.577988606447888e-12,3.3294384926468694e-20,6.997117683081269e-10,1.5823603572885454e-12,1.2222894696414882e-22,2.2290252592134396e-19,7.9861428818938335e-28,3.0657169146753987e-25,1.5244321549327885e-28
9.451023906375989,0.000897708597878115,0.0,0.0,0.00014721522933651193,0.7916160370240356,0.10700948532661156,0.09298865758135291,0.007010054386886178,1.4993216039808057e-07,1.2056169567252947e-06,3.2525666073835565e-07,2.098107768325083e-11,0.0018450163093778258,8.581185655232646e-16,5.652915094976459e-17,8.121027065707293e-08,1.2692068675181639e-07,2.4182163769070763e-11,3.949873750033798e-08,3.649384728340326e-19,8.32155801980512e-22,7.14500462396143e-09,2.228062616069947e-18,2.469748439116493e-22,2.307564720148755e-11,0.0004492809823145972,2.7827689454460295e-11,8.005896006626534e-12,1.3627750750784932e-13,1.087256392538982e-12,2.5584773736750203e-21,1.8832983151218106e-09,4.584652192740682e-12,3.346367224887169e-20,7.060719937806922e-10,1.596759112043386e-12,1.2220702174789744e-22,2.229599892816994e-19,8.05246767054304e-28,3.0685285361789178e-25,1.5370925395450538e-28
9.484724131423642,0.000897708597878115,0.0,0.0,0.00014721664808973325,0.7916023509807889,0.10702316891084108,0.09297497243312768,0.007023739598695852,1.5003747311378607e-07,1.2053977526602211e-06,3.268973384756625e-07,2.1154653909254084e-11,0.001845018141261889,8.579077445457405e-16,5.651477443770768e-17,8.136959564877796e-08,1.2693813975707955e-07,2.4178837997187617e-11,3.9503827529651127e-08,3.648827275312649e-19,8.320340921401355e-22,7.1500922000952324e-09,2.239032641823465e-18,2.469609166407558e-22,2.319227017280994e-11,0.00044927754458098056,2.7831516071522917e-11,8.006927692087234e-12,1.3625404277241384e-13,1.088769158529991e-12,2.5796684897424913e-21,1.8859966649391206e-09,4.591265231937604e-12,3.363307966924463e-20,7.124644957806747e-10,1.611231077558398e-12,1.2218516913945123e-22,2.2301723531311694e-19,8.119093709230824e-28,3.0713218145440523e-25,1.5498104281663953e-28
9.511139092387927,0.000897708597878115,0.0,0.0,0.00014721775628599978,0.7915916609826448,0.10703385697314798,0.09296428314434542,0.007034428937270368,1.5011938292696544e-07,1.205226453017015e-06,3.281841207127156e-07,2.129125546732779e-11,0.0018450195721358288,8.577431108812437e-16,5.650354765763892e-17,8.14940444381999e-08,1.269517723040409e-07,2.4176240237286877e-11,3.9507803289774536e-08,3.6483917556193807e-19,8.319390257374783e-22,7.154049496359628e-09,2.2476362503695196e-18,2.4694995304148307e-22,2.328373832808922e-11,0.0004492748593860097,2.7834505043235282e-11,8.007733529074641e-12,1.3623570517488263e-13,1.0899514330165836e-12,2.5963456798228118e-21,1.8880972806239283e-09,4.59641356506621e-12,3.376594812434367e-20,7.174976555900207e-10,1.6226257307533137e-12,1.221680914450767e-22,2.230619545637064e-19,8.171527320185093e-28,3.073498538284396e-25,1.5598192000708033e-28
9.537554053352212,0.000897708597878115,0.0,0.0,0.00014721886110750834,0.7915810037564217,0.10704451225617322,0.09295362663433293,0.007045085497032266,1.5020073801606569e-07,1.2050556084793476e-06,3.294715864647491e-07,2.1428339481092546e-11,0.0018450209986371968,8.575790133360659e-16,5.649235750725286e-17,8.161811347683929e-08,1.2696536325179388e-07,2.4173650405555816e-11,3.9511766863124874e-08,3.647957485536619e-19,8.31844250461848e-22,7.157980251435246e-09,2.256244278044206e-18,2.4693894890855496e-22,2.3375255816912408e-11,0.00044927218239838884,2.7837484894306965e-11,8.008536895950037e-12,1.3621741560664844e-13,1.0911306891046254e-12,2.6130818940721957e-21,1.8901853094969506e-09,4.601531228026046e-12,3.3898889212011024e-20,7.225506702656081e-10,1.6340654202105234e-12,1.2215105850166644e-22,2.231065411654245e-19,8.22414615914036e-28,3.07566418740624e-25,1.5698633291610417e-28
9.563969014316497,0.000897708597878115,0.0,0.0,0.00014721996256434271,0.7915703792013412,0.10705513486071651,0.09294300280229018,0.007055709378779914,1.5028154263941244e-07,1.2048852195149953e-06,3.3075973095900674e-07,2.1565906114885524e-11,0.001845022420776314,8.574154500822089e-16,5.648120386052804e-17,8.174180391949801e-08,1.2697891272746272e-07,2.4171068478055485e-11,3.9515718287054884e-08,3.6475244633753856e-19,8.317497654243542e-22,7.161884667707579e-09,2.2648566943706515e-18,2.4692790501743965e-22,2.3466822296183032e-11,0.00044926951359619294,2.7840455652217232e-11,8.00933780030342e-12,1.3619917413270377e-13,1.0923069502038912e-12,2.6298771527506037e-21,1.8922608207063624e-09,4.60661838837408e-12,3.403190242844843e-20,7.276235506401232e-10,1.6455501706769088e-12,1.2213407036152416e-22,2.231509954957644e-19,8.276950289446383e-28,3.077818846316085e-25,1.5799428275249249e-28
9.587742479184353,0.000897708597878115,0.0,0.0,0.00014722095100719928,0.7915608449525551,0.10706466734776282,0.09293346921005606,0.007065243015708999,1.5035379964365982e-07,1.2047322593090884e-06,3.3191963741324326e-07,2.1690128859953652e-11,0.0018450236969826922,8.572686984253442e-16,5.647119668414007e-17,8.185280256932238e-08,1.2699107190069018e-07,2.416875148134666e-11,3.951926421154543e-08,3.647135809022705e-19,8.316649763182683e-22,7.165376288806435e-09,2.2726115967814837e-18,2.469179321540056e-22,2.354927373269103e-11,0.00044926711865210316,2.7843121582824677e-11,8.010056514971242e-12,1.3618279797742764e-13,1.0933630437354587e-12,2.6450433851301917e-21,1.8941181350633676e-09,4.611170890723553e-12,3.415167558659119e-20,7.322061370428667e-10,1.6559249935698254e-12,1.2211881938564015e-22,2.231908916139923e-19,8.324632480600857e-28,3.079748711974742e-25,1.5890446262850037e-28
9.609138597565423,0.000897708597878115,0.0,0.0,0.0001472218382888361,0.7915522866251099,0.10707322408458968,0.09292491147820502,0.007073800787752635,1.5041845517335784e-07,1.204594911146595e-06,3.329640171712104e-07,2.1802263778889242e-11,0.0018450248425656783,8.571369895645187e-16,5.646221534238811e-17,8.195244064898301e-08,1.2700198659813834e-07,2.4166671627136604e-11,3.9522447177785335e-08,3.646786882109466e-19,8.31588865983128e-22,7.168500766250356e-09,2.2795940096511763e-18,2.469089300244927e-22,2.3623513515714183e-11,0.00044926496883768293,2.7845514658856355e-11,8.010701662528385e-12,1.3616809281926626e-13,1.0943114837633354e-12,2.658733911575097e-21,1.8957811377884093e-09,4.61524723380045e-12,3.425952074220055e-20,7.36344236686868e-10,1.665293573048493e-12,1.2210512459759067e-22,2.2322670700765125e-19,8.367674856496852e-28,3.0814780880829185e-25,1.5972607554958115e-28
