Time (s),Volume (m^3),Ne,N2,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(41),COX(42),CHOX(51),CH2O2X(43),CH3OX(38),CH3X(25),CH4(24),CH4X(158),SX(46),CH3O2X(40),SX(93)
2.9318898352813193e-09,0.00299236199292705,0.0,0.0,0.002485524644529417,0.7959218884240764,0.0999993990285219,0.09999999986651552,1.7457651923245091e-12,2.0891838832138842e-24,6.79056498206059e-16,5.768986592036191e-26,5.5351616767590814e-40,0.0031499745941630445,1.6689872767679053e-14,1.1103500724985994e-16,1.0176529025706345e-16,6.00841505566664e-07,1.3172101122358615e-10,1.20010817030203e-16,1.530683268970931e-19,4.5717628548947e-22,1.2404432789654123e-21,5.101979132135173e-28,7.298371877589561e-32,3.9014817974810875e-29,0.00250312427709801,1.317284110596541e-10,6.540897425096734e-15,3.8867110758361417e-22,5.4881620719809626e-27,4.989749973415333e-35,1.1171210984655372e-34,2.2515882764950414e-34,1.262431087002175e-48,3.5261225651104475e-32,1.215687007548384e-56
2.941819090085855e-09,0.00299236199292705,0.0,0.0,0.0024829671661283394,0.7959212907206589,0.09999939964733824,0.09999999986664031,1.7565254826031944e-12,2.114301027690981e-24,6.830722454974133e-16,5.858717504472398e-26,5.634548005622105e-40,0.0031538953820340514,1.6672434432585692e-14,1.1122889287872915e-16,1.0228962879519769e-16,6.002228355218835e-07,1.3158547224505353e-10,1.2044977033291321e-16,1.5321366363603232e-19,4.577440040568958e-22,1.2510228596812886e-21,5.155435941336061e-28,7.35067149006763e-32,3.9581978831726937e-29,0.002501761586569286,1.31592810753914e-10,6.566918748263832e-15,3.9056783694907075e-22,5.5620312623365515e-27,5.032814307497556e-35,1.1328373155539554e-34,2.282432772391768e-34,1.2787602737745742e-48,3.551392812974536e-32,1.2390392674923568e-56
2.950755419409937e-09,0.00299236199292705,0.0,0.0,0.0024806781676386586,0.7959207618137965,0.09999940020118943,0.09999999986675191,1.7662352231859101e-12,2.1370866702328124e-24,6.866939426392767e-16,5.940373797469326e-26,5.725197458383866e-40,0.003157416673233626,1.6656805330341016e-14,1.113463855940447e-16,1.0276226139364461e-16,5.996691153762515e-07,1.3146416202840398e-10,1.2084490859886452e-16,1.5334411868926475e-19,4.582538734630883e-22,1.260588706982786e-21,5.203852090546568e-28,7.397896696039266e-32,4.009754019907762e-29,0.002500529847822196,1.3147144594222633e-10,6.590350137052539e-15,3.922771624461826e-22,5.629130220629942e-27,5.071744419711133e-35,1.1471185940200106e-34,2.310448850871048e-34,1.2935906756651095e-48,3.5742112038649573e-32,1.2603639195376802e-56
2.959691748734019e-09,0.00299236199292705,0.0,0.0,0.0024784010931318654,0.7959202413417104,0.0999994007521528,0.09999999986686287,1.77596138763162e-12,2.160043807453892e-24,6.903227590734692e-16,6.022887584580866e-26,5.816996483405545e-40,0.003160930980243082,1.6641298757602814e-14,1.1134265650590183e-16,1.0323551428362478e-16,5.991182824446597e-07,1.3134348393498175e-10,1.2124012316212552e-16,1.534742461352011e-19,4.58762728552379e-22,1.270196507376125e-21,5.2525580555624835e-28,7.445269268084235e-32,4.061797875357388e-29,0.0024992931663939243,1.3135071372193293e-10,6.613793073052238e-15,3.9398862997472534e-22,5.696816759615161e-27,5.110837809712668e-35,1.1615301322386466e-34,2.338708789467208e-34,1.3085489461141539e-48,3.597100805605673e-32,1.2819831808085185e-56
2.968628078058101e-09,0.00299236199292705,0.0,0.0,0.0024761358113011404,0.7959197291936783,0.09999940130026011,0.09999999986697321,1.785706715659682e-12,2.1831731799649408e-24,6.939586859237533e-16,6.106264975607145e-26,5.9099558191064785e-40,0.0031644383442949826,1.6625874972712603e-14,1.1158002387335835e-16,1.0370936335317365e-16,5.985703049300508e-07,1.3122343053136957e-10,1.2163541423652282e-16,1.5360404796360308e-19,4.592705753148369e-22,1.2798463148619374e-21,5.301554655464474e-28,7.49278920466893e-32,4.114332339053553e-29,0.0024980516323905005,1.3123060712571283e-10,6.6372475476575335e-15,3.9570223218488486e-22,5.765094118627975e-27,5.150094602188868e-35,1.1760726751671377e-34,2.367213847145422e-34,1.3236358542821785e-48,3.620061617456059e-32,1.3039001423477179e-56
2.976670774449775e-09,0.00299236199292705,0.0,0.0,0.0024741070332160845,0.7959192752871598,0.09999940179114077,0.0999999998670719,1.7945002123732792e-12,2.2041374892716344e-24,6.972370921972365e-16,6.182048078155232e-26,5.99462021550603e-40,0.003167589069404588,1.6612021143925782e-14,1.117008834993387e-16,1.0413642364961114e-16,5.980795405894486e-07,1.3111591128292465e-10,1.2199124179140888e-16,1.5372059283298486e-19,4.597267801761534e-22,1.2885671022579668e-21,5.345900765810708e-28,7.53568314299481e-32,4.162035220675308e-29,0.0024969301763453932,1.3112304041082965e-10,6.6583664330527355e-15,3.9724629324524474e-22,5.827051576510276e-27,5.185565527185894e-35,1.189273590062119e-34,2.3930790181183343e-34,1.3373246950615405e-48,3.6407872321458284e-32,1.3238825144166888e-56
2.9847134708414487e-09,0.00299236199292705,0.0,0.0,0.002472087608817932,0.7959188279558941,0.09999940227975614,0.09999999986717015,1.8033144631230795e-12,2.2252424510524662e-24,7.005212443533044e-16,6.258540156647381e-26,6.0802411369821185e-40,0.0031707342331146458,1.6598220880271335e-14,1.117889949978599e-16,1.0456416655972971e-16,5.975910410834773e-07,1.3100888782060823e-10,1.2234713163377623e-16,1.5383687696528883e-19,4.601821773573442e-22,1.2973219984029272e-21,5.390483552709167e-28,7.578696444198383e-32,4.210139958614036e-29,0.002495804925747065,1.3101596992511324e-10,6.679494651076711e-15,3.9879207206749393e-22,5.889492601396142e-27,5.221168999311054e-35,1.2025817694269244e-34,2.4191446778066386e-34,1.3511189228956974e-48,3.66157052586516e-32,1.3441108310108058e-56
2.9927561672331226e-09,0.00299236199292705,0.0,0.0,0.002470077445820304,0.7959183871221096,0.09999940276612851,0.09999999986726785,1.8121461652193172e-12,2.2464886071680533e-24,7.0381113601972695e-16,6.335745715545886e-26,6.166826549782684e-40,0.0031738738644992567,1.6584505670185577e-14,1.1191974597329693e-16,1.0499260658729657e-16,5.97104784062008e-07,1.3090235514797409e-10,1.2270308390519252e-16,1.5395290176506788e-19,4.606367710821955e-22,1.3061110425655156e-21,5.435303614856022e-28,7.621829107118579e-32,4.2586486749281347e-29,0.0024946759438301863,1.3090939077173225e-10,6.700632195085546e-15,4.0033956327658517e-22,5.952419571091886e-27,5.256905108937844e-35,1.215997760214939e-34,2.4454117484014854e-34,1.3650191048178813e-48,3.6824114980534356e-32,1.3645873926263855e-56
3.0007988636247965e-09,0.00299236199292705,0.0,0.0,0.0024680764529949484,0.7959179527089422,0.09999940325028008,0.09999999986736507,1.820993060122878e-12,2.2678765000954433e-24,7.071067608546518e-16,6.413669275279386e-26,6.254384463989524e-40,0.003177007992329803,1.6570875577491835e-14,1.1200053407575459e-16,1.0542164844473891e-16,5.966207474312155e-07,1.3079630854817354e-10,1.2305909874269405e-16,1.5406866862283937e-19,4.610905655305212e-22,1.3149342739834455e-21,5.4803615514453865e-28,7.665081130574492e-32,4.30756349659928e-29,0.002493543293073768,1.3080329811000474e-10,6.7217790583203656e-15,4.0188876149281355e-22,6.015834868557138e-27,5.292773946170347e-35,1.229522110613008e-34,2.471881153479912e-34,1.3790258098636415e-48,3.703310148140281e-32,1.3853145147633118e-56
3.0088415600164705e-09,0.00299236199292705,0.0,0.0,0.0024660845401590064,0.7959175246404228,0.0999994037322326,0.0999999998674618,1.8298521048504945e-12,2.2894066729275995e-24,7.104081125462576e-16,6.492315372264392e-26,6.342922933649419e-40,0.003180136645078842,1.655732663977235e-14,1.1202221605322904e-16,1.0585112838897504e-16,5.961389093448964e-07,1.3069074327020182e-10,1.234151762788865e-16,1.5418417891513533e-19,4.615435648387327e-22,1.3237917318629552e-21,5.525657962177898e-28,7.708452513363386e-32,4.3568865555325555e-29,0.0024924070352099962,1.3069768715472665e-10,6.742935233908314e-15,4.03439661332175e-22,6.0797408819030556e-27,5.328775600902991e-35,1.2431553700348862e-34,2.498553818001791e-34,1.3931396090723504e-48,3.7242664755446033e-32,1.4062945279836329e-56
3.0168842564081444e-09,0.00299236199292705,0.0,0.0,0.0024641016181626684,0.7959171028414685,0.09999940421200769,0.099999999867558,1.838728620040587e-12,2.311079669372895e-24,7.137151848124058e-16,6.571688558926593e-26,6.432450056905048e-40,0.0031832598509236305,1.6543808811507607e-14,1.1224229505556582e-16,1.062810198601152e-16,5.956592482135558e-07,1.3058565423624552e-10,1.2377131664162314e-16,1.542994340044026e-19,4.619957731003759e-22,1.3326834553798187e-21,5.5711934472328235e-28,7.751943254254217e-32,4.4066199885564126e-29,0.002491267231232962,1.3059255317550434e-10,6.764100714863558e-15,4.0499225740661247e-22,6.14414000439053e-27,5.364910162524838e-35,1.256898089151062e-34,2.5254306683061768e-34,1.4073610754695662e-48,3.7452804796723466e-32,1.427529777968635e-56
3.0249269527998183e-09,0.00299236199292705,0.0,0.0,0.002462127598876719,0.795916687237872,0.09999940468962673,0.09999999986765373,1.8476271241857156e-12,2.332896033754605e-24,7.170279714003075e-16,6.651793403722162e-26,6.522973976125911e-40,0.003186377637750117,1.6530318156221955e-14,1.1235661791287871e-16,1.0671148603777644e-16,5.951817426925924e-07,1.3048103717241605e-10,1.2412751995443447e-16,1.544144352398954e-19,4.624471943666719e-22,1.3416094836778418e-21,5.616968607278614e-28,7.795553351987745e-32,4.456765937422527e-29,0.002490123941407233,1.304878914961046e-10,6.785275494088275e-15,4.0654654432437104e-22,6.209034634428352e-27,5.401177720234774e-35,1.27075081985744e-34,2.552512632107336e-34,1.421690784101784e-48,3.766352159915267e-32,1.4490226255779088e-56
3.032165379552325e-09,0.00299236199292705,0.0,0.0,0.0024603585213106645,0.7959163184310307,0.0999994051176579,0.09999999986773948,1.855652985489388e-12,2.352653791662057e-24,7.200143599299734e-16,6.724517120506001e-26,6.605304529386569e-40,0.003189179035449345,1.6518234955481904e-14,1.1244636371127018e-16,1.0709952902845877e-16,5.947538133237472e-07,1.3038728144089355e-10,1.244481568570778e-16,1.5451772041098876e-19,4.628528039400053e-22,1.3496722720597246e-21,5.658371670286544e-28,7.834904488982976e-32,4.502251766572111e-29,0.0024890920493909553,1.3039409597921439e-10,6.8043407394551e-15,4.079468437624037e-22,6.267865446849684e-27,5.433932307549448e-35,1.283312794516387e-34,2.577062539429981e-34,1.434680545869458e-48,3.78536598469787e-32,1.4685883979236814e-56
3.0394038063048315e-09,0.00299236199292705,0.0,0.0,0.0024585965215386837,0.7959159545301359,0.09999940554397496,0.09999999986782482,1.863692340396038e-12,2.3725285166743003e-24,7.230053675013773e-16,6.797840546860034e-26,6.688455116988665e-40,0.0031919760860246197,1.6506220771396865e-14,1.125448805450037e-16,1.0748813076559546e-16,5.943275976875745e-07,1.3029390081224297e-10,1.2476884493020804e-16,1.5462080200692394e-19,4.632577821895949e-22,1.3577629074837392e-21,5.6999697955469535e-28,7.874352303011572e-32,4.5480750406325306e-29,0.002488057424990127,1.3030067594676458e-10,6.823413505251017e-15,4.093485044783756e-22,6.327101322954261e-27,5.46679475883581e-35,1.2959647306174442e-34,2.6017800194812643e-34,1.4477588732849207e-48,3.804426526163708e-32,1.4883664915528936e-56
