Time (s),Volume (m^3),Ne,N2,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(52),COX(53),CH3OX(48),CHOX(64),SX(57),CH2O2X(54)
5.969434568904159e-07,0.0007926750507772021,0.0,0.0,5.2400292706485074e-05,0.7988551292548667,0.09999961764590248,0.09999999998034337,1.5628689274428194e-11,4.021385550457412e-08,1.5823765268262752e-15,1.5818493049714978e-09,1.0905827282256e-11,0.0019173328731474104,1.1072029581692267e-17,7.843316753237284e-19,1.1705900791125748e-16,1.5279677611905815e-07,4.0260023449314845e-12,5.8709282189901693e-08,1.6623775053318415e-20,4.7586721309470465e-24,1.2888130769332125e-07,8.054530761277813e-13,3.1116177177556986e-32,1.0240498538494376e-12,0.00018600241603679675,4.02615883799495e-12,1.5882844418149916e-10,1.6038330709278603e-13,2.8350461026906175e-22,1.2777907705254993e-22
6.007939528202585e-07,0.0007926750507772021,0.0,0.0,5.240028498423322e-05,0.7988551291100264,0.09999961760116206,0.09999999998023758,1.5734465221483935e-11,4.0447707297044146e-08,1.591536970916918e-15,1.5921534745923979e-09,1.0956772840726166e-11,0.001917333109334032,1.1072027958538919e-17,7.843317720412938e-19,1.178512835251348e-16,1.527967534870489e-07,4.02600175161284e-12,5.870912296259089e-08,1.6623777013551796e-20,4.7586723228491096e-24,1.2868119326542243e-07,8.042026527949341e-13,3.127763074420827e-32,1.0241362473840168e-12,0.00018600238698410595,4.026158242848337e-12,1.5971319527380343e-10,1.6140475254263758e-13,2.84828894742188e-22,1.2851877959125605e-22
6.04644448750101e-07,0.0007926750507772021,0.0,0.0,5.240027818967797e-05,0.7988551289641496,0.09999961755638627,0.09999999998013179,1.5840241194341733e-11,4.068115566702844e-08,1.6006974124979103e-15,1.6024425957138875e-09,1.1007639199468158e-11,0.0019173333407144025,1.1072026531768322e-17,7.843318668257118e-19,1.186435612001183e-16,1.5279673356079558e-07,4.026001229570742e-12,5.870896678375492e-08,1.662377893278315e-20,4.758672510854988e-24,1.2848152944094117e-07,8.029550293306231e-13,3.143909311171027e-32,1.024222987529423e-12,0.00018600236135592866,4.026157718980836e-12,1.605956273408068e-10,1.624258601153743e-13,2.8615112510678036e-22,1.2925848399779824e-22
6.084949446799436e-07,0.0007926750507772021,0.0,0.0,5.240027224549433e-05,0.79885512881734,0.09999961751157556,0.099999999980026,1.5946017192496343e-11,4.0914201506049246e-08,1.6098578516131698e-15,1.6127167017340038e-09,1.1058426538521137e-11,0.0019173335676526265,1.1072025285010687e-17,7.843319598231947e-19,1.1943584079819028e-16,1.5279671611477282e-07,4.0260007728641765e-12,5.8708813424251106e-08,1.6623780814128826e-20,4.758672695257163e-24,1.2828231522760915e-07,8.017102008890214e-13,3.1600564266069097e-32,1.0243100749095362e-12,0.00018600233886692557,4.026157260451115e-12,1.6147574587356723e-10,1.6344662992187736e-13,2.8747130568974274e-22,1.2999819012316883e-22
6.123454406097861e-07,0.0007926750507772021,0.0,0.0,5.240026708074931e-05,0.7988551286696923,0.09999961746673042,0.0999999999799202,1.6051793215480663e-11,4.114684570367089e-08,1.6190182883033514e-15,1.6229758259952017e-09,1.1109135037411343e-11,0.0019173337904827917,1.1072024203249453e-17,7.843320511679036e-19,1.2022812219161278e-16,1.5279670094209814e-07,4.026000376043239e-12,5.870866267382458e-08,1.6623782660448226e-20,4.758672876309423e-24,1.280835496348841e-07,8.004681625211383e-13,3.1762044192892305e-32,1.0243975100439817e-12,0.00018600231925534457,4.0261568618089864e-12,1.6235355635123384e-10,1.644670620730469e-13,2.88789440831873e-22,1.3073789782967885e-22
6.161959365396287e-07,0.0007926750507772021,0.0,0.0,5.240026263037381e-05,0.7988551285212935,0.09999961742185133,0.09999999997981442,1.6157569262862245e-11,4.137908914750269e-08,1.6281787226061318e-15,1.6332200017829552e-09,1.1159764875162716e-11,0.001917334009511448,1.1072023272709419e-17,7.8433214098293925e-19,1.21020405262165e-16,1.5279668785299176e-07,4.026000034108556e-12,5.8708514339547494e-08,1.662378447436505e-20,4.758673054295445e-24,1.2788523167398518e-07,7.992289091846203e-13,3.19235328774232e-32,1.0244852933572917e-12,0.0001860023022810718,4.026156518054816e-12,1.6322906424102858e-10,1.6548715667979718e-13,2.9010553488604855e-22,1.3147760699010705e-22
6.200464324694713e-07,0.0007926750507772021,0.0,0.0,5.240025883467793e-05,0.7988551283722231,0.09999961737693867,0.09999999997970863,1.6263345334240634e-11,4.1610932723202176e-08,1.6373391545564457e-15,1.6434492623244918e-09,1.1210316230306695e-11,0.0019173342250198805,1.1072022480754185e-17,7.843322293812586e-19,1.2181268990043916e-16,1.527966766733626e-07,4.0259997424740505e-12,5.870836824438706e-08,1.6623786258286724e-20,4.758673229405518e-24,1.276873603579244e-07,7.979924357527261e-13,3.208503030457217e-32,1.0245734251872717e-12,0.00018600228772384334,4.026156224602289e-12,1.641022749982319e-10,1.665069138530527e-13,2.9141959221554854e-22,1.322173174869099e-22
6.238969283993138e-07,0.0007926750507772021,0.0,0.0,5.2400255638906385e-05,0.7988551282225547,0.09999961733199285,0.09999999997960284,1.6369121429244916e-11,4.1842377314478256e-08,1.6464995841867054e-15,1.653663640787644e-09,1.1260789280891264e-11,0.0019173344372662021,1.1072021815792015e-17,7.843323164665142e-19,1.2260497600518912e-16,1.5279666724351178e-07,4.025999496932778e-12,5.870822422589165e-08,1.6623788014422336e-20,4.758673401868988e-24,1.2748993470153578e-07,7.967587370225523e-13,3.224653645894567e-32,1.0246619057926431e-12,0.00018600227538160426,4.0261559772442375e-12,1.649731940661713e-10,1.6752633370374445e-13,2.927316171925067e-22,1.329570292114912e-22
6.277474243291564e-07,0.0007926750507772021,0.0,0.0,5.240025299283056e-05,0.7988551280723548,0.09999961728701422,0.09999999997949705,1.6474897547531335e-11,4.207342380309461e-08,1.6556600115270053e-15,1.6638631702798143e-09,1.1311184204489307e-11,0.0019173346464872662,1.1072021267189463e-17,7.8433240233382e-19,1.2339726348272374e-16,1.5279665941694328e-07,4.0259992936255834e-12,5.8708082134985796e-08,1.662378974479898e-20,4.75867357187861e-24,1.2729295372150106e-07,7.955278077225564e-13,3.240805132487293e-32,1.0247507353600255e-12,0.0001860022650690035,4.0261557721213116e-12,1.6584182687621288e-10,1.6854541634280625e-13,2.940416141964779e-22,1.336967420635259e-22
6.31597920258999e-07,0.0007926750507772021,0.0,0.0,5.2400250850374476e-05,0.7988551279216852,0.09999961724200307,0.09999999997939125,1.6580673688780917e-11,4.230407306887294e-08,1.664820436605319e-15,1.6740478838470374e-09,1.1361501178206359e-11,0.0019173348529004225,1.1072020825192224e-17,7.843324870704616e-19,1.2418955224634511e-16,1.5279665305927195e-07,4.025999129012375e-12,5.870794183486483e-08,1.6623791451276837e-20,4.758673739601102e-24,1.2709641643637318e-07,7.942996425194475e-13,3.256957488643095e-32,1.024839914010304e-12,0.00018600225661601384,4.026155605693226e-12,1.66708178847756e-10,1.6956416188117155e-13,2.953495876131194e-22,1.3443645595033546e-22
