Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(51),H2X(50),COX(60),CHOX2(61),SX(53),CH3OX(46),CH3X(55),CH4(41),CH2OX2(52)
1.0298815768421681e-08,0.0027332747035799065,0.1557,0.0,0.004772820891447909,0.6423383000464498,0.19875218528415864,2.468164632649846e-21,2.828413009714195e-20,5.0834613686314146e-11,2.3753932842068653e-25,5.964862066192581e-13,3.937130866681833e-18,0.0001233918867685439,2.6028447956145057e-20,3.338752482436425e-24,7.590048046383824e-22,0.003147806789995082,8.616234009710269e-24,7.81360186018096e-09,2.499621280773923e-34,1.6901006151817293e-30,5.1029737855007014e-11,2.0985838464449893e-17,6.44302480117713e-40,2.373987845419082e-14,1.8525995003823895e-18,2.518004399329599e-13,9.751834406991172e-12,2.8743630928147033e-15,1.8726246953589937e-28,3.4393870008251925e-15,5.750535750457519e-21,1.9044009048351037e-18,1.449911440975658e-15
1.0339030068698341e-08,0.0027332747035799065,0.1557,0.0,0.004772368021763765,0.6423383060942117,0.1987517202838634,2.5043585310027316e-21,2.8671293600748394e-20,5.103329099554512e-11,2.419398097253991e-25,6.030686643317476e-13,3.999594463800135e-18,0.00012337975636136196,2.6226702287018342e-20,3.374874151279772e-24,7.672374397847272e-22,0.0031482717560345464,8.707904032180647e-24,7.847244543935401e-09,2.5361496954808675e-34,1.665559768091436e-30,5.143676537852322e-11,2.1152810217652562e-17,6.573493391774031e-40,2.4001265281595734e-14,1.8732236266404605e-18,2.526728761691314e-13,9.752349839490445e-12,2.8743921535343045e-15,1.91311168310977e-28,3.4706901149224494e-15,5.795760311199529e-21,1.9256097830966087e-18,1.4498292887066863e-15
1.0379244368975001e-08,0.0027332747035799065,0.1557,0.0,0.004771923637409956,0.642338312028366,0.19875126399609816,2.540954389169405e-21,2.906261957314798e-20,5.1231975129702996e-11,2.4640696381094454e-25,6.097013575280709e-13,4.0628423324151995e-18,0.0001233678531538401,2.6425591247659365e-20,3.411204487044279e-24,7.755354414024772e-22,0.0031487280095299167,8.800227223500388e-24,7.880899630877419e-09,2.573021114388022e-34,1.7293288276555414e-30,5.1845413606354637e-11,2.1312290596149926e-17,6.693129961550567e-40,2.426464213106959e-14,1.894007445517603e-18,2.5354523250526495e-13,9.752855341728162e-12,2.8744234710778317e-15,1.9543389158057626e-28,3.50214497206325e-15,5.841602816233203e-21,1.946983001386411e-18,1.449750562537168e-15
1.0419458669251661e-08,0.0027332747035799065,0.1557,0.0,0.004771487579374833,0.6423383178510396,0.19875081625759664,2.5779553024589905e-21,2.9458140797959524e-20,5.14306665553585e-11,2.509414398535925e-25,6.163848805046864e-13,4.1268505044300274e-18,0.00012335617289147956,2.66264043782035e-20,3.447861050956489e-24,7.83899280990709e-22,0.00314917571374736,8.893206214492723e-24,7.914567200847519e-09,2.610364997161442e-34,1.7395563451250783e-30,5.2255682458756634e-11,2.1478071277488415e-17,6.815704910003849e-40,2.4530032786440085e-14,1.9149515407316388e-18,2.5441751047815896e-13,9.753351120368314e-12,2.874457008448613e-15,1.9963175674522414e-28,3.533751669615708e-15,5.887839405121778e-21,1.96852269329403e-18,1.4496751983051838e-15
1.0459672969528321e-08,0.0027332747035799065,0.1557,0.0,0.0047710596916271135,0.6423383235643197,0.19875037690815278,2.61536439020467e-21,2.985789013979529e-20,5.162936573094376e-11,2.5554409382247475e-25,6.231194766612189e-13,4.191623840393268e-18,0.00012334471139940472,2.6828617568159518e-20,3.4848533373862445e-24,7.923292292439017e-22,0.0031496150288929567,8.986846383300833e-24,7.948247336907946e-09,2.648177400373035e-34,1.6996618148660386e-30,5.2667572237989425e-11,2.1646364541070997e-17,6.9513083974703024e-40,2.4797446893914993e-14,1.9360572284611365e-18,2.5528971159583656e-13,9.753837357776052e-12,2.8744927279782802e-15,2.039058922203963e-28,3.565510308132863e-15,5.933782374450513e-21,1.9902303748613327e-18,1.4496031365612787e-15
1.0499887269804981e-08,0.0027332747035799065,0.1557,0.0,0.0047706398210595686,0.6423383291702555,0.1987499457905626,2.6531847996953785e-21,3.026190106224073e-20,5.182807310688771e-11,2.6021567607819693e-25,6.299053706894035e-13,4.257168186746222e-18,0.00012333346458086683,2.7031562258779045e-20,3.5220149149492226e-24,8.008258561796138e-22,0.0031500461121706015,9.081153878188147e-24,7.981940121954392e-09,2.6862847602088714e-34,1.7811479478360288e-30,5.308108326969555e-11,2.1808935166287307e-17,7.078149872885657e-40,2.506689334599592e-14,1.9573259116680127e-18,2.561618373380893e-13,9.754314249576641e-12,2.8745305989977543e-15,2.0825743782940185e-28,3.5974209899947294e-15,5.980158678863958e-21,2.0121060905583742e-18,1.4495343206522907e-15
1.0540101570081641e-08,0.0027332747035799065,0.1557,0.0,0.004770227817435012,0.6423383346708563,0.1987495227505688,2.6914196956262672e-21,3.0670207203237476e-20,5.202678912576583e-11,2.649568361986612e-25,6.367427708938751e-13,4.323490761163709e-18,0.0001233224284158067,2.723528622140748e-20,3.559423541468163e-24,8.093897493838092e-22,0.0031504691178374502,9.176131364302356e-24,8.015645638698414e-09,2.724786776179926e-34,1.8858374983470573e-30,5.3496215879370696e-11,2.1974346325481394e-17,7.195214005292934e-40,2.5338380374799037e-14,1.9787582258767608e-18,2.570338891569983e-13,9.754781986567501e-12,2.8745705857688534e-15,2.1268754756296606e-28,3.629483815332473e-15,6.027418917773708e-21,2.0341501105527808e-18,1.449468690299705e-15
1.0580315870358301e-08,0.0027332747035799065,0.1557,0.0,0.004769823533331774,0.6423383400680944,0.1987491076368048,2.730072262372516e-21,3.108284129791106e-20,5.2225514222492436e-11,2.6976870089606347e-25,6.436316507583207e-13,4.3906193858438815e-18,0.00012331159895939895,2.7439448335191193e-20,3.597397485683194e-24,8.180204837811207e-22,0.003150884197259855,9.27177776961413e-24,8.049363971912675e-09,2.764026137536747e-34,1.7229323809117387e-30,5.391297063699399e-11,2.2150516546177845e-17,7.335673021573659e-40,2.5611906751375492e-14,2.0003544730174238e-18,2.5790586847746145e-13,9.755240718647567e-12,2.8746126422364166e-15,2.171973899879066e-28,3.661698883660599e-15,6.074048100741718e-21,2.0563639464566372e-18,1.449406185418095e-15
1.0620530170634961e-08,0.0027332747035799065,0.1557,0.0,0.0047694268240914646,0.642338345363906,0.1987487003007415,2.7691456808291678e-21,3.1499836818492116e-20,5.2424248824401164e-11,2.746520909241376e-25,6.505723801019577e-13,4.458547817879818e-18,0.00012330097234066498,2.7644816325232796e-20,3.6354288948113534e-24,8.267183560222265e-22,0.0031512914989671402,9.368093449784925e-24,8.08309520203653e-09,2.8034327201993084e-34,1.8144369156602772e-30,5.4331347733417134e-11,2.2311850220585026e-17,7.477932785846761e-40,2.5887487215112333e-14,2.022115068213462e-18,2.587777766976967e-13,9.755690642407969e-12,2.8746567494501397e-15,2.2178814849015433e-28,3.694066292763741e-15,6.120610482556748e-21,2.078748253307342e-18,1.4493467580903724e-15
1.0660744470911621e-08,0.0027332747035799065,0.1557,0.0,0.004769037547767544,0.6423383505601892,0.19874830059663354,2.808643147919775e-21,3.1921229525037146e-20,5.2622993351321104e-11,2.796069423781875e-25,6.575658406547648e-13,4.527224561014127e-18,0.00012329054476110102,2.785281062551638e-20,3.673331924514713e-24,8.354854616444533e-22,0.0031516911687044266,9.465088007835078e-24,8.116839403906871e-09,2.84277777297485e-34,2.274260810910552e-30,5.475134679681742e-11,2.2462441662244873e-17,7.602047991551265e-40,2.6165157130504148e-14,2.0440413497220336e-18,2.5964961518973865e-13,9.756131967177629e-12,2.8747028831494643e-15,2.2646101371585307e-28,3.726586143445775e-15,6.169016914936588e-21,2.1013039198206476e-18,1.4492903526554431e-15
1.0700958771188281e-08,0.0027332747035799065,0.1557,0.0,0.00476865556507367,0.6423383556588087,0.19874790838146733,2.848567881451717e-21,3.234705243085322e-20,5.2821748215875586e-11,2.846345560711053e-25,6.6461188922259e-13,4.596688375809281e-18,0.00012328031249328903,2.8061476011228245e-20,3.71243637923724e-24,8.443209503262943e-22,0.0031520833494853096,9.562767388748924e-24,8.150596662442483e-09,2.8836001421505606e-34,1.8784308970732756e-30,5.5172968477433155e-11,2.2650043447658523e-17,7.742589145914763e-40,2.6444910567597297e-14,2.066134874373271e-18,2.605213852999367e-13,9.756564771734141e-12,2.8747509663836074e-15,2.312171887896017e-28,3.759258537409698e-15,6.216604940792793e-21,2.124033246775581e-18,1.4492368992369053e-15
1.0741173071464941e-08,0.0027332747035799065,0.1557,0.0,0.004768280739333753,0.6423383606615926,0.19874752351490915,2.888923129228117e-21,3.2777338252224243e-20,5.302051382351473e-11,2.8973658797823812e-25,6.717101408175183e-13,4.6669991767588724e-18,0.00012327027187957523,2.826923750204217e-20,3.75155611306024e-24,8.532237142015585e-22,0.003152468181643295,9.661127752630299e-24,8.184367064815929e-09,2.9245670232091308e-34,1.7794494921267745e-30,5.559621377508463e-11,2.2824021636965046e-17,7.890149867622324e-40,2.6726731854389222e-14,2.088396075920473e-18,2.613930883494372e-13,9.756989286997258e-12,2.8748010047487868e-15,2.3605789403180025e-28,3.7920835746555494e-15,6.262952581206754e-21,2.1469355485930784e-18,1.4491863610222242e-15
1.0777365941713934e-08,0.0027332747035799065,0.1557,0.0,0.004767949404465785,0.6423383650836428,0.19874718330420107,2.9256136326806384e-21,3.316843919695729e-20,5.319941238512304e-11,2.9439268809309603e-25,6.781434158649604e-13,4.7310055675969996e-18,0.00012326139622363897,2.845663624668517e-20,3.78670946174739e-24,8.61294140345857e-22,0.0031528083613783712,9.750230636224617e-24,8.214771731256966e-09,2.961472789375775e-34,1.917380739882025e-30,5.59785229602319e-11,2.2973915061671544e-17,8.01776226435813e-40,2.6982147554331868e-14,2.108574033045239e-18,2.621775648290798e-13,9.757364413729782e-12,2.8748476868428013e-15,2.4048783288207415e-28,3.821756697781639e-15,6.305912820761994e-21,2.1676939350141612e-18,1.4491433245553257e-15
1.0813558811962928e-08,0.0027332747035799065,0.1557,0.0,0.004767623662038916,0.6423383694308052,0.1987468488356958,2.962657854359862e-21,3.3563207894657327e-20,5.3378320256989946e-11,2.991099007345006e-25,6.846196459730657e-13,4.795679344916506e-18,0.00012325267032950004,2.8645652022844455e-20,3.822264214626246e-24,8.694205250050337e-22,0.003153142798898511,9.83988393711626e-24,8.245187164719998e-09,2.998931204199013e-34,1.9351806783924234e-30,5.6362147405978834e-11,2.3128284289693525e-17,8.147531888504811e-40,2.723926498378883e-14,2.1288875912217414e-18,2.6296198896822217e-13,9.757733051970075e-12,2.8748958915619728e-15,2.4498817112631384e-28,3.851553610007267e-15,6.349805958244668e-21,2.188592685063163e-18,1.4491025646818147e-15
1.084975168221192e-08,0.0027332747035799065,0.1557,0.0,0.0047673034176477095,0.6423383737043434,0.19874652001246135,3.00005816392271e-21,3.396166990242313e-20,5.355723772025099e-11,3.0388870223434176e-25,6.91139101330156e-13,4.86101544129461e-18,0.00012324409167056478,2.883597608049579e-20,3.858059924212795e-24,8.776034463435944e-22,0.00315347159113569,9.930093453006181e-24,8.275613422457674e-09,3.0367510204326974e-34,1.9531135857373442e-30,5.674708723452753e-11,2.3283250572945863e-17,8.281669557910512e-40,2.7498094911406176e-14,2.149337923358227e-18,2.637463616794685e-13,9.758095328886958e-12,2.8749456014456372e-15,2.4955982924232924e-28,3.881474383455265e-15,6.39323412775341e-21,2.2096340891150748e-18,1.4490640461336546e-15
1.0885944552460914e-08,0.0027332747035799065,0.1557,0.0,0.0047669885784805445,0.642338377905499,0.19874619673920216,3.0378169529929143e-21,3.4363850437561803e-20,5.3736165051665135e-11,3.0872984358700765e-25,6.977018484325459e-13,4.927026515919725e-18,0.00012323565776284261,2.9026798036420686e-20,3.894091852076124e-24,8.858428151458405e-22,0.0031537948333854116,1.002086316449834e-23,8.306050563592466e-09,3.0749384030732466e-34,1.971623000011661e-30,5.7133342775907736e-11,2.343877417268788e-17,8.416154828913502e-40,2.7758639899045436e-14,2.169926076923787e-18,2.6453068386003405e-13,9.758451356499765e-12,2.8749967942151443e-15,2.5420373292108423e-28,3.911519091230712e-15,6.436436568550034e-21,2.2308181725362173e-18,1.4490277326596465e-15
