Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44),CH2OX2(50),CH3X(53),CH4(39),H(23),CH4X(405),CH2OX(174)
6.489025592233953e-09,0.0028149649241145727,0.0915567593028733,0.0,0.0030277676230250285,0.45151179859884666,2.379216318405442e-38,0.4543031049127065,3.707950438848221e-17,1.3614797923548485e-22,2.688021825149651e-16,6.422419719732889e-24,4.625812641761923e-36,6.165951431907018e-05,6.745410275330072e-14,7.129333845369255e-24,3.373609537419716e-19,6.749148328226495e-14,2.228395740583504e-10,3.591638091928703e-20,2.9912259925408652e-21,2.3523903817457786e-19,8.335020793564152e-23,8.062772053386435e-28,1.8852791973708586e-31,3.6711720992415807e-25,0.0025975072054130028,9.707554303955496e-14,1.997656982923322e-22,3.0779822329855624e-26,3.567542412727425e-19,5.6996802510112045e-27,6.609122573074073e-27,-5.6615222516716294e-21,1.7417430897298792e-23,6.1947107621643e-22,1.2726866829457145e-20,2.6419841201068127e-30
6.509092937098172e-09,0.0028149649241145727,0.0915567593028733,0.0,0.003021984190490589,0.45151185752321626,2.3907071078762227e-38,0.45430015427192805,3.71269226615788e-17,1.366862351541721e-22,2.691372363100956e-16,6.480988918136394e-24,5.467695067412673e-36,6.154166557913575e-05,6.776973156066228e-14,7.116143225821433e-24,3.3608571704127964e-19,6.780715804726453e-14,2.231114459601859e-10,3.610002010902062e-20,2.9942720911168056e-21,2.348032958637868e-19,8.393547704875295e-23,8.120089053860926e-28,1.8840226016091164e-31,3.7046473682772993e-25,0.002600457845919183,9.726655604730204e-14,2.0031677729569695e-22,3.080710919045324e-26,3.576201796400829e-19,5.746048185918068e-27,6.603457650361903e-27,1.3287824263705322e-19,1.4779600469013853e-23,6.205616138883409e-22,-1.2576068070419997e-19,2.6552349637978354e-30
6.52916028196239e-09,0.0028149649241145727,0.0915567593028733,0.0,0.0030162233625492673,0.45151191621735903,2.402212184799064e-38,0.45429721516367283,3.7174160225255736e-17,1.3722406726869026e-22,2.6947104867133713e-16,6.5398559287104746e-24,6.481758192272624e-36,6.14242772930433e-05,6.808571786365602e-14,7.10300259528391e-24,3.348178594931408e-19,6.812319013438363e-14,2.2338193044973262e-10,3.628384112019809e-20,2.9972841858452075e-21,2.3436920507582535e-19,8.452245990062506e-23,8.176200501921322e-28,1.8827624451966693e-31,3.738292811740971e-25,0.0026033969539036414,9.745720458540764e-14,2.0086684590581271e-22,3.08341455760927e-26,3.5848387110539e-19,5.792596126697535e-27,6.597759888310331e-27,-2.8142297779751008e-21,1.4339233523887604e-23,6.216495160979597e-22,9.991591480251203e-21,2.668496616727441e-30
6.5472208923401875e-09,0.0028149649241145727,0.0915567593028733,0.0,0.0030110578358753595,0.45151196884634787,2.4125789260854736e-38,0.4542945797712245,3.721652039213449e-17,1.3770775161226576e-22,2.6977042420318665e-16,6.593090914987879e-24,6.666381685163571e-36,6.131901931482459e-05,6.837041004082695e-14,7.091218535323877e-24,3.336830498220846e-19,6.84079233697343e-14,2.2362418507638708e-10,3.644943429918345e-20,2.9999855610324662e-21,2.339799277364784e-19,8.505220568878054e-23,8.227263630011067e-28,1.8816253176171809e-31,3.7687192367672068e-25,0.002606032346109418,9.762847782450815e-14,2.013610454452517e-22,3.085826559945719e-26,3.5925927818734906e-19,5.834642912351256e-27,6.592604271603324e-27,-3.0505632427684857e-20,1.4683214536342424e-23,6.226263843275365e-22,3.7693851360857185e-20,2.6804412565657997e-30
6.565281502717985e-09,0.0028149649241145727,0.0915567593028733,0.0,0.003005910417714671,0.4515120212909022,2.42295715902224e-38,0.4542919536174711,3.725873579135411e-17,1.3819108859590473e-22,2.7006880499583105e-16,6.646567223460188e-24,6.36490530840266e-36,6.121413020590166e-05,6.865538964591287e-14,7.079474533089687e-24,3.3255413004260534e-19,6.869294389397666e-14,2.238653248585086e-10,3.661517254758358e-20,3.002677130254431e-21,2.3359197387477846e-19,8.558333225357852e-23,8.27883981357715e-28,1.8804854124158836e-31,3.799283556516376e-25,0.0026086584996214057,9.779945802771354e-14,2.0185442969368968e-22,3.088218539686077e-26,3.600328761916414e-19,5.876835007180465e-27,6.587422882428158e-27,6.538435044638847e-21,1.550374476016412e-23,6.236011355838784e-22,6.3156349123267735e-22,2.6923944852854805e-30
6.583342113095782e-09,0.0028149649241145727,0.0915567593028733,0.0,0.0030007810138049204,0.4515120735519821,2.433346845459915e-38,0.4542893366543177,3.73008071758544e-17,1.386740763314952e-22,2.70366196120743e-16,6.700284903161223e-24,6.144012676617883e-36,6.110960804584341e-05,6.894065567182747e-14,7.06777038788671e-24,3.31431059398359e-19,6.897825070073761e-14,2.241053540081594e-10,3.6781054830374594e-20,3.005351787449546e-21,2.3320533680819403e-19,8.611583624509863e-23,8.330291983240767e-28,1.8793427791058952e-31,3.8299857988412363e-25,0.002611275462534528,9.79701462213601e-14,2.0234700014047115e-22,3.0905906215712505e-26,3.6080467027739224e-19,5.91917217588209e-27,6.582216106278937e-27,-3.879054862013902e-21,1.658875713801606e-23,6.245737782009934e-22,1.10350442075969e-20,2.7043562246939265e-30
6.601402723473579e-09,0.0028149649241145727,0.0915567593028733,0.0,0.002995669530531838,0.451512125630541,2.443747947443377e-38,0.45428672883400273,3.7342735293361724e-17,1.3915671295853376e-22,2.706626026149068e-16,6.75424399597928e-24,6.126987307945837e-36,6.1005450927680086e-05,6.922620711672392e-14,7.056105899930592e-24,3.3031379748520006e-19,6.926384278887865e-14,2.2434427671721552e-10,3.6947080118836656e-20,3.0080123555054615e-21,2.32820009899756e-19,8.664971423921154e-23,8.38181638021933e-28,1.8781974666190239e-31,3.860825987483258e-25,0.0026138832826102243,9.814054342644646e-14,2.0283875828016544e-22,3.092942929561293e-26,3.6157466559695553e-19,5.961654182156133e-27,6.576984324578822e-27,-8.212861907549055e-21,1.716024306340825e-23,6.255443204657856e-22,1.536743148517885e-20,2.7163263971418954e-30
6.6194633338513765e-09,0.0028149649241145727,0.0915567593028733,0.0,0.002990575874930857,0.45151217752752576,2.4541604272105135e-38,0.4542841301090955,3.7384520886434115e-17,1.396389966438354e-22,2.709580294809846e-16,6.808444538652698e-24,6.648051314538003e-36,6.090165695764044e-05,6.951204298395828e-14,7.04448086646362e-24,3.2920230424756846e-19,6.954971916245943e-14,2.245820971574971e-10,3.7113247390490904e-20,3.0106648907891854e-21,2.324359865571291e-19,8.718496277581054e-23,8.434046116046342e-28,1.8770495233210223e-31,3.891804143247861e-25,0.002616482007279342,9.831065065867086e-14,2.0332970561222503e-22,3.0952755868381923e-26,3.6234286729572493e-19,6.004280789264103e-27,6.571727914727471e-27,7.183165553038121e-20,1.573684157683154e-23,6.265127706184035e-22,-6.464889747779315e-20,2.7283049254236732e-30
6.637523944229174e-09,0.0028149649241145727,0.0915567593028733,0.0,0.002985499954670426,0.45151222924387674,2.4645842471909064e-38,0.4542815404324929,3.7426164692505913e-17,1.4012092558124903e-22,2.7125248168784987e-16,6.862886576499622e-24,7.190808141391059e-36,6.079822425518411e-05,6.979816228205385e-14,7.032895089826544e-24,3.280965399752424e-19,6.983587883070197e-14,2.2481881948089575e-10,3.727955562910696e-20,3.0132972154540055e-21,2.32053260232516e-19,8.772157855342995e-23,8.485937281260364e-28,1.8758989970148389e-31,3.9229202918064898e-25,0.0026190716836449637,9.848046892846691e-14,2.0381984363983956e-22,3.09758871584617e-26,3.6310928051194548e-19,6.0470517594148295e-27,6.566447250193885e-27,3.1317661935965204e-20,1.539960762518292e-23,6.27479136852589e-22,-2.410760671763766e-20,2.740291732788635e-30
6.655584554606971e-09,0.0028149649241145727,0.0915567593028733,0.0,0.0029804416780517813,0.45151228078052774,2.475019370004539e-38,0.4542789597574167,3.7467667443931794e-17,1.406024979913728e-22,2.7154596417079486e-16,6.91757015060251e-24,6.752571991139872e-36,6.069515095281411e-05,7.008456402466528e-14,7.021348380064243e-24,3.2699646529962776e-19,7.012232080795489e-14,2.2505444781950226e-10,3.744600382464945e-20,3.01590546711839e-21,2.3167182442224743e-19,8.825955823589276e-23,8.536853268574188e-28,1.874745934937502e-31,3.954174456390612e-25,0.0026216523584852466,9.864999924104007e-14,2.0430917387016802e-22,3.099882438260871e-26,3.6387391037653614e-19,6.089966853662569e-27,6.561142700457834e-27,-1.4753081478210754e-19,1.8559339381832882e-23,6.284434273160183e-22,1.5471882122701017e-19,2.7522867431083865e-30
6.673645164984768e-09,0.0028149649241145727,0.0915567593028733,0.0,0.002975400954026958,0.45151233213840636,2.485465758460509e-38,0.45427638803741094,3.7509029868030437e-17,1.4108371212127396e-22,2.718384818313016e-16,6.972495277386159e-24,6.269704120881027e-36,6.059243519548728e-05,7.037124723054338e-14,7.00984053694591e-24,3.2590204119023453e-19,7.040904411365832e-14,2.2528898628573347e-10,3.761259097314227e-20,3.0185205574892875e-21,2.312916726649508e-19,8.879889817288786e-23,8.589620826017787e-28,1.8735903837676442e-31,3.9855666462178546e-25,0.0026242240782562063,9.881924259640361e-14,2.0479769781708083e-22,3.1021568749580733e-26,3.6463676201291416e-19,6.13302583352211e-27,6.555814631052014e-27,2.8136122740301827e-20,1.8484640245031842e-23,6.294056501106384e-22,-2.0970958375238597e-20,2.764289880707296e-30
6.691705775362565e-09,0.0028149649241145727,0.0915567593028733,0.0,0.0029703776921820363,0.4515123833184334,2.4959233755557363e-38,0.4542738252263389,3.7550252687127944e-17,1.4156456624420768e-22,2.7213003953758935e-16,7.027661989385466e-24,7.528469861942561e-36,6.049007514078807e-05,7.065821092349987e-14,6.998371354998834e-24,3.2481322895093557e-19,7.06960477723086e-14,2.255224389724602e-10,3.7779316076681674e-20,3.0211325223445517e-21,2.309127985415306e-19,8.933959500891836e-23,8.643964904493911e-28,1.872432389634846e-31,4.0170968797601406e-25,0.002626786889094515,9.898819998941495e-14,2.0528541699958175e-22,3.104412146110072e-26,3.6539784053683076e-19,6.1762284610215285e-27,6.550463403722615e-27,3.057508839829373e-19,1.3552999943457144e-23,6.303658132929969e-22,-2.9852895665086787e-19,2.776301070082835e-30
