Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),H2*(37)
8.894871207257036e-11,0.00048144307504249394,0.11111111111111112,0.0,0.0011539037014832191,0.2221937653192034,0.22209580909851181,0.2222221689109155,0.22213507213663458,5.3131497979132055e-21,1.010662867888386e-15,-7.932624646127491e-19,3.3035490780716825e-28,4.1819689415521017e-05,1.135525650323859e-13,1.8331401838635e-15,8.715008543869501e-05,0.00012641312352355098,5.331133828263203e-08,1.5290056255175453e-13,4.692182532204725e-16,5.593577242906697e-16,3.3922591541328503e-19,4.1042705865204456e-18,2.9823087567389004e-19,1.9571625716494516e-28,-6.568367521625626e-24,-6.129002115403915e-53,7.547058381193951e-06
8.939417125569035e-11,0.00048144307504249394,0.11111111111111112,0.0,0.0011531531004561324,0.22219368555521665,0.22209523055885072,0.22222216894683278,0.22213502498800677,5.383223001227799e-21,1.0235869827606535e-15,-4.077899348969213e-19,1.352552763584088e-28,4.191005875497519e-05,1.1288485686188749e-13,1.825682543293962e-15,8.719723406580363e-05,0.00012699166318259675,5.327542244478032e-08,1.5370194874219878e-13,4.700684403415897e-16,5.620826451071965e-16,3.4363930337291584e-19,4.055593089794096e-18,8.976402466427108e-21,1.9500202088560096e-28,-6.933930848901904e-24,-5.048673049058316e-53,7.581637698549527e-06
8.979508452049834e-11,0.00048144307504249394,0.11111111111111112,0.0,0.0011524797376044294,0.22219361416130728,0.22209471020538712,0.222222168979046,0.2221349836323607,5.446719745554233e-21,1.0352734433282171e-15,-2.935867145207552e-19,7.437937987922632e-29,4.199064284885123e-05,1.122899608907034e-13,1.8190400581945392e-15,8.723858971119453e-05,0.00012751201664427733,5.324321043002226e-08,1.54425890685448e-13,4.708187135001291e-16,5.645209629074741e-16,3.476380558975098e-19,4.0073934911302414e-18,-1.3940270165436187e-20,1.9402485088803475e-28,-7.09369747417806e-24,-4.7060200196377965e-53,7.612739561245836e-06
9.019599778530633e-11,0.00048144307504249394,0.11111111111111112,0.0,0.0011518084198282865,0.22219354313818385,0.22209419016569656,0.2222221690111539,0.22213494328498826,5.510638824927268e-21,1.0470113544076063e-15,-3.947162146397132e-19,1.2851756797548047e-28,4.207052224598223e-05,1.1170070511488781e-13,1.8124623145396396e-15,8.72789370830054e-05,0.0001280320563328275,5.321110379192306e-08,1.5515257238542107e-13,4.715550545386957e-16,5.669458938687267e-16,3.5166214285687773e-19,4.131760609312073e-18,6.194192833274385e-21,1.941218924592241e-28,-7.196647370128372e-24,-4.503027287451464e-53,7.643822986355249e-06
9.059691105011432e-11,0.00048144307504249394,0.11111111111111112,0.0,0.0011511391295922506,0.22219347248375562,0.22209367043884945,0.22222216904315728,0.22213490393340887,5.574988776160663e-21,1.058800307036041e-15,-4.9097242663243165e-19,1.8136207460455831e-28,4.2149701017473744e-05,1.1111701080109399e-13,1.8059483683689326e-15,8.731828866172513e-05,0.00012855178317785975,5.317910161811833e-08,1.558799282333859e-13,4.72277635459659e-16,5.693574219230575e-16,3.5571159911730616e-19,4.279531477019004e-18,-1.6623632904325327e-21,1.9507722660913058e-28,-7.366029794096923e-24,-4.0109264287197767e-53,7.674888029136963e-06
9.099782431492231e-11,0.00048144307504249394,0.11111111111111112,0.0,0.0011504718495251483,0.22219340219593614,0.22209315102392438,0.22222216907505712,0.22213486556529005,5.639766510072116e-21,1.0706398928809772e-15,-4.864782474863929e-19,1.7874956409410402e-28,4.2228183226550695e-05,1.1053880065494635e-13,1.799497293030713e-15,8.735665677988812e-05,0.00012907119810095166,5.31472030047599e-08,1.56606969680704e-13,4.729866274759798e-16,5.717555327765667e-16,3.597864232235911e-19,4.320783946011242e-18,-3.465451714352959e-21,1.9603879583330786e-28,-7.603182094100473e-24,-3.274325507534528e-53,7.705934744377489e-06
9.13987375797303e-11,0.00048144307504249394,0.11111111111111112,0.0,0.001149806562418552,0.22219333227264362,0.22209263192000753,0.22222216910685433,0.22213482816844551,5.7049648779037636e-21,1.0825297043002641e-15,-4.418706000155412e-19,1.5409413829951103e-28,4.230597292817445e-05,1.0996599878885399e-13,1.793108178778637e-15,8.739405362379201e-05,0.00012959030201582054,5.311540705643845e-08,1.5733429802102037e-13,4.736822009731176e-16,5.741402138815372e-16,3.6388659387427033e-19,4.31765413599691e-18,-7.135660548341601e-22,1.9656097911216625e-28,-7.833691158646418e-24,-2.586656069964771e-53,7.73696318639507e-06
9.179965084453829e-11,0.00048144307504249394,0.11111111111111112,0.0,0.0011491432512252613,0.22219326271180095,0.2220921131261929,0.2222221691385497,0.22213479173083342,5.7705820913770655e-21,1.0944693344004877e-15,-4.2668885030267033e-19,1.459057211461391e-28,4.238307416883132e-05,1.0939853069044538e-13,1.786780132385028e-15,8.743049123519474e-05,0.00013010909582842188,5.308371288610664e-08,1.5806261498866343e-13,4.74364525472784e-16,5.765114544090039e-16,3.680121022011557e-19,4.3445799294841086e-18,1.6959762342509867e-21,1.96836284947511e-28,-8.021541560665851e-24,-2.0692795463002145e-53,7.76797340904409e-06
9.220056410934628e-11,0.00048144307504249394,0.11111111111111112,0.0,0.001148481899057795,0.22219319351133573,0.2220915946415824,0.2222221691701442,0.22213475624055498,5.8366220670250454e-21,1.1064583770936616e-15,-4.430643221825061e-19,1.5526001171424928e-28,4.245949098637451e-05,1.0883632319166864e-13,1.7805122767821703e-15,8.746598151299241e-05,0.0001306275804369711,5.3052119615002796e-08,1.5879194608363202e-13,4.750337695977113e-16,5.788692452210303e-16,3.7216295737213605e-19,4.4077812862999785e-18,-3.2550050490657435e-22,1.9725650317997578e-28,-8.19353753198554e-24,-1.6039000081387583e-53,7.79896546571939e-06
9.260147737415427e-11,0.00048144307504249394,0.11111111111111112,0.0,0.0011478224891869001,0.2221931246691807,0.22209107646528542,0.22222216920163865,0.2221347216858524,5.903088279756246e-21,1.118496427152317e-15,-4.576255409095982e-19,1.6329325011520125e-28,4.25352274097451e-05,1.0827930443882432e-13,1.7743037507126831e-15,8.750053621487854e-05,0.0001311457567320336,5.3020626372575305e-08,1.595219500366642e-13,4.756901010374429e-16,5.812135788427812e-16,3.76339169241963e-19,4.46706058867174e-18,4.766421848486843e-23,1.9793138695234053e-28,-8.383210786191966e-24,-1.061496065869248e-53,7.829939409360596e-06
