Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59)
1.0565243218508972e-08,0.0005284065757894736,0.0915567593028733,0.0,0.00010341408056805803,0.45153987910699134,1.1841398860401987e-39,0.4561775183207286,1.8458503562920583e-17,1.5321151770931363e-26,1.536109219581749e-16,3.9723046908123877e-22,-2.2110354464448868e-35,5.498498115203649e-06,6.911764860066109e-15,3.5972530621300594e-25,2.7072875933835587e-20,6.9302498488542365e-15,6.677833549105815e-11,5.836969858374877e-22,2.6593700747567447e-20,3.382365218266395e-20,-4.768990083333362e-21,4.361115611843173e-21,2.487724236781944e-32,1.2453922234192177e-23,0.0007230939535126476,5.065854452741943e-14,1.754389097143259e-24,1.152156195041648e-28
1.0574678620314546e-08,0.0005284065757894736,0.0915567593028733,0.0,0.00010333070216368123,0.45153988132962164,1.1853971414757384e-39,0.4561774744088999,1.8459924595922876e-17,1.5336610772698656e-26,1.5362765481973392e-16,-5.086047426142686e-21,-2.1389537732643488e-35,5.4940528544989845e-06,6.918925723042578e-15,3.720244236781271e-25,2.7029099303008134e-20,6.937412088505021e-15,6.677071739270292e-11,5.842812484615819e-22,-4.297142904957814e-19,3.379698759195522e-20,-2.5446708887755156e-20,3.0693927026849375e-20,2.485913914764348e-32,-1.5946193144815615e-22,0.0007231378653489684,5.067449124070216e-14,1.7547864015226397e-24,1.1514898870220215e-28
1.0584114022120119e-08,0.0005284065757894736,0.0915567593028733,0.0,0.00010324746423367172,0.4515398835485125,1.1866545100297423e-39,0.4561774305710479,1.846134326827599e-17,1.5351806556348607e-26,1.5364378925943856e-16,2.1151033061268098e-20,-2.454841801775912e-35,5.489615072963839e-06,6.926087019674216e-15,4.746867350429782e-25,2.698538780146652e-20,6.9445747596313865e-15,6.676307701171096e-11,5.848265031758652e-22,-3.8395528351345934e-19,3.3769950035453954e-20,7.376127160367849e-20,-9.557348582656513e-20,2.4841416337316597e-32,6.631427290113708e-22,0.0007231817032085389,5.069042510255402e-14,1.7551832791849254e-24,1.1508232828665527e-28
1.0593549423925692e-08,0.0005284065757894736,0.0915567593028733,0.0,0.00010316436642870365,0.4515398857636729,1.1879119963973809e-39,0.4561773868069887,1.8462759733415342e-17,1.5366810391422685e-26,1.536487030116428e-16,1.953691768294687e-20,-2.898822994578826e-35,5.485184751977966e-06,6.933248748825091e-15,3.702681673321342e-25,2.694189134999698e-20,6.951737861505284e-15,6.675541270960893e-11,5.849539474768588e-22,7.455836559930767e-19,3.3742798292407164e-20,6.61700019179354e-20,-8.631710297514748e-20,2.4823714586936795e-32,6.125358123209837e-22,0.0007232254672753516,5.070634613461857e-14,1.755579731067758e-24,1.1501570388805475e-28
1.0602984825731265e-08,0.0005284065757894736,0.0915567593028733,0.0,0.00010308140840049133,0.4515398879751124,1.1891695787197536e-39,0.45617734311653896,1.8464173926057052e-17,1.538230021327647e-26,1.5365946429035088e-16,-4.2451944894564285e-20,-2.7070166727911997e-35,5.4807618729784805e-06,6.940410910419226e-15,2.02752972231068e-25,2.689853303631655e-20,6.958901393394863e-15,6.674772728939837e-11,5.853333932616096e-22,2.0569600077187037e-19,3.371662352048615e-20,-1.6964638824013622e-19,2.1343149462062998e-19,2.4805638629613986e-32,-1.3309855357527151e-21,0.0007232691577327902,5.072225435848779e-14,1.755975758066706e-24,1.1494943102410336e-28
1.0612420227536839e-08,0.0005284065757894736,0.0915567593028733,0.0,0.00010299858980192406,0.4515398901828401,1.1904272256062708e-39,0.4561772994995159,1.8465585682517822e-17,1.5398417205928793e-26,1.536733622861269e-16,-2.8766298572220664e-21,-1.998542207798451e-35,5.476346417503892e-06,6.9475735036248604e-15,3.1379987643329055e-25,2.6855142587419017e-20,6.966065354583018e-15,6.674002036236188e-11,5.858001655091636e-22,-2.950519369131866e-19,3.368986324516508e-20,-1.6254091718076044e-20,1.9222621624752322e-20,2.478701061874477e-32,-9.01906240068237e-23,0.0007233127747636299,5.07381497956944e-14,1.7563713614027716e-24,1.1488291947411844e-28
1.0620912089161854e-08,0.0005284065757894736,0.0915567593028733,0.0,0.00010292417198966038,0.45153989216662915,1.1915591717543846e-39,0.45617726030682426,1.8466854306466976e-17,1.541246863369188e-26,1.5368324850365153e-16,8.664025555292032e-21,-1.823205996339794e-35,5.472378839491372e-06,6.9540202057355884e-15,4.0619598925396735e-25,2.6816188267625185e-20,6.972513286114833e-15,6.673306493554575e-11,5.861275094438257e-22,9.988481571491773e-20,3.3665610323834246e-20,2.844208118496103e-20,-3.7376172848562505e-20,2.4770436361149605e-32,2.7164064687374254e-22,0.0007233519674622216,5.0752444774339144e-14,1.7567270428634304e-24,1.1482323963026465e-28
1.062940395078687e-08,0.0005284065757894736,0.0915567593028733,0.0,0.00010284986658384725,0.4515398941474257,1.1926912058453491e-39,0.4561772211733282,1.8468121140033613e-17,1.542622119224163e-26,1.5369490976033648e-16,-6.693122586783844e-22,-1.9287638690015192e-35,5.468417246249422e-06,6.960467256308132e-15,3.7214197943903606e-25,2.6777385055942167e-20,6.978961564276328e-15,6.672609206027614e-11,5.865300245949507e-22,1.9982079508491264e-20,3.3641734857197235e-20,-7.466369643198272e-21,8.15829878528739e-21,2.475432096848874e-32,-2.098515652644219e-23,0.0007233911009652213,5.076672942881304e-14,1.7570823825561975e-24,1.1476367697646147e-28
1.0637895812411885e-08,0.0005284065757894736,0.0915567593028733,0.0,0.00010277567333380915,0.4515398961252366,1.1938233538917806e-39,0.4561771820988957,1.8469386130272255e-17,1.543975566643263e-26,1.537135698713778e-16,1.217944351193836e-20,-2.3178087953233602e-35,5.464461624438663e-06,6.966914655015223e-15,3.272023413625369e-25,2.67386736947509e-20,6.9854101885458186e-15,6.67191026112238e-11,5.87186124246606e-22,-6.021997143953322e-19,3.361798938431147e-20,4.032537676572228e-20,-5.288478798950053e-20,2.4738747116514906e-32,3.8185870501861913e-22,0.000723430175404622,5.078100377470445e-14,1.7574373812415916e-24,1.1470417065137707e-28
1.0646387674036901e-08,0.0005284065757894736,0.0915567593028733,0.0,0.00010270159198969509,0.45153989810006845,1.1949555955530644e-39,0.45617714308339535,1.8470649231039517e-17,1.5453115584840192e-26,1.5372471408533587e-16,2.3691461892240345e-20,-2.925228351748981e-35,5.460511960743377e-06,6.973362400777503e-15,3.7306860001695615e-25,2.6700004597591066e-20,6.991859158401892e-15,6.671209430394953e-11,5.87552796631334e-22,-1.3325100281368527e-19,3.359388359926794e-20,8.23892631695245e-20,-1.0682123491355838e-19,2.472295718681618e-32,7.427921852200661e-22,0.0007234691909120243,5.079526782756602e-14,1.7577920396066706e-24,1.146447303208793e-28
1.0654879535661917e-08,0.0005284065757894736,0.0915567593028733,0.0,0.00010262762230236267,0.4515399000719279,1.1960879316090907e-39,0.45617710412669576,1.847191050084887e-17,1.5466754734241465e-26,1.5372685423594718e-16,-7.386681066651532e-21,-3.1164856729560426e-35,5.456568241878255e-06,6.979810493015239e-15,4.0006895588114644e-25,2.6661432128788638e-20,6.998308473318374e-15,6.670506694950928e-11,5.87596212676003e-22,7.927152254540308e-19,3.356988140572515e-20,-3.678010997898362e-20,4.440079325668059e-20,2.4706965412964825e-32,-2.3159305821536014e-22,0.0007235081476186378,5.080952160291804e-14,1.7581463583283126e-24,1.1458539930328468e-28
