Time (s),Volume (m^3),Ne,N2,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(41),COX(42),CHOX(51),CH2O2X(43)
1.3291265792956046e-08,0.00264225016925734,0.0,0.0,0.0011691577676404283,0.7963216178647424,0.0999989770147327,0.09999999997278332,2.6730893344420466e-13,3.3094948391657655e-24,3.406915241246808e-16,4.625082575804752e-25,4.239644078775698e-39,0.004676715090595513,2.4748711815285717e-16,1.91610249523295e-18,1.3376855457034733e-17,1.0229585812319727e-06,2.694853912589877e-11,1.0831616742635075e-16,7.829087417726241e-21,1.0592096665137111e-23,1.7274137535872452e-21,9.353122811732802e-28,4.501569931710834e-33,5.464025755156848e-28,0.0013400245897155377,2.6950233659406267e-11,3.6334350918712485e-15,1.8413977398875074e-22
1.3358487952688713e-08,0.00264225016925734,0.0,0.0,0.0011660328914366476,0.7963220029289921,0.0999989797494616,0.09999999997285307,2.6958048835322133e-13,3.366186522848673e-24,3.434057546091527e-16,4.726987187327263e-25,4.347654784698599e-39,0.004683740441104498,2.468249090136288e-16,1.9186081144757192e-18,1.3454643084779062e-17,1.0202239266156955e-06,2.687651210552712e-11,1.0884192618310416e-16,7.836555395786994e-21,1.0607934882523552e-23,1.7479107573323526e-21,9.49418885477529e-28,4.544249470409826e-33,5.57278098446786e-28,0.0013361268502090475,2.6878200562258344e-11,3.654633644726905e-15,1.8511089782839483e-22
1.342571011242138e-08,0.00264225016925734,0.0,0.0,0.0011629250257910763,0.7963223850716191,0.0999989824693015,0.09999999997292242,2.718588657258208e-13,3.4235469272378765e-24,3.461266306584326e-16,4.830579633917662e-25,4.457820614628186e-39,0.004690725897472638,2.461662515476572e-16,1.922037545808182e-18,1.353236366466137e-17,1.0175041606159548e-06,2.680487717067069e-11,1.0936706609556775e-16,7.843972859135013e-21,1.0623682940787923e-23,1.768537341261817e-21,9.63659945949266e-28,4.5870858172692296e-33,5.683055101158488e-28,0.001332251979395765,2.6806559590345817e-11,3.675840274992591e-15,1.8608047393323122e-22
1.3492932272154047e-08,0.00264225016925734,0.0,0.0,0.0011598340409879376,0.7963227643224021,0.09999898517436594,0.09999999997299139,2.7414422665543387e-13,3.4815802504424365e-24,3.488541194348246e-16,4.935878228589723e-25,4.570172243482085e-39,0.004697671778916322,2.4551119347101643e-16,1.924662259110621e-18,1.3610014920722156e-17,1.014799169680256e-06,2.673363133274042e-11,1.0989158617815329e-16,7.851340297746946e-21,1.0639341563330263e-23,1.789293503091591e-21,9.780359100420206e-28,4.630078324516656e-33,5.794859357737396e-28,0.001328399787888656,2.6735307753430945e-11,3.6970548608191456e-15,1.8704849931762278e-22
1.3560154431886714e-08,0.00264225016925734,0.0,0.0,0.001156759808590957,0.7963231407107436,0.0999989878647674,0.09999999997305994,2.7643610670666555e-13,3.540290690420434e-24,3.5158818831175325e-16,5.04290136573385e-25,4.6847405927976053e-39,0.0047045784013380445,2.448597215923434e-16,1.9271144081668645e-18,1.3687591501577634e-17,1.012108841376464e-06,2.6662771630852317e-11,1.1041548549190651e-16,7.858658195368541e-21,1.0654911466011767e-23,1.8101792387074676e-21,9.925472219433845e-28,4.6732263466996724e-33,5.908204990355807e-28,0.00132457008833386,2.6664442090771792e-11,3.718277281980837e-15,1.8801497116131705e-22
1.3627376591619381e-08,0.00264225016925734,0.0,0.0,0.0011537022014278724,0.7963235142656757,0.09999899054061716,0.09999999997312814,2.787347620000624e-13,3.599682444920627e-24,3.5432880487225837e-16,5.151667520656121e-25,4.8015568307976247e-39,0.004711446077368744,2.442117167057488e-16,1.9305439023832974e-18,1.3765094725701777e-17,1.0094330643793593e-06,2.6592295132867523e-11,1.1093876314357389e-16,7.865927029612784e-21,1.0670393357257227e-23,1.8311945421918892e-21,1.0071943225861319e-27,4.716529240697725e-33,6.02310321831682e-28,0.0013207626953841572,2.6593959670765104e-11,3.7395074198516196e-15,1.8897988680622124e-22
1.3694598751352048e-08,0.00264225016925734,0.0,0.0,0.0011506610935751518,0.7963238850158645,0.09999899320202545,0.09999999997319593,2.810403193932414e-13,3.6597597114249156e-24,3.5707593690749764e-16,5.262195249117018e-25,4.9206523724470075e-39,0.004718275116408952,2.435672341324674e-16,1.933120050229845e-18,1.384252588516529e-17,1.0067717284566464e-06,2.6522198937684047e-11,1.1146141828475127e-16,7.873147272055834e-21,1.0685787938156942e-23,1.852339405848766e-21,1.0219776496564686e-27,4.759986365730876e-33,6.13956524359291e-28,0.0013169774256728338,2.6523857590594123e-11,3.760745157381777e-15,1.8994324375321693e-22
1.3761820911084715e-08,0.00264225016925734,0.0,0.0,0.0011476363603429363,0.7963242529896168,0.09999899584910145,0.09999999997326334,2.833522148501519e-13,3.7205266870915965e-24,3.5982955241525667e-16,5.37450318686966e-25,5.042058879499288e-39,0.004725065824669477,2.4292626408113804e-16,1.9354102450467005e-18,1.3919881573991635e-17,1.0041247244562625e-06,2.6452480170820338e-11,1.1198345011103532e-16,7.88031938833104e-21,1.0701095902546887e-23,1.87361382022846e-21,1.0368976375998761e-27,4.803597083368213e-33,6.257602250351186e-28,0.0013132140977879239,2.645413297588136e-11,3.78199037907495e-15,1.9090503965902397e-22
1.3829043070817382e-08,0.00264225016925734,0.0,0.0,0.0011446278782602484,0.7963246182148843,0.09999899848195326,0.09999999997333035,2.856708030535028e-13,3.781987568699438e-24,3.6258961959846784e-16,5.488610049197711e-25,5.165808260533803e-39,0.004731818505212046,2.422886694031458e-16,1.938926887890723e-18,1.3997161412937416e-17,1.0014919442935982e-06,2.638313598517658e-11,1.12504857861131e-16,7.887443838221788e-21,1.0716317937105106e-23,1.8950177741540288e-21,1.0519547176329863e-27,4.847360757538074e-33,6.377225404486612e-28,0.0013094725322468543,2.6384782980347635e-11,3.8032429709655446e-15,1.918652723331489e-22
1.3896265230550049e-08,0.00264225016925734,0.0,0.0,0.0011416355250603747,0.7963249807192692,0.09999900110068792,0.09999999997339702,2.879963432926356e-13,3.844146552592595e-24,3.653561068637363e-16,5.604534630453199e-25,5.2919326709836796e-39,0.004738533457988654,2.416545183216745e-16,1.9415017280136265e-18,1.4074367151315e-17,9.988732809379561e-07,2.631416356419447e-11,1.1302564081604797e-16,7.894521075752326e-21,1.0731454721450374e-23,1.9165512547452087e-21,1.0671493177524665e-27,4.8912767545351584e-33,6.4984458531634425e-28,0.0013057525514714554,2.631580478547515e-11,3.824502820596506e-15,1.9282393973486824e-22
