Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44),CH2OX2(50),CHO3X(91)
4.7004871585533096e-07,0.0026772599839999995,0.1557,0.0,0.004241442450732402,0.6388199701287858,0.2019,0.0,0.0,5.7360239561111905e-36,0.0,2.6586709560621824e-36,6.289501191702049e-62,0.0001154076219302536,0.0,0.0,0.0,-1.317946268554202e-38,0.0,-2.4556652538593727e-36,0.0,0.0,-4.4984069109628566e-38,3.0525091314030293e-41,0.0,1.6457854848869223e-37,0.0,0.0035223260602493672,-2.355452128953574e-46,-6.30730566384099e-45,0.0,9.254336403807812e-40,7.061798371661265e-43,0.0
4.710405734646451e-07,0.0026772599839999995,0.1557,0.0,0.004241230777404843,0.6388197557411391,0.2019,0.0,0.0,5.747620337251678e-36,0.0,2.6543762115084367e-36,6.304851816945644e-62,0.00011540219329257544,0.0,0.0,0.0,-1.3218095331119822e-38,0.0,-2.4500352853570242e-36,0.0,0.0,-4.4817039668700703e-38,-3.9567566740993466e-42,0.0,1.6430225297594601e-37,0.0,0.0035225431622146032,-2.349478129101317e-46,-6.28725335378278e-45,0.0,9.238724651294712e-40,7.075599290119224e-43,0.0
4.720324310739592e-07,0.0026772599839999995,0.1557,0.0,0.004241021097161772,0.6388195433721353,0.2019,0.0,0.0,5.7592146907078944e-36,0.0,2.6499669162044076e-36,6.320176996763074e-62,0.00011539681577092301,0.0,0.0,0.0,-1.3256604556536136e-38,0.0,-2.4444127288900286e-36,0.0,0.0,-4.452164704135831e-38,-3.5774945078235186e-41,0.0,1.6401878672508766e-37,0.0,0.0035227582199793286,-2.343509534485581e-46,-6.267226700278402e-45,0.0,9.223179737365083e-40,7.08940116602391e-43,0.0
4.7302428868327334e-07,0.0026772599839999995,0.1557,0.0,0.004240813391042581,0.6388193330025701,0.2019,0.0,0.0,5.770807016068089e-36,0.0,2.6456671401686707e-36,6.335476907780435e-62,0.00011539148887918326,0.0,0.0,0.0,-1.3294990566762388e-38,0.0,-2.4387977159820306e-36,0.0,0.0,-4.4438992889347024e-38,3.818458655743528e-41,0.0,1.637422000567051e-37,0.0,0.0035229712529902587,-2.337562362790691e-46,-6.247077479472631e-45,0.0,9.207696086777978e-40,7.1032036466983545e-43,0.0
4.7401614629258747e-07,0.0026772599839999995,0.1557,0.0,0.004240607640270901,0.6388191246134268,0.2019,0.0,0.0,5.782397312925654e-36,0.0,2.641465736226127e-36,6.350751644243539e-62,0.00011538621213570865,0.0,0.0,0.0,-1.3333253560892963e-38,0.0,-2.433190341790127e-36,0.0,0.0,-4.43441203804488e-38,4.907003342474421e-42,0.0,1.634717939571087e-37,0.0,0.0035231822805054146,-2.3316142315304334e-46,-6.227106494225236e-45,0.0,9.192273641643266e-40,7.117007186452008e-43,0.0
4.750080039019016e-07,0.0026772599839999995,0.1557,0.0,0.004240403826252539,0.6388189181858723,0.2019,0.0,0.0,5.793985580880862e-36,0.0,2.6370703408509738e-36,6.366001164283529e-62,0.00011538098506347611,0.0,0.0,0.0,-1.3371393730699214e-38,0.0,-2.4275905583812323e-36,0.0,0.0,-4.400797876452305e-38,-5.400816287820106e-41,0.0,1.6318923556632563e-37,0.0,0.003523391321596009,-2.325666820358161e-46,-6.20719967449942e-45,0.0,9.176900416162715e-40,7.130811711835925e-43,0.0
4.759998615112157e-07,0.0026772599839999995,0.1557,0.0,0.004240201930573321,0.6388187137012565,0.2019,0.0,0.0,5.80557181953445e-36,0.0,2.6327945918160304e-36,6.381225663270318e-62,0.00011537580719037884,0.0,0.0,0.0,-1.340941128087253e-38,0.0,-2.421998480122997e-36,0.0,0.0,-4.3947451385844837e-38,4.5131399622556633e-41,0.0,1.629141917063409e-37,0.0,0.003523598395148324,-2.3197474411875127e-46,-6.187101297255477e-45,0.0,9.161590891465127e-40,7.144616643333122e-43,0.0
4.769917191205298e-07,0.0026772599839999995,0.1557,0.0,0.004240001934997719,0.6388185111411102,0.2019,0.0,0.0,5.817156028491121e-36,0.0,2.6287060715621398e-36,6.396425293681387e-62,0.00011537067804872738,0.0,0.0,0.0,-1.3447306411041112e-38,0.0,-2.4164142869650257e-36,0.0,0.0,-4.395263274135581e-38,2.0780158301545982e-41,0.0,1.6265090015651784e-37,0.0,0.003523803519865577,-2.313826896004302e-46,-6.1672033122696e-45,0.0,9.146348994856457e-40,7.158422574544526e-43,0.0
4.779835767298439e-07,0.0026772599839999995,0.1557,0.0,0.004239803821467074,0.6388183104871427,0.2019,0.0,0.0,5.8287382073607464e-36,0.0,2.6243162433555788e-36,6.411599948447388e-62,0.00011536559717518231,0.0,0.0,0.0,-1.3485079311607062e-38,0.0,-2.410837909625777e-36,0.0,0.0,-4.3553214435043096e-38,-7.826526527391507e-41,0.0,1.6236872684384917e-37,0.0,0.0035240067142697663,-2.3078990909385822e-46,-6.14743374089626e-45,0.0,9.131145989183792e-40,7.17222958447233e-43,0.0
4.789754343391579e-07,0.0026772599839999995,0.1557,0.0,0.004239607572097366,0.6388181117212409,0.2019,0.0,0.0,5.840318355750995e-36,0.0,2.6200313648655244e-36,6.426749823693436e-62,0.00011536056411118481,0.0,0.0,0.0,-1.3522730193289214e-38,0.0,-2.405269394057807e-36,0.0,0.0,-4.3482145350683207e-38,4.925712595812925e-41,0.0,1.6209314633756175e-37,0.0,0.003524207996703473,-2.302007964447991e-46,-6.127383837691499e-45,0.0,9.115994289007818e-40,7.186036763946646e-43,0.0
