Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(51),H2X(50),COX(60)
1.3405066533658886e-07,0.002719578564615631,0.0915567593028733,0.0,0.00034439242294863673,0.4515388324275242,8.465001669471837e-13,0.45307474275011883,8.599018503418484e-16,1.971422006113818e-19,2.0681687043658565e-16,6.999987222246678e-18,-1.0505817047568108e-28,7.584450495998832e-06,8.744979902557579e-13,4.646106668925277e-21,5.570565967835591e-20,2.8023591785306e-14,4.20656289507187e-11,8.186821798331515e-16,2.849327878846937e-22,1.320024069519349e-20,8.048965648471625e-18,8.602318433366199e-23,1.1283471480909009e-32,2.653973367952445e-19,0.0038258695479817095,3.703331013118967e-09,5.8369606213465686e-24
1.343359478261187e-07,0.002719578564615631,0.0915567593028733,0.0,0.0003441638934211204,0.4515388350011076,8.484970017964453e-13,0.4530746259102207,8.600626830989396e-16,1.973709541031655e-19,2.068532154761245e-16,7.011771806243955e-18,-1.048817858707443e-28,7.57929704023878e-06,8.764975152438774e-13,-1.6217399268145954e-20,6.569593342679094e-20,2.8026286901117233e-14,4.202107063316763e-11,8.188096229712383e-16,2.8465696921476767e-22,1.3191457355493117e-20,8.054222652659811e-18,-9.160919277340867e-23,1.1277785334064066e-32,2.658440573911998e-19,0.0038259863879223674,3.7064755290952823e-09,5.83364835731625e-24
1.3462123031564856e-07,0.002719578564615631,0.0915567593028733,0.0,0.00034393689486612546,0.45153883755747437,8.504939020839353e-13,0.45307450985302633,8.601962671543721e-16,1.975995881692036e-19,2.0688951144607913e-16,7.023479590705368e-18,-1.0467933490389144e-28,7.574178021680415e-06,8.784971010667297e-13,1.736423906281648e-20,4.8289697643953514e-20,2.802897740866099e-14,4.197684434303953e-11,8.189368806693827e-16,2.8438374061145164e-22,1.318273246419994e-20,8.059003205504355e-18,2.7719873208931047e-22,1.1272145076088427e-32,2.66287865185432e-19,0.0038261024451590373,3.70961796469268e-09,5.8303603425014144e-24
1.349065128051784e-07,0.002719578564615631,0.0915567593028733,0.0,0.0003437114160442412,0.4515388400967507,8.524908673582367e-13,0.45307439457278986,8.60346309898602e-16,1.9782810374516275e-19,2.0692575870722993e-16,7.035202231101514e-18,-1.04450465378182e-28,7.569093188427745e-06,8.804967473169426e-13,1.4342566484388126e-20,5.0829487016402974e-20,2.803166335202452e-14,4.193294724862357e-11,8.190639542812189e-16,2.8411198286034636e-22,1.3174065596775588e-20,8.064253026239766e-18,1.5166860433659043e-22,1.1266550382930677e-32,2.667322361740368e-19,0.00382621772543737,3.7127583338432756e-09,5.8270964048918584e-24
1.3519179529470826e-07,0.002719578564615631,0.0915567593028733,0.0,0.00034348744581102385,0.4515388426190612,8.544878971713496e-13,0.4530742800638144,8.605166868100655e-16,1.9805650176000618e-19,2.0696195761734334e-16,7.047031654257815e-18,-1.042999681935298e-28,7.564042290722952e-06,8.824964535901286e-13,-2.6637114372811778e-20,7.079598596468497e-20,2.8034344774821127e-14,4.1889376546140505e-11,8.191908451485926e-16,2.8384204912270416e-22,1.316545633238032e-20,8.069644456227522e-18,-2.35882089085782e-22,1.1261000934817292e-32,2.671806566440697e-19,0.003826332234454456,3.7158966503769637e-09,5.823856373869405e-24
1.354770777842381e-07,0.002719578564615631,0.0915567593028733,0.0,0.00034326497311609543,0.45153884512452985,8.56484991078661e-13,0.4530741663204507,8.606466878885198e-16,1.9828478313633974e-19,2.0699810853104764e-16,7.058743932568115e-18,-1.0411737247320527e-28,7.5590250808787945e-06,8.844962194848695e-13,1.4137625107213426e-20,4.9188208283432275e-20,2.803702172033755e-14,4.184612945943421e-11,8.193175546019983e-16,2.83575018767898e-22,1.3156904253700857e-20,8.074216900241037e-18,3.0763366352692674e-22,1.1255496414771308e-32,2.676246342316354e-19,0.0038264459778593256,3.719032928022279e-09,5.820640080215912e-24
1.3576236027376796e-07,0.002719578564615631,0.0915567593028733,0.0,0.00034304398700215987,0.4515388476132794,8.584821486389142e-13,0.45307405333709755,8.607851627392864e-16,1.9851294879021563e-19,2.0703421180003156e-16,7.07041064093141e-18,-1.0384885166777683e-28,7.554041313287899e-06,8.864960446026842e-13,3.1532090360840606e-20,4.2292673177323e-20,2.803969423141138e-14,4.180320323966675e-11,8.194440839605547e-16,2.833093182339924e-22,1.3148408946648209e-20,8.079358668549243e-18,3.196875102933716e-22,1.1250036506183064e-32,2.6806688338517377e-19,0.0038265589612534257,3.722167180407251e-09,5.817447356080191e-24
1.360476427632978e-07,0.002719578564615631,0.0915567593028733,0.0,0.00034282447660402256,0.45153885008543154,8.604793694141812e-13,0.45307394110820043,8.609689133511181e-16,1.987409996309892e-19,2.0707026777312941e-16,7.082285736018856e-18,-1.037111735871613e-28,7.5490907444360675e-06,8.884959285479976e-13,-3.802047602477125e-20,7.687558125295599e-20,2.8042362350356403e-14,4.176059516501704e-11,8.195704345301982e-16,2.8304497163587007e-22,1.3139970000760797e-20,8.085049137125405e-18,-4.42612221308606e-22,1.1244620896591335e-32,2.685170353076994e-19,0.003826671190191102,3.725299421060248e-09,5.8142780349566835e-24
1.3633292525282766e-07,0.002719578564615631,0.0915567593028733,0.0,0.00034260643114774914,0.45153885254110715,8.624766529698317e-13,0.4530738296282518,8.611006358711133e-16,1.9896893656193454e-19,2.071062767960527e-16,7.094026849121163e-18,-1.0357050528721913e-28,7.544173132811313e-06,8.904958709281314e-13,1.019053356773065e-21,5.470306519689442e-20,2.8045026119217315e-14,4.171830254038268e-11,8.196966076077409e-16,2.8278400004686337e-22,1.3131587009093606e-20,8.089393624569083e-18,2.7083926601975605e-22,1.1239249277270826e-32,2.68962105804865e-19,0.003826782670180074,3.728429663410817e-09,5.811131951704541e-24
1.366182077423575e-07,0.002719578564615631,0.0915567593028733,0.0,0.00034238983994973587,0.45153885498042584,8.644739988745064e-13,0.45307371889179,8.612174032967051e-16,1.9919676048003156e-19,2.0714223921164023e-16,7.105589801066797e-18,-1.0323660373122217e-28,7.5392882389001375e-06,8.924958713532757e-13,5.910268284015624e-20,2.825151153203875e-20,2.804768557964851e-14,4.167632269708571e-11,8.198226044804496e-16,2.8252436932042117e-22,1.3123259567692443e-20,8.094245362659003e-18,6.527336262953813e-22,1.123392133900947e-32,2.694004193991419e-19,0.003826893406681898,3.731557920790511e-09,5.808008942513908e-24
1.3690349023188736e-07,0.002719578564615631,0.0915567593028733,0.0,0.0003421746924157102,0.4515388574035064,8.664714067000877e-13,0.45307360889339915,8.614165670094533e-16,1.994244722754413e-19,2.0717815536009798e-16,7.117516786755498e-18,-1.030985534437342e-28,7.53443582524484e-06,8.944959294364472e-13,-4.508094895500088e-20,8.148230012804182e-20,2.8050340772695627e-14,4.163465299258166e-11,8.199484264212334e-16,2.822652680818246e-22,1.3114987276131681e-20,8.100456671193275e-18,-7.119358102454924e-22,1.1228636776076225e-32,2.6985253861099633e-19,0.0038270034051124287,3.734684206433716e-09,5.8049088448749506e-24
1.371887727214172e-07,0.002719578564615631,0.0915567593028733,0.0,0.0003419609780399416,0.45153885981046654,8.684688760216713e-13,0.4530734996277087,8.615624092376482e-16,1.9965207283251739e-19,2.0721402557849801e-16,7.129360078086153e-18,-1.0305809327258273e-28,7.5296156563338436e-06,8.964960447934875e-13,-3.070448795620983e-20,6.928722607007609e-20,2.8052991739183215e-14,4.159329081017176e-11,8.200740746937996e-16,2.8201016671552135e-22,1.310676973757099e-20,8.104618250153564e-18,5.090855648875661e-23,1.1223395287874723e-32,2.703014835339999e-19,0.0038271126708422825,3.737808533478451e-09,5.8018314976076845e-24
1.3744552696199409e-07,0.002719578564615631,0.0915567593028733,0.0,0.00034176985183973684,0.45153886196304427,8.702666506415626e-13,0.4530734019106434,8.616690615206763e-16,1.9985681895116888e-19,2.0724626978117573e-16,7.13990135440715e-18,-1.0287526552911393e-28,7.525304880469712e-06,8.982961972687315e-13,2.2530258181852075e-20,4.2462466937762947e-20,2.8055374028786758e-14,4.1556325635294545e-11,8.20187010678684e-16,2.8178136400594266e-22,1.3099420440859244e-20,8.108925402262943e-18,2.901869987196631e-22,1.1218714527620428e-32,2.7070107059011053e-19,0.003827210387942781,3.740618763998581e-09,5.79908120445488e-24
1.3770228120257096e-07,0.002719578564615631,0.0915567593028733,0.0,0.00034157987052331137,0.4515388641027435,8.720644744263417e-13,0.453073304778899,8.61812610555838e-16,2.0006147631409564e-19,2.0727847729315593e-16,7.15040272647699e-18,-1.0260025275942765e-28,7.521019864691185e-06,9.000963955507786e-13,-6.457254703211777e-21,6.081361937179366e-20,2.8057752956834424e-14,4.1519605582746765e-11,8.202998079187855e-16,2.8155369129000484e-22,1.3092114889927887e-20,8.113934605581896e-18,-1.384253661971739e-22,1.1214068195760264e-32,2.710991441199486e-19,0.00382730751972201,3.743427428061868e-09,5.796349093914259e-24
1.3795903544314783e-07,0.002719578564615631,0.0915567593028733,0.0,0.0003413910266123901,0.451538866229648,8.738623470728223e-13,0.45307320822865277,8.619429303400945e-16,2.0026604555302196e-19,2.0731064835449908e-16,7.160890601748781e-18,-1.0237425109879395e-28,7.516760441348206e-06,9.018966393653351e-13,-2.463820402629489e-21,5.926446338928864e-20,2.8060128552202026e-14,4.1483128797530095e-11,8.204124673175102e-16,2.8132821728571634e-22,1.3084852802096904e-20,8.118204371995155e-18,1.7919585696467375e-22,1.1209456077281055e-32,2.7149670561593005e-19,0.0038274040700029257,3.746234535048915e-09,5.7936350511313004e-24
