Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(51),H2X(50),COX(60),CHOX2(61),SX(53),CH3OX(46),CH3X(55),CH4(41),CH2OX2(52),CHX(32),SX(406),SX(420),C2HOX(418),C2H4O(376)
1.777994463063337e-09,0.000539690409995138,0.1557,0.0,0.000492096424659801,0.6423853867611846,0.20083301354885,2.0091819500303664e-17,3.881218592608665e-23,5.557416841551784e-12,4.8286816948839675e-29,3.5809558343184e-15,4.2436133063129674e-21,2.9226004546980398e-05,7.57903222703321e-21,5.605946193695078e-27,1.724232491293527e-24,0.001066985982848799,3.342668555525196e-24,4.599516569245523e-10,2.869520442204744e-35,1.0687025574178786e-32,9.383588081960266e-13,2.735844205977345e-19,2.779061911121191e-43,1.441260320229419e-16,5.361132696207699e-14,3.393449474750117e-14,1.7369513120777836e-12,6.137820185509978e-16,5.332856363840533e-33,3.645555869406948e-17,3.047184275320193e-22,2.1197489357539225e-20,3.9660074865548947e-16,5.189940718521663e-14,1.5323635731956649e-18,4.709916214384773e-18,1.0485566145641242e-16,1.6208997497175671e-15
1.779104675366121e-09,0.000539690409995138,0.1557,0.0,0.0004919168829193807,0.6423853922653274,0.20083282299861865,2.012094468254842e-17,3.883500770671338e-23,5.558899440147728e-12,4.83491891925865e-29,3.5837807652927485e-15,4.250273494533696e-21,2.921499605781322e-05,7.573357953870112e-21,5.605421848895278e-27,1.723268658937319e-24,0.0010671765328789458,3.343978824852601e-24,4.6015078530962465e-10,2.869715245912458e-35,1.0695569595940021e-32,9.391947962728192e-13,2.7367848593891233e-19,2.78310315503116e-43,1.4423901940640934e-16,5.3645385753955105e-14,3.394706742706692e-14,1.736628011222181e-12,6.134416822791022e-16,5.3394669879662015e-33,3.6497389884540034e-17,3.051615376039249e-22,2.123457372472837e-20,3.962433929981718e-16,5.1930208467528267e-14,1.5372605325301962e-18,4.707575651198932e-18,1.0501630213804556e-16,1.6240231442140553e-15
1.7813250999716889e-09,0.000539690409995138,0.1557,0.0,0.0004915585150837168,0.6423854032523517,0.2008324426563233,2.0179250519570553e-17,3.88806165877831e-23,5.561860662589976e-12,4.8474001346942207e-29,3.589429450116426e-15,4.263610221249696e-21,2.9193021601672775e-05,7.562036871346932e-21,5.604660394338981e-27,1.721346281623773e-24,0.0010675568747721875,3.346596451000013e-24,4.6054872941577304e-10,2.870103358333185e-35,1.0712658970246898e-32,9.408669080597973e-13,2.738663980903453e-19,2.7911932401475435e-43,1.4446494322808613e-16,5.371346484815141e-14,3.3972199039015484e-14,1.7359820232394814e-12,6.127623431201621e-16,5.352697641855171e-33,3.6581089468712986e-17,3.0604792211014024e-22,2.1308861294052685e-20,3.9553050418217917e-16,5.1991762479907526e-14,1.5378597388229171e-18,4.717528076928151e-18,1.053351129869461e-16,1.6302770829441011e-15
1.7857659491828248e-09,0.000539690409995138,0.1557,0.0,0.0004908446331032177,0.6423854251416122,0.20083168499500154,2.0296083888818893e-17,3.8971696121980256e-23,5.567767271485507e-12,4.872389908502575e-29,3.600722191135027e-15,4.290349017120793e-21,2.9149242267390792e-05,7.539503647608919e-21,5.603093808691364e-27,1.7175225202879146e-24,0.0010683145352910972,3.3518200910035365e-24,4.613433707335802e-10,2.87087419506538e-35,1.0746820912358169e-32,9.442116725374763e-13,2.742422261587023e-19,2.807403817299364e-43,1.4491659032641057e-16,5.384946935576088e-14,3.402240744452154e-14,1.734692511225484e-12,6.114089846524465e-16,5.379196550268629e-33,3.674863719525605e-17,3.0782158856619003e-22,2.1457911928262525e-20,3.941119861589338e-16,5.2114676577950475e-14,1.5443516518042166e-18,4.738077640356113e-18,1.0597060123071023e-16,1.6428216229019184e-15
1.7897627134728472e-09,0.000539690409995138,0.1557,0.0,0.000490205378678766,0.6423854447456857,0.20083100653169308,2.0401486349546404e-17,3.9053511593645435e-23,5.573065264508622e-12,4.894911481514308e-29,3.610884030101187e-15,4.3144853726781145e-21,2.9110033389700443e-05,7.519355060793205e-21,5.6016730655508746e-27,1.714105357721396e-24,0.0010689929978783832,3.35650816714092e-24,4.6205713230995153e-10,2.871561842920423e-35,1.0777559737584971e-32,9.472225710379423e-13,2.7458025850274952e-19,2.8220358218431e-43,1.4532299185201298e-16,5.3971698651449394e-14,3.4067532781887466e-14,1.7335347732138944e-12,6.101970052634084e-16,5.4030884376425425e-33,3.6899599112239853e-17,3.0942237843473856e-22,2.1592602125063455e-20,3.9284354853155223e-16,5.2225078626301315e-14,1.556063466999338e-18,4.768754285525438e-18,1.0653319968426571e-16,1.6541491294309966e-15
1.7933598013338672e-09,0.000539690409995138,0.1557,0.0,0.0004896326609638379,0.642385462311743,0.20083039868120153,2.0496552753739133e-17,3.9127020208238085e-23,5.577819003852907e-12,4.915205582020692e-29,3.6200310052038026e-15,4.336263757759346e-21,2.9074900618781873e-05,7.501332030041437e-21,5.600556025966079e-27,1.7110496010249672e-24,0.0010696008477220134,3.3607167852501146e-24,4.6269837642177403e-10,2.872175752965025e-35,1.0805230463271225e-32,9.499328693205533e-13,2.748845955006647e-19,2.835242445421613e-43,1.4568879458309118e-16,5.408156386007556e-14,3.4108095422852576e-14,1.7324951079268847e-12,6.091110992684345e-16,5.424625852770309e-33,3.703560134104137e-17,3.1086820349841266e-22,2.171426718473572e-20,3.91708576741927e-16,5.232426215618314e-14,1.5607930275540462e-18,4.801999324435165e-18,1.0704196848657154e-16,1.664378990113966e-15
1.7969568891948873e-09,0.000539690409995138,0.1557,0.0,0.0004890624060217472,0.6423854798045938,0.20082979343989685,2.0591812356888962e-17,3.9200410575646015e-23,5.582559127628047e-12,4.935523331528287e-29,3.629178965625295e-15,4.358095119982458e-21,2.9039914261905316e-05,7.483411237379751e-21,5.599094595317704e-27,1.708012144357238e-24,0.0010702060883798477,3.364915365992583e-24,4.633385439900132e-10,2.872785283166229e-35,1.083289617928078e-32,9.526436299441291e-13,2.751892628025485e-19,2.848481381430542e-43,1.460546257561966e-16,5.4191295693258626e-14,3.414861075320705e-14,1.7314576312952512e-12,6.0802979490152805e-16,5.4461961228823385e-33,3.717173257689593e-17,3.1231757361681426e-22,2.1836353942242385e-20,3.9057984078526016e-16,5.2423277116094926e-14,1.576048672914146e-18,4.8072846881062075e-18,1.0756272153431048e-16,1.6746496875450398e-15
1.8005539770559073e-09,0.000539690409995138,0.1557,0.0,0.0004884946032357025,0.6423854972245433,0.20082919079655218,2.0687264924554396e-17,3.9273682963153885e-23,5.587285710649033e-12,4.9558648936007577e-29,3.638326505475139e-15,4.379980671563363e-21,2.9005073708913252e-05,7.465588349747565e-21,5.597741447048477e-27,1.704992501478688e-24,0.0010708087310788356,3.36910396116934e-24,4.6397763953040353e-10,2.873390286516222e-35,1.086056217993191e-32,9.553548526904174e-13,2.7549319191260426e-19,2.8617490135542393e-43,1.4642042844040877e-16,5.4300894492141834e-14,3.4189078976390636e-14,1.7304223534437144e-12,6.069530755618308e-16,5.467799209966654e-33,3.730799252151307e-17,3.1376927608604926e-22,2.19588621502541e-20,3.894573044716179e-16,5.252212384725312e-14,1.5872271758402152e-18,4.821275168328133e-18,1.0808107625417528e-16,1.6849535424266127e-15
1.8041510649169274e-09,0.000539690409995138,0.1557,0.0,0.00048792924203477526,0.642385514571895,0.20082859073998885,2.078291022289479e-17,3.934683771634684e-23,5.591998827297183e-12,4.9762303405188264e-29,3.6474727437742525e-15,4.401921186354287e-21,2.8970378352205335e-05,7.447860997446099e-21,5.597030964239328e-27,1.701990261700173e-24,0.0010714087869974466,3.373282615599825e-24,4.6461566754148515e-10,2.873990537342962e-35,1.0888235817602033e-32,9.5806653684221e-13,2.757967918018592e-19,2.8750454487105525e-43,1.4678616696138396e-16,5.441036059883969e-14,3.422950029496611e-14,1.729389284285349e-12,6.058809246575097e-16,5.489435082671707e-33,3.7444380880006416e-17,3.1522328460531003e-22,2.2081791240170715e-20,3.8834093180909796e-16,5.262080269361257e-14,1.5742378526666969e-18,4.874778916309268e-18,1.0859034233673998e-16,1.6952865255204246e-15
1.8077481527779474e-09,0.000539690409995138,0.1557,0.0,0.00048736631189375354,0.6423855318469516,0.20082799325907685,2.0878748018672018e-17,3.941987585709614e-23,5.5966985515224875e-12,4.996619640021065e-29,3.656617798232311e-15,4.4239166000235254e-21,2.893582758679917e-05,7.430229448626734e-21,5.5957566027685656e-27,1.6990056462497912e-24,0.0010720062672658827,3.3774513669329456e-24,4.65252632503874e-10,2.8745867537462533e-35,1.0915891730649537e-32,9.607786806902046e-13,2.7610167132924668e-19,2.8883729521810147e-43,1.471518460873035e-16,5.451969435640805e-14,3.426987491062313e-14,1.7283584335242998e-12,6.048133256107159e-16,5.511103744739821e-33,3.7580897361060934e-17,3.166802356550053e-22,2.2205141219636076e-20,3.87230687054817e-16,5.271931400498105e-14,1.5867439890385744e-18,4.892060595416992e-18,1.0910641008734975e-16,1.7056588115850154e-15
1.8113452406389675e-09,0.000539690409995138,0.1557,0.0,0.00048680580233293917,0.6423855490500144,0.20082739834273391,2.0974778079252158e-17,3.9492798355612106e-23,5.601384956846083e-12,5.0170325703600176e-29,3.665762248699402e-15,4.4459664549811226e-21,2.890142081032044e-05,7.412694631072899e-21,5.593887829368824e-27,1.6960388177636282e-24,0.0010726011829662854,3.381610252473028e-24,4.65888538879515e-10,2.875179013399541e-35,1.0943534089870271e-32,9.63491282095491e-13,2.764059022648545e-19,2.901732207103068e-43,1.4751748930099877e-16,5.4628896108815524e-14,3.431020302418196e-14,1.7273298106577494e-12,6.037502618544495e-16,5.53280520051668e-33,3.771754167656106e-17,3.18140762634227e-22,2.2328912858844693e-20,3.861265346342453e-16,5.28176581286945e-14,1.6244160249214394e-18,4.8717832664468376e-18,1.0963117757740157e-16,1.7160701654530013e-15
