Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44),CH2OX2(50),CH3X(53),CH4(39),H(23)
6.234912613433017e-08,0.0027792097116130575,0.0915567593028733,0.0,0.0005761213419107862,0.4515366067343173,1.7276950181324382e-37,0.453105087491946,4.523733068673954e-17,3.7592935890155945e-22,3.3918751181937505e-16,-1.1612932941942037e-19,7.448039968868412e-32,1.2043242982209977e-05,8.144883231037617e-13,1.2639909966832992e-22,1.0862348915838686e-20,8.145332941766994e-13,1.0206665866452424e-10,2.7484540466013675e-19,5.831774349343652e-21,3.519063354515094e-20,1.4152919466458102e-19,-1.8096312852496427e-20,3.9271341968756496e-32,-5.71048655262597e-21,0.003795524746203321,2.874754493284173e-13,3.8475107906395666e-22,1.168060273748273e-26,6.722991631062489e-19,2.0095220238189306e-23,5.802092304413454e-28,6.560226490323147e-27,5.645189232808512e-26,7.538028735371495e-22
6.248151065552535e-08,0.0027792097116130575,0.0915567593028733,0.0,0.0005754199003824091,0.45153661417164515,1.7319855868488766e-37,0.45310472933395773,4.5245954989500196e-17,3.7629230226623684e-22,3.392554691239569e-16,-1.1448610613841123e-19,7.319960562125425e-32,1.2028368326109952e-05,8.164497344278389e-13,6.392627480774602e-22,1.0576353871657754e-20,8.164947137724322e-13,1.0185889406769126e-10,2.754371977572704e-19,2.3304557297733248e-21,3.5147446194814845e-20,1.350206048810749e-19,-1.3325206171870277e-20,3.9230791038324165e-32,-5.6296991222844406e-21,0.0037958829043974246,2.8771685746014096e-13,3.8520802028033953e-22,1.1680270493972462e-26,6.72534145906916e-19,1.9633492349221404e-23,5.794894373198248e-28,4.88552397903872e-27,5.640507438999785e-26,7.542234578708408e-22
6.261389517672053e-08,0.0027792097116130575,0.0915567593028733,0.0,0.0005747220010263101,0.4515366215715543,1.736277012029106e-37,0.45310437298447387,4.5255479274227316e-17,3.766549741318953e-22,3.393236550964501e-16,-1.2008985099133422e-19,7.430835383340176e-32,1.2013568507329759e-05,8.184113302380903e-13,-7.093808137915969e-22,1.1230144264146814e-20,8.184563178318636e-13,1.016520733978443e-10,2.760294447111735e-19,-9.212845810586819e-21,3.5104472608400667e-20,8.235114897731856e-20,4.5210820132225624e-20,3.9190228014528134e-32,-5.90525484011285e-21,0.00379623925408618,2.879579722398233e-13,3.8566516927088196e-22,1.1679982934515005e-26,6.727685215447787e-19,1.9766966073345292e-23,5.787753965443303e-28,-1.4208089590826287e-26,5.716609165919835e-26,7.546432454976294e-22
6.274627969791571e-08,0.0027792097116130575,0.0915567593028733,0.0,0.0005740276217685991,0.45153662893427715,1.7405692925111915e-37,0.4531040184322248,4.5264277427655213e-17,3.7701737093052683e-22,3.393914560394231e-16,-1.1725893850053472e-19,7.517765741424126e-32,1.1998843060928229e-05,8.20373109604955e-13,-6.067712496870671e-22,1.1137210095412323e-20,8.204181054261321e-13,1.0144619250301522e-10,2.766214054844586e-19,6.6478535944633894e-21,3.506172171088338e-20,1.352606306875243e-19,-1.0681100733268473e-20,3.914996465697148e-32,-5.766057776384392e-21,0.003796593806539074,2.8819879514794234e-13,3.861225275257759e-22,1.1679739269389947e-26,6.730022938480074e-19,1.9861402249758936e-23,5.780667479317781e-28,4.520123208311226e-27,5.805283135977418e-26,7.55062240218923e-22
6.28786642191109e-08,0.0027792097116130575,0.0915567593028733,0.0,0.0005733367407101744,0.4515366362600446,1.7448624299629722e-37,0.45310366566603055,4.527192516597966e-17,3.7737948613714344e-22,3.3945854821830505e-16,-1.0785084332220886e-19,7.193216227801613e-32,1.1984191525648252e-05,8.22335071604886e-13,1.7053863512225374e-21,9.963675750587262e-21,8.223800756329842e-13,1.0124124736169124e-10,2.7721234379163803e-19,1.5446295039676836e-20,3.5019183973856114e-20,1.917051097378608e-19,-7.700877792303792e-20,3.9110181715894225e-32,-5.3034536644762075e-21,0.0037969465729364026,2.8843932765576453e-13,3.8658009651786705e-22,1.1679537638261514e-26,6.7323546687335e-19,1.8955305309318912e-23,5.773639361553465e-28,2.492286287078229e-26,5.853773033711091e-26,7.554804458105969e-22
6.301104874030608e-08,0.0027792097116130575,0.0915567593028733,0.0,0.0005726493361242944,0.45153664354908524,1.7491564237025569e-37,0.4531033146747988,4.528161189277302e-17,3.7774134289903936e-22,3.395264492698382e-16,-1.2048326524559396e-19,7.30349159780764e-32,1.1969613443815561e-05,8.242972153149564e-13,-1.6330026079528067e-22,1.0910660009165189e-20,8.243422275274298e-13,1.0103723472146612e-10,2.7780499240982255e-19,-2.1179582937338398e-20,3.497684578450945e-20,4.6968920951544855e-20,8.096867906430461e-20,3.907025569874373e-32,-5.924624049543286e-21,0.003797297564370161,2.886795712254521e-13,3.870378776985197e-22,1.1679380933904733e-26,6.73468044351066e-19,1.9080770995891424e-23,5.766671151262267e-28,-2.694098139136482e-26,5.896336076948176e-26,7.558978660232121e-22
6.314343326150126e-08,0.0027792097116130575,0.0915567593028733,0.0,0.0005719653864557704,0.45153665080162614,1.7534512723499296e-37,0.45310296544752515,4.529180538598801e-17,3.781029472752996e-22,3.395945707016693e-16,-1.2980278522439007e-19,7.959043885684525e-32,1.1955108361388935e-05,8.262595398214233e-13,-2.923290763197044e-21,1.2220978152498609e-20,8.263045601952302e-13,1.0083415046192807e-10,2.783995804806526e-19,-8.546035357990655e-21,3.493473079716311e-20,5.439268657644618e-20,8.331039222106285e-20,3.903035785259853e-32,-6.382878018047906e-21,0.003797646791844912,2.8891952731005193e-13,3.8749587250960004e-22,1.1679270080093456e-26,6.737000298179992e-19,2.0544947913601815e-23,5.759752533270879e-28,-2.4406258153435154e-26,5.970245860810434e-26,7.563145045822275e-22
6.327581778269644e-08,0.0027792097116130575,0.0915567593028733,0.0,0.0005712848703200555,0.4515366580178927,1.7577469687435928e-37,0.4531026179732917,4.529792397522338e-17,3.7846425476545036e-22,3.396600924266148e-16,-9.722564831083571e-20,7.186093902981826e-32,1.1940675827978949e-05,8.282220442242045e-13,2.415873869818866e-21,9.485979640045145e-21,8.282670727418363e-13,1.0063198955617756e-10,2.789896865728571e-19,5.0296404488052404e-20,3.489284059173814e-20,3.2375374016277645e-19,-2.202422857366518e-19,3.8991303354855395e-32,-4.781005459780674e-21,0.0037979942662786387,2.8915919735355563e-13,3.8795408238253645e-22,1.1679197825417742e-26,6.739314266446364e-19,1.857292275471365e-23,5.752887840079063e-28,7.267603296741847e-26,6.006084021310201e-26,7.567303651882143e-22
6.340820230389162e-08,0.0027792097116130575,0.0915567593028733,0.0,0.0005706077664993318,0.4515366651981081,1.7620434901259168e-37,0.4531022722412661,4.530728140862526e-17,3.7882528107226873e-22,3.3972466641783156e-16,-9.046253560197187e-20,5.612541344984724e-32,1.192631539662036e-05,8.301847276181587e-13,9.451456536134985e-22,1.030109145625374e-20,8.302297642608964e-13,1.0043074884405865e-10,2.7957537385403376e-19,-1.4096416413862107e-21,3.48511288262334e-20,9.583239551496938e-20,5.729572183260817e-22,3.8951719976989695e-32,-4.4484905774095084e-21,0.003798339998503602,2.893985827911176e-13,3.884125087195166e-22,1.1679165642548308e-26,6.741622370817949e-19,1.461983045493027e-23,5.746084476639538e-28,-5.631949110978754e-27,5.694714419611289e-26,7.571454515170634e-22
6.352734837296728e-08,0.0027792097116130575,0.0915567593028733,0.0,0.0005700012731868913,0.4515366716296617,1.7659110586281983e-37,0.45310196256314617,4.531659066512195e-17,3.791500076061783e-22,3.397843187876004e-16,-9.098976177966538e-20,5.242301757154588e-32,1.1913452289008865e-05,8.319512949622604e-13,-2.035122769453794e-21,1.1785937242139926e-20,8.319963388968089e-13,1.0025041675179324e-10,2.801030426204946e-19,-1.2014911364920683e-20,3.481377406817051e-20,1.361317683312928e-20,8.333888866344163e-20,3.891621274097067e-32,-4.474429574295616e-21,0.0037986496768020184,2.8961378752588976e-13,3.888252786486139e-22,1.1679174242137099e-26,6.743694677068289e-19,1.3635026100002667e-23,5.7400038801819506e-28,-2.960289715171103e-26,5.17370032967236e-26,7.575183702244739e-22
6.364649444204294e-08,0.0027792097116130575,0.0915567593028733,0.0,0.0005693975115629084,0.4515366780323541,1.7697793068726292e-37,0.45310165427973165,4.5323444497304377e-17,3.7947454582052807e-22,3.3984502071147547e-16,-9.008715658518543e-20,5.692759406973048e-32,1.190064690390804e-05,8.337180059071544e-13,7.907472548873942e-23,1.0614975018738351e-20,8.337630571143038e-13,1.0007082484147068e-10,2.806326986616005e-19,4.533646352204965e-21,3.4776595138508194e-20,1.1426267110212267e-19,-1.8263214947734784e-20,3.888152007704832e-32,-4.430040038780719e-21,0.003798957960394372,2.8982876391893643e-13,3.8923822604463135e-22,1.1679218321479336e-26,6.745762296397658e-19,1.466846687845807e-23,5.733968170596295e-28,8.985917545271287e-27,4.969317446764485e-26,7.578906673704279e-22
6.37656405111186e-08,0.0027792097116130575,0.0915567593028733,0.0,0.00056879646650186,0.4515366844063445,1.7736482758894434e-37,0.4531013473833004,4.533075414594327e-17,3.797989235832445e-22,3.399090776591174e-16,-1.4172497094010538e-19,7.96456408586409e-32,1.1887898922684858e-05,8.354848598034252e-13,1.1297023659187118e-21,1.0035088061287415e-20,8.355299182615244e-13,9.98919712663317e-11,2.8117217563539794e-19,-6.895947714170416e-20,3.4739559403091236e-20,-1.0804267979342867e-19,2.582094453567147e-19,3.884736285070667e-32,-6.969153277633266e-21,0.0037992648570025836,2.900435129982197e-13,3.8965135189672223e-22,1.1679303558708634e-26,6.747825282157174e-19,2.0049615501072677e-23,5.727987409032841e-28,-7.812324394237285e-26,5.736518019518807e-26,7.582623455841872e-22
