Time (s),Volume (m^3),Ne,N2,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(41),COX(42),CHOX(51),CH2O2X(43),CH3OX(38),CH3X(25),CH4(24),CH4X(158),SX(46),CH3O2X(40),SX(93),SX(44),SX(115)
1.6814306704858477e-11,0.0007926750507772021,0.0,0.0,0.002012573649606347,0.799894755364657,0.09999422945402277,0.09999999984535407,1.428754467036226e-19,1.5562763359207455e-34,7.664422919771393e-22,7.1917379825706266e-40,6.781689682281518e-56,6.497430508279918e-05,2.930106279765601e-17,2.731517488381382e-20,7.728145640945564e-24,5.770390871782127e-06,1.5464589792227966e-10,1.572787804028557e-20,5.52574936487952e-22,4.809122153013531e-25,8.156184884586716e-30,4.22353795981887e-38,4.635831037000881e-40,1.2824476697490423e-42,7.275748280013869e-05,1.55105309047559e-10,3.794457332644232e-19,1.613467595144205e-27,1.5283359195493574e-39,9.07906396129479e-47,2.97618064915464e-50,5.5028660318985195e-50,9.602976264262106e-61,1.508959009343345e-40,1.1857936517702981e-74,1.0844566882799083e-59,9.735620111693401e-76
1.6908353517650667e-11,0.0007926750507772021,0.0,0.0,0.002011841107566267,0.7998941943573976,0.09999422763416743,0.09999999984541036,1.449960502761729e-19,1.5941845674633877e-34,7.789031656560591e-22,7.492443680138589e-40,7.115859251926552e-56,6.531373504605008e-05,2.954584601183e-17,2.7355610593535406e-20,7.873010208021939e-24,5.772210783738238e-06,1.5458960450042898e-10,1.5920683494087425e-20,5.554068950557837e-22,4.834942536757853e-25,8.35080564989309e-30,4.3508949574225855e-38,4.736131123289575e-40,1.3360752425852535e-42,7.314877507791938e-05,1.5504869515063215e-10,3.835468182564277e-19,1.642342519437425e-27,1.5824778146309826e-39,9.406662160629256e-47,3.118380727976797e-50,5.765781347841139e-50,9.94430439091805e-61,1.5420399926006571e-40,1.2441746432839093e-74,1.1292026974790241e-59,1.0270412028891127e-75
1.7002400330442856e-11,0.0007926750507772021,0.0,0.0,0.0020111090529157613,0.7998936336395351,0.09999422588867887,0.0999999998454666,1.4707775774701928e-19,1.6327794046424865e-34,7.914929408937993e-22,7.803801748963511e-40,7.464277874080445e-56,6.565291775746128e-05,2.97930180735287e-17,2.699099193601691e-20,8.019781033566984e-24,5.773956328900002e-06,1.5453334856547732e-10,1.6114553041867322e-20,5.582360239173572e-22,4.860744026694084e-25,8.548830318941987e-30,4.4812757819815585e-38,4.837998354576809e-40,1.3916027839786253e-42,7.353990158468197e-05,1.549921201925023e-10,3.8766805519454193e-19,1.6715484298802803e-27,1.6381962879817416e-39,9.743980303569857e-47,3.2664632094447147e-50,6.039572260382174e-50,1.0295556488033585e-60,1.5756450231197432e-40,1.3050986876285179e-74,1.1754814791615207e-59,1.0831010271163785e-75
1.7096447143235046e-11,0.0007926750507772021,0.0,0.0,0.002010377483870369,0.7998930732108374,0.09999422421613201,0.09999999984552284,1.4920192483460314e-19,1.6720689344839646e-34,8.04212168899035e-22,8.126121295679547e-40,7.827458254404332e-56,6.599185347141107e-05,3.00404839144902e-17,2.7675685715548905e-20,8.168483235957238e-24,5.7756289322698585e-06,1.5447712997940075e-10,1.630948408603859e-20,5.610623271851715e-22,4.886526642524581e-25,8.750296112593791e-30,4.6147325840557046e-38,4.941447625003975e-40,1.4490854359750772e-42,7.393086242550954e-05,1.549355840115981e-10,3.9180941683843585e-19,1.701086833532614e-27,1.695527225864299e-39,1.009124389245633e-46,3.420633669531035e-50,6.324618821548221e-50,1.0656956224439735e-60,1.6097791575555816e-40,1.3686621006746628e-74,1.2233343775654522e-59,1.1418487499752434e-75
1.7190493956027235e-11,0.0007926750507772021,0.0,0.0,0.0020096463986736487,0.7998925130710728,0.09999422261512882,0.09999999984557902,1.5138243215726488e-19,1.7120612864450639e-34,8.170613993066464e-22,8.459718397951629e-40,8.205928105074727e-56,6.633054244149993e-05,3.0287887526548226e-17,2.7690201485104515e-20,8.319115274280038e-24,5.777229991958688e-06,1.544209486091289e-10,1.6505474038602992e-20,5.638858089601125e-22,4.912290403889288e-25,8.955240396918451e-30,4.751318064878091e-38,5.046493872549726e-40,1.508579584513794e-42,7.432165770513095e-05,1.5487908644894666e-10,3.9597087598686183e-19,1.7309592300650183e-27,1.7545070988905575e-39,1.0448682172171093e-46,3.581103539407398e-50,6.621311909501229e-50,1.1028730814870715e-60,1.6444474678179133e-40,1.43496429163082e-74,1.2728035284893457e-59,1.2033953746131433e-75
1.7284540768819425e-11,0.0007926750507772021,0.0,0.0,0.002008915795596662,0.7998919532200104,0.09999422108429756,0.09999999984563515,1.5352549085567893e-19,1.752764632338951e-34,8.300411801816605e-22,8.804916215694679e-40,8.600230481748124e-56,6.66689849205601e-05,3.053760114823812e-17,2.7406222239795265e-20,8.471700030292078e-24,5.778760879693074e-06,1.543648043189138e-10,1.6702520321246757e-20,5.667064733315566e-22,4.938035330367057e-25,9.16370068234716e-30,4.891085478179795e-38,5.153152078700503e-40,1.5701428792816135e-42,7.471228752792658e-05,1.548226273481262e-10,4.001524054775542e-19,1.7611671117768464e-27,1.8151729675855363e-39,1.0816528166394935e-46,3.7480902330962773e-50,6.930053465973488e-50,1.141111105125386e-60,1.679655040957898e-40,1.5041078441037947e-74,1.32393186720777e-59,1.2678557459687714e-75
1.7378587581611615e-11,0.0007926750507772021,0.0,0.0,0.0020081856729374527,0.7998913936574203,0.09999421962229232,0.09999999984569127,1.5571408372677291e-19,1.794187186260024e-34,8.431520580231807e-22,9.16204510329882e-40,9.010924125728626e-56,6.700718116067089e-05,3.078754802380074e-17,2.80339879127301e-20,8.626261952362473e-24,5.780222941312349e-06,1.5430869697736565e-10,1.6900620365478272e-20,5.6952432437746755e-22,4.963761441473539e-25,9.375714623183281e-30,5.034088632062645e-38,5.261437268124839e-40,1.6338342537471927e-42,7.510275199793346e-05,1.5476620655521998e-10,4.0435397818712927e-19,1.791711963614399e-27,1.8775624879646097e-39,1.1195018713922994e-46,3.9218172833894765e-50,7.251256737304764e-50,1.1804331333924779e-60,1.7154069790554193e-40,1.5761985987794371e-74,1.376763136356359e-59,1.3353486577483394e-75
1.7472634394403804e-11,0.0007926750507772021,0.0,0.0,0.0020074560290205506,0.7998908343830732,0.09999421822779277,0.09999999984574734,1.579543963784991e-19,1.836337204510019e-34,8.563945777683053e-22,9.531442722866484e-40,9.438583811396777e-56,6.734513141316415e-05,3.103757319790047e-17,2.8026963531397257e-20,8.782798942948099e-24,5.781617497257306e-06,1.5425262645734595e-10,1.7099771612747805e-20,5.723393661645128e-22,4.989468756664535e-25,9.591320016534789e-30,5.180381890857428e-38,5.371364508349192e-40,1.6997139453759778e-42,7.54930512188507e-05,1.5470982391877048e-10,4.085755670309866e-19,1.822595263189291e-27,1.9417139171212234e-39,1.1584394505060035e-46,4.1025144692633467e-50,7.585346519109858e-50,1.2208629703092744e-60,1.7517083991068623e-40,1.6513457377660324e-74,1.4313418937796527e-59,1.4059969616425707e-75
1.7566681207195994e-11,0.0007926750507772021,0.0,0.0,0.002006726862196473,0.7998902753967402,0.09999421689950334,0.09999999984580336,1.601603305106247e-19,1.8792229855247794e-34,8.69769282796032e-22,9.913454158456444e-40,9.88380069892036e-56,6.768283592863379e-05,3.12897930965016e-17,2.7822603784377025e-20,8.941335498372286e-24,5.782945843049242e-06,1.541965926293328e-10,1.7299971514524906e-20,5.751516027481608e-22,5.015157295337014e-25,9.810554801511001e-30,5.330020176910601e-38,5.482948909432682e-40,1.767843516025123e-42,7.588318529404464e-05,1.546534792897347e-10,4.1281714496321235e-19,1.8538184807969817e-27,2.0076661188227254e-39,1.198490011807599e-46,4.290417949876631e-50,7.9327594046054405e-50,1.2624247870186595e-60,1.7885644329132233e-40,1.7296618705943077e-74,1.4877135203347602e-59,1.4799276788151543e-75
1.7660728019988183e-11,0.0007926750507772021,0.0,0.0,0.002005998170841241,0.7998897166981936,0.09999421563615293,0.09999999984585937,1.6241434305259833e-19,1.9228528698017085e-34,8.832767149311543e-22,1.0308432031337616e-39,1.0347182692295048e-55,6.802029495694982e-05,3.154220149735517e-17,2.839007247642096e-20,9.101894854400313e-24,5.784209249759458e-06,1.5414059536819415e-10,1.7501217532415086e-20,5.779610381727726e-22,5.04082707682737e-25,1.0033457058729456e-29,5.483058972425381e-38,5.596205623645709e-40,1.8382858725188605e-42,7.627315432655385e-05,1.5459717252143965e-10,4.170786849764827e-19,1.885383079435469e-27,2.075458569119327e-39,1.2396784055719254e-46,4.485770406252323e-50,8.293944036624438e-50,1.3051431249122546e-60,1.8259802269688683e-40,1.8112631218984826e-74,1.545924227661354e-59,1.5572721136915626e-75
1.7754774832780373e-11,0.0007926750507772021,0.0,0.0,0.0020052699533559064,0.799889158287206,0.0999942144364945,0.09999999984591533,1.6471461769557003e-19,1.9672352398279968e-34,8.969174144481427e-22,1.0716736616258792e-39,1.0829354802773243e-55,6.835750874726348e-05,3.1794840861282674e-17,2.836797193186153e-20,9.264475048336037e-24,5.785408964470842e-06,1.5408463455235864e-10,1.770350713825396e-20,5.80767676471715e-22,5.066478120414572e-25,1.0260065009264184e-29,5.639554321282455e-38,5.711149845149815e-40,1.9111052874054077e-42,7.66629584190942e-05,1.5454090346953915e-10,4.213601601019692e-19,1.9172905148241295e-27,2.1451313619628147e-39,1.28202987818056e-46,4.688821174419767e-50,8.669361363346132e-50,1.3490428987851272e-60,1.8639609423507475e-40,1.89626922082845e-74,1.6060210659101094e-59,1.638165970081911e-75
