Time (s),Volume (m^3),Ne,N2,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(52),COX(53)
7.203387605884832e-10,0.0007926750507772021,0.0,0.0,0.0004348409136174995,0.7986119667632245,0.09999843676968657,0.09999999996658804,1.451726756632535e-15,8.550861883020764e-15,3.3848579611916754e-19,3.721436395844999e-18,2.678231375989385e-19,0.0006635677556923125,9.28575743331025e-17,2.6789445809064373e-19,8.784202775406483e-20,1.2729895796305168e-06,3.3410519925545454e-11,2.90106915161564e-07,5.801399576182037e-21,2.9404966614092968e-24,1.0037338664141826e-10,2.7016297345218977e-17,2.31188604374285e-36,4.809451266338638e-19,0.0010561042050847493,3.343818294405815e-11
7.209876281918163e-10,0.0007926750507772021,0.0,0.0,0.0004345471703144285,0.7986117268250698,0.09999843742738472,0.09999999996661062,1.4539918816400527e-15,8.582372487706163e-15,3.3917062272194996e-19,3.739128909725801e-18,2.692501498543842e-19,0.0006636768935407659,9.279521000470475e-17,3.8194231242172724e-19,8.791371115180752e-20,1.272120055198538e-06,3.3387949092433465e-11,2.903185024424298e-07,5.802349747443442e-21,2.9407793828171507e-24,1.0063499572227726e-10,2.7109555890262717e-17,3.54433325233736e-36,4.832075969880592e-19,0.0010562894682600871,3.34155558412007e-11
7.216364957951493e-10,0.0007926750507772021,0.0,0.0,0.00043425404052161543,0.7986114874284452,0.09999843808338225,0.09999999996663313,1.4561404498141847e-15,8.613965115461584e-15,3.3981242785933883e-19,3.7568855100061095e-18,2.7068312876174797e-19,0.0006637858839097436,9.273109946044646e-17,2.0788124793406306e-19,8.798536901770593e-20,1.271252350477792e-06,3.33654255563747e-11,2.9052997019677406e-07,5.803298633040485e-21,2.9410616833492785e-24,1.0089698611264755e-10,2.720302253061201e-17,2.8817377597045984e-36,4.854781168364193e-19,0.0010564742637039996,3.3392976009048974e-11
7.222853633984823e-10,0.0007926750507772021,0.0,0.0,0.0004339615228280405,0.79861124857214,0.09999843873768317,0.09999999996665561,1.458117425726541e-15,8.645639885703501e-15,3.4039079902524635e-19,3.774706349920523e-18,2.7212209189881345e-19,0.0006638947272063349,9.266429227432529e-17,1.9088724833084644e-19,8.805698582703695e-20,1.270386461273149e-06,3.3342948908354005e-11,2.907413185921746e-07,5.804246236496107e-21,2.9413435642243476e-24,1.0115935787453336e-10,2.7296697418286426e-17,1.968663503460053e-36,4.877567046834905e-19,0.001056658592424452,3.337044333885108e-11
7.229342310018153e-10,0.0007926750507772021,0.0,0.0,0.0004336696158262969,0.7986110102549452,0.09999843939029156,0.09999999996667802,1.460327795003605e-15,8.677396917867796e-15,3.410560120859693e-19,3.792591582843893e-18,2.735670568701148e-19,0.0006640034238362335,9.260140402387139e-17,3.8644325091450125e-19,8.812863972064736e-20,1.269522383400079e-06,3.332051910814912e-11,2.9095254779605053e-07,5.805192561369904e-21,2.9416250266584417e-24,1.014221110697779e-10,2.7390580704889e-17,3.268006955397557e-36,4.900433790476121e-19,0.0010568424554271178,3.334795772213367e-11
7.235830986051483e-10,0.0007926750507772021,0.0,0.0,0.0004333783181125773,0.7986107724756548,0.09999844004121136,0.0999999999667004,1.462588277712613e-15,8.709236331409684e-15,3.417400339325191e-19,3.8105413622910736e-18,2.7501804130692213e-19,0.0006641119742038952,9.253949297160958e-17,2.8874971587343797e-19,8.820029993887738e-20,1.2686601126839661e-06,3.329813632292956e-11,2.911636579756686e-07,5.806137611208492e-21,2.9419060718633574e-24,1.0168524576004895e-10,2.7484672541606812e-17,3.487044983539132e-36,4.923381584608757e-19,0.001057025853715382,3.332551905070103e-11
7.242319662084814e-10,0.0007926750507772021,0.0,0.0,0.00043308762828666436,0.7986105352330662,0.0999984406904466,0.09999999996672275,1.464563140181314e-15,8.741158245803688e-15,3.4231820683912104e-19,3.828555841916637e-18,2.764750628672263e-19,0.0006642203787124756,9.247304677374368e-17,1.3684936062556599e-19,8.827189942400512e-20,1.267799644961586e-06,3.3275800213240666e-11,2.913746492981394e-07,5.807081389493338e-21,2.9421867010447754e-24,1.0194876200684611e-10,2.757897307921195e-17,1.9468799561690447e-36,4.94641061469085e-19,0.001057208788290347,3.330312721663432e-11
7.248808338118144e-10,0.0007926750507772021,0.0,0.0,0.0004327975449519215,0.7986102985259799,0.09999844133800127,0.09999999996674502,1.4666553263350328e-15,8.773162780543565e-15,3.4294019552467764e-19,3.846635175514618e-18,2.779381392357233e-19,0.0006643286377637156,9.24086061273146e-17,3.317203604096704e-19,8.834351154063567e-20,1.266940976080918e-06,3.3253510516080076e-11,2.9158552193041263e-07,5.808023899729317e-21,2.9424669154052404e-24,1.0221265987151427e-10,2.7673482468061087e-17,2.658873622344049e-36,4.96952106631716e-19,0.0010573912601508412,3.3280782112290666e-11
7.255297014151474e-10,0.0007926750507772021,0.0,0.0,0.0004325080667152812,0.7986100623531986,0.09999844198387932,0.09999999996676727,1.4689965206433368e-15,8.805250055142276e-15,3.436549240944938e-19,3.864779517018236e-18,2.794072881237995e-19,0.0006644367517580844,9.234837171965731e-17,3.814793792524251e-19,8.841516807253782e-20,1.266084101899566e-06,3.323126746064995e-11,2.9179627603928173e-07,5.80896514544918e-21,2.942746716144435e-24,1.0247693941523012e-10,2.776820085809539e-17,3.942208603456708e-36,4.99271312521876e-19,0.0010575732702934205,3.325848363030247e-11
7.261785690184804e-10,0.0007926750507772021,0.0,0.0,0.0004322191921872324,0.7986098267135289,0.09999844262808474,0.09999999996678947,1.4710610536374133e-15,8.837420189131908e-15,3.4426702028022706e-19,3.8829890204996315e-18,2.808825272695159e-19,0.0006645447210948343,9.228377481695052e-17,1.4105394591779896e-19,8.848676742602528e-20,1.2652290182857735e-06,3.3209070911627475e-11,2.9200691179138537e-07,5.80990513011044e-21,2.943026104455804e-24,1.0274160069899801e-10,2.7863128398841904e-17,2.3980587804804986e-36,5.015986977262639e-19,0.0010577548197123778,3.323623166357646e-11
