Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44),CH2OX2(50),CH3X(53),CH4(39),H(23),CH4X(405),CH2OX(174),CHOX(173)
7.894183634568198e-10,0.0005377589567108198,0.0915567593028733,0.0,0.0007503174240806723,0.45152358369972645,1.241713535102853e-40,0.4565035033894124,1.1094658842245966e-17,3.9480359302257585e-25,1.0310172508492878e-16,7.640178917485441e-27,-1.0135527959291452e-35,3.8089312721500626e-05,3.7842954362067193e-16,3.7001188876559216e-24,1.9812527771793134e-18,3.9150539564320057e-16,3.0446056269626565e-11,6.183689879458887e-23,7.73446906093958e-22,3.232921436234343e-19,5.468323014346975e-26,1.2137815177648861e-30,1.4665502314928798e-31,2.963241017427333e-28,0.0003971089211681325,1.3344874375231189e-14,9.235838855010055e-25,4.192927785623724e-28,1.9170842530819235e-20,1.8679039510049372e-30,3.4725750381379745e-28,1.5722062586055897e-29,3.2507753627440362e-25,7.328812399399005e-24,-7.166912692435474e-23,6.46319077212494e-33,2.552162120878237e-32
7.94750479407423e-10,0.0005377589567108198,0.0915567593028733,0.0,0.0007477957096309084,0.4515236477106926,1.25660781018907e-40,0.4565021785211506,1.1159130521933516e-17,4.008756782786725e-25,1.0350988098163753e-16,7.717841590892011e-27,-1.0135621264415599e-35,3.796129078900156e-05,3.8258032898415925e-16,3.6889756303314934e-24,1.968587884660614e-18,3.9570798703687647e-16,3.058747923990597e-11,6.256908839894373e-23,5.788242927926338e-22,3.2231818979638453e-19,5.535807666017694e-26,1.0689247170796196e-30,1.4674553277620787e-31,2.993360676011185e-28,0.0003984337892885156,1.3409602688298012e-14,9.303628510285676e-25,4.209903461351635e-28,1.9317512828321608e-20,1.889509112121176e-30,3.4763455933788213e-28,5.89198198267145e-28,3.2368371393887816e-25,7.3661037772831e-24,-7.166830245212279e-23,6.539236214034855e-33,2.582212492184747e-32
8.000825953580263e-10,0.0005377589567108198,0.0915567593028733,0.0,0.0007452909139190163,0.4515237112922103,1.2715607443189313e-40,0.4565008625417065,1.1223189645012285e-17,4.069542644630931e-25,1.0391544863103223e-16,7.79611713995561e-27,-1.0135644663867478e-35,3.783412775352366e-05,3.8674488876714605e-16,3.6778994055503084e-24,1.9560063979266032e-18,3.9992402369695104e-16,3.0728344294395584e-11,6.330366497843081e-23,9.448895586926043e-22,3.2135009630928677e-19,5.603736027102678e-26,1.3724795516927194e-30,1.4683172890956469e-31,3.023718011355478e-28,0.00039974976859173173,1.3474113833093098e-14,9.371279713625628e-25,4.226706393006445e-28,1.9463774095628396e-20,1.9112803726623544e-30,3.4799515523473938e-28,-6.138267711740097e-28,3.2228993744032627e-25,7.403263632139158e-24,-7.166570149206176e-23,6.61552596728771e-33,2.612359054566425e-32
8.054147113086295e-10,0.0005377589567108198,0.0915567593028733,0.0,0.0007428028672791189,0.451523774448586,1.2865719668399085e-40,0.4564995553619406,1.128683894682262e-17,4.130390668027345e-25,1.0431845771658457e-16,7.875165152235932e-27,-1.0135612048583177e-35,3.770781500175441e-05,3.909231306718423e-16,3.666889602083052e-24,1.9435087147667407e-18,4.041534164585093e-16,3.086865504119527e-11,6.404085986029633e-23,7.404542534717437e-22,3.2038781026463424e-19,5.672204578602865e-26,1.228201804083228e-30,1.4691369703685487e-31,3.05437492011844e-28,0.00040105694821737344,1.3538409264150775e-14,9.438791775562216e-25,4.243337959694831e-28,1.9609624923906083e-20,1.9332184647689182e-30,3.4833958460180928e-28,1.4252828074305767e-28,3.2089617188702636e-25,7.440292867250317e-24,-7.166505988192874e-23,6.692077774457856e-33,2.642610869399927e-32
8.107468272592327e-10,0.0005377589567108198,0.0915567593028733,0.0,0.0007403314023068708,0.45152383718406924,1.3016411109518154e-40,0.45649825689390144,1.135008117476614e-17,4.1912980502124215e-25,1.047189346069449e-16,7.954897954804768e-27,-1.0135583110785893e-35,3.758234403518965e-05,3.951149633246308e-16,3.655945625329749e-24,1.9310951812229602e-18,4.0839607704123735e-16,3.10084150524054e-11,6.478075219334447e-23,6.391372102429689e-22,3.1943127958514695e-19,5.741180701373204e-26,1.152048883175361e-30,1.469915135283133e-31,3.0852973978357515e-28,0.0004023554161168636,1.3602490421443366e-14,9.506164036380048e-25,4.259799532108936e-28,1.9755063992122947e-20,1.9553235837633157e-30,3.486680793402975e-28,4.231479147570184e-28,3.1950243500533226e-25,7.477192376703264e-24,-7.166394252866999e-23,6.76888838698578e-33,2.6729645183167084e-32
8.16078943209836e-10,0.0005377589567108198,0.0915567593028733,0.0,0.0007378763538218555,0.4515238995028527,1.3167678126801289e-40,0.45649696705080584,1.1412919086652203e-17,4.25226203206683e-25,1.0511689327880204e-16,8.035270255272683e-27,-1.013559040248596e-35,3.745770646822927e-05,3.993202962631502e-16,3.645066896180286e-24,1.9187660938710467e-18,4.1265191803773558e-16,3.114762786303024e-11,6.552281224685811e-23,9.403767489341303e-22,3.184804529320095e-19,5.810591652884409e-26,1.4131344708067594e-30,1.4706524874232122e-31,3.1164678775369854e-28,0.0004036452590732089,1.3666358730576717e-14,9.5733958653531e-25,4.276092468844788e-28,1.9900090060348243e-20,1.9775968224090444e-30,3.489808895540587e-28,-5.919734604224411e-28,3.181087418284077e-25,7.513963045512307e-24,-7.166152944413417e-23,6.845933137875652e-33,2.7034111522420436e-32
8.214110591604392e-10,0.0005377589567108198,0.0915567593028733,0.0,0.0007354375588307936,0.4515239614090736,1.3319517110518647e-40,0.45649568574702,1.147535544912074e-17,4.313279898008795e-25,1.0551236369130591e-16,8.116414839566099e-27,-1.0135609121782612e-35,3.733389402630474e-05,4.035390399257791e-16,3.634252822597473e-24,1.9065217020135114e-18,4.1692085290204495e-16,3.12862969763716e-11,6.626733215931703e-23,7.348830620336488e-22,3.175352792915162e-19,5.88052735935419e-26,1.2655687122866658e-30,1.4713497534706927e-31,3.147937860739461e-28,0.0004049265627203314,1.3730015602979143e-14,9.640486659994622e-25,4.292218134668374e-28,2.0044701971374838e-20,2.0000385666679467e-30,3.492782724843367e-28,1.876498115601016e-28,3.1671506157643065e-25,7.550605749741127e-24,-7.166091107614226e-23,6.923204911593941e-33,2.733948148449712e-32
8.267431751110424e-10,0.0005377589567108198,0.0915567593028733,0.0,0.0007330148564914843,0.4515240229068146,1.3471924490293805e-40,0.45649441289804016,1.1537393036136094e-17,4.374348975626775e-25,1.0590537421089826e-16,8.198249381254147e-27,-1.0135609788829531e-35,3.7210898544048145e-05,4.0777110563887046e-16,3.623502829533684e-24,1.8943622097894124e-18,4.21202795938362e-16,3.142442586140892e-11,6.701453812934326e-23,6.452496654363323e-22,3.1659570842236037e-19,5.950971957420459e-26,1.1929604506019648e-30,1.4720076933193523e-31,3.1796754166385216e-28,0.00040619941156201395,1.3793462436088572e-14,9.707435845335489e-25,4.30817788680447e-28,2.0188898650271347e-20,2.0226486548876253e-30,3.4956046717751307e-28,4.370553596151787e-28,3.1532140930958137e-25,7.587121356622528e-24,-7.16597624817568e-23,7.000717990429682e-33,2.7645792162613285e-32
8.320752910616457e-10,0.0005377589567108198,0.0915567593028733,0.0,0.0007306080880774283,0.45152408400010474,1.3624896730017627e-40,0.45649314842047406,1.1599034627547135e-17,4.43546663478979e-25,1.062959372555598e-16,8.280726755093082e-27,-1.0135603052504954e-35,3.708871196350002e-05,4.1201640560421805e-16,3.612816362890585e-24,1.8822877782061525e-18,4.254976622899264e-16,3.1562017950756336e-11,6.77638674289571e-23,9.607911700149497e-22,3.1566169079024317e-19,6.021848624357115e-26,1.4745823882124498e-30,1.4726270404045401e-31,3.2116622673824013e-28,0.0004074638889904841,1.3856700613537941e-14,9.774242873216212e-25,4.323973071416156e-28,2.033267910571578e-20,2.0454282354838726e-30,3.498277141656729e-28,-6.663481093640044e-28,3.139278012907757e-25,7.62351072467625e-24,-7.165726108845182e-23,7.078471288864916e-33,2.7953060085409267e-32
8.374074070122489e-10,0.0005377589567108198,0.0915567593028733,0.0,0.0007282170969431384,0.45152414469292035,1.3778430324092798e-40,0.45649189223202286,1.1660283007711484e-17,4.496630287084403e-25,1.0668408096308145e-16,8.363987991755726e-27,-1.013560088058889e-35,3.696732633234556e-05,4.162748528892315e-16,3.6021928485027764e-24,1.870298527096465e-18,4.2980536792809004e-16,3.16990766466152e-11,6.85155652487597e-23,7.439745308505031e-22,3.147331771615152e-19,6.093246516907358e-26,1.3178705673629695e-30,1.4732084820379273e-31,3.2439531122515475e-28,0.00040872007730464115,1.3919731505335645e-14,9.840907221598226e-25,4.339605033244644e-28,2.0476042425155725e-20,2.068377822469459e-30,3.500802539167338e-28,1.903550889552921e-28,3.1253420514837125e-25,7.659774703824886e-24,-7.165671977204711e-23,7.156453720404071e-33,2.8261248958252364e-32
8.427395229628521e-10,0.0005377589567108198,0.0915567593028733,0.0,0.0007258417284901354,0.4515242049891853,1.3932521802729594e-40,0.4564906442514632,1.1721140964182652e-17,4.557837385305934e-25,1.0706983432293182e-16,8.447951912382688e-27,-1.0135599669935103e-35,3.684673380218821e-05,4.2054636141486046e-16,3.591631727493467e-24,1.8583945370021818e-18,4.34125829641564e-16,3.183560531860501e-11,6.926993336583285e-23,6.117925447644498e-22,3.138101190488172e-19,6.165157660603787e-26,1.1998540039901709e-30,1.4737526917592718e-31,3.276516465530013e-28,0.0004099680577279213,1.3982556468043888e-14,9.907428393892868e-25,4.355075110620346e-28,2.0618987765378656e-20,2.091497081078845e-30,3.5031831956542554e-28,5.978469276830573e-28,3.1114063489537465e-25,7.695914135507857e-24,-7.165572923284167e-23,7.23466418293764e-33,2.8570322929911083e-32
