Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44),CH2OX2(50),CH3X(53),CH4(39),H(23),CH4X(405)
6.741244249061625e-09,0.0027149456784039327,0.0915567593028733,0.0,0.0028121187176646883,0.4515111680641732,1.324596965561298e-39,0.45434308933935774,1.7579133516993426e-17,-1.3994890615744564e-17,1.4162621635855e-16,7.889690345127058e-21,2.9930718368189745e-31,6.292058365772987e-05,1.9813811350552764e-14,-2.0757394128429857e-22,1.764926243707858e-19,1.9828049115851318e-14,1.73429800440813e-10,1.7444762224780422e-17,1.2234840517572514e-21,1.0378900441370257e-19,5.877089970677849e-20,-9.637228692660922e-25,6.265179378538069e-32,2.930925274803079e-22,0.0025575228282198573,9.68836855905501e-14,3.2909246315242463e-23,4.749647581591974e-26,1.843617139236395e-19,4.185735733672609e-24,-7.0721214558628415e-25,4.12629936220507e-26,-4.021221478345881e-23,9.13296835852205e-23,-1.3199708031345696e-21
6.781190365032436e-09,0.0027149456784039327,0.0915567593028733,0.0,0.0028015660918011987,0.4515112861544907,1.336770288051793e-39,0.4543376949359209,1.7620852137087244e-17,-1.3994841437450858e-17,1.4195282846655853e-16,7.99205922532048e-21,2.990669374761813e-31,6.268440302190888e-05,1.9990289404258536e-14,1.832101529448042e-22,1.7501453046991605e-19,2.000456774530024e-14,1.7380462863893358e-10,1.744432051382791e-17,1.2246588689240679e-21,1.034125671583116e-19,5.909901718584171e-20,2.254142396670116e-24,6.256063826333733e-32,2.9689431454148913e-22,0.0025629172312817408,9.724294870768385e-14,3.3077643023948976e-23,4.735140489087279e-26,1.8518969122559678e-19,4.2170517814528415e-24,-7.021500297519186e-25,-4.2009843249630865e-26,-4.0403198565988137e-23,9.163311208699414e-23,-1.3144582549864106e-21
6.821136481003247e-09,0.0027149456784039327,0.0915567593028733,0.0,0.002791093269656622,0.45151140335189455,1.3489715493483794e-39,0.4543323413272591,1.766255920416666e-17,-1.3994792636843963e-17,1.42277069476162e-16,8.094658700932899e-21,2.9889939672198644e-31,6.245000821332494e-05,2.0167137663456768e-14,-2.378206600767431e-23,1.7384698436705024e-19,2.0181456281324458e-14,1.7417542290554423e-10,1.744388105383093e-17,1.2274554362948694e-21,1.0303888188918882e-19,5.943042601223813e-20,1.9414224643744524e-25,6.24691445041195e-32,3.0070465939658894e-22,0.0025682708395725652,9.760086634346622e-14,3.324540099548065e-23,4.7207259648805425e-26,1.8601334984336992e-19,4.2489786735358595e-24,-6.971425266927426e-25,1.2351132658109583e-26,-4.059334446780981e-23,9.193511525527129e-23,-1.3090450157249858e-21
6.861082596974058e-09,0.0027149456784039327,0.0915567593028733,0.0,0.0027806993520155883,0.4515115196664462,1.3612005470174447e-39,0.45432702805370345,1.7703916094923163e-17,-1.399474420942784e-17,1.425989681781573e-16,8.196050386610763e-21,2.989528929506953e-31,6.22173791093835e-05,2.0344353332258915e-14,-1.4196974770142927e-22,1.726453586395735e-19,2.0358711931417777e-14,1.7454221684424944e-10,1.7443443825185223e-17,1.2297321224330014e-21,1.0266791862351608e-19,5.976002522430249e-20,-4.659078486042017e-25,6.237732781754325e-32,3.0447013858336065e-22,0.0025735841127612984,9.795744865334592e-14,3.341252297386296e-23,4.706403113330591e-26,1.8683271790173738e-19,4.2825322927186706e-24,-6.921888529054851e-25,2.842202177586578e-26,-4.078254859954314e-23,9.223570516976136e-23,-1.3037188365240042e-21
6.90102871294487e-09,0.0027149456784039327,0.0915567593028733,0.0,0.002770383453131836,0.4515116351080561,1.3734570815145232e-39,0.4543217546624701,1.7744745134199817e-17,-1.3994696150777648e-17,1.4291854797546715e-16,8.296972936417159e-21,2.990672643625861e-31,6.19864958889019e-05,2.052193364634333e-14,1.7541382477372507e-22,1.7124382430117843e-19,2.0536331934483203e-14,1.7490504370806211e-10,1.7443008808448098e-17,1.2310168380900286e-21,1.0229964781305049e-19,6.008502315546101e-20,2.277228107423307e-24,6.228519760815772e-32,3.0821818910682514e-22,0.0025788575036316485,9.831270567856464e-14,3.357901171325793e-23,4.6921710504914794e-26,1.8764782345598467e-19,4.3165055768378466e-24,-6.872882389037465e-25,-4.2268340976396156e-26,-4.0970938489418517e-23,9.253489376301738e-23,-1.2983707785278026e-21
6.940974828915681e-09,0.0027149456784039327,0.0915567593028733,0.0,0.002760144700476851,0.45151174968648694,1.3857409550395082e-39,0.4543165207075321,1.7785530135885925e-17,-1.399464845653838e-17,1.4323583181646908e-16,8.39900986465579e-21,2.9909415968639145e-31,6.17573390264755e-05,2.069987587241695e-14,-1.9081280438441864e-23,1.7010921919058025e-19,2.07143135603617e-14,1.7526393640617326e-10,1.744257598388678e-17,1.2337489379353556e-21,1.0193404033664195e-19,6.041202082327364e-20,1.1456544879059431e-25,6.219276887002401e-32,3.1200763150690173e-22,0.002584091458210555,9.866664734786396e-14,3.3744869977012024e-23,4.6780289038046234e-26,1.8845869439620387e-19,4.349830804654503e-24,-6.824399289171827e-25,1.4896406967560548e-26,-4.115862534202229e-23,9.283269282277205e-23,-1.2930797375799668e-21
6.980920944886492e-09,0.0027149456784039327,0.0915567593028733,0.0,0.002749982234494091,0.45151186341135635,1.3980519713663296e-39,0.4543113257494937,1.782600471842136e-17,-1.3994601122423434e-17,1.4355084483618483e-16,8.50149219364749e-21,2.9904953453158476e-31,6.152988928699119e-05,2.0878177307595293e-14,-1.5857005390326875e-22,1.689441988434403e-19,2.0892654109369464e-14,1.7561892750972763e-10,1.7442145331787598e-17,1.235913159898317e-21,1.0157106749122408e-19,6.073532400325052e-20,-5.190069374248049e-25,6.21000573674957e-32,3.158136107288903e-22,0.0025892864158938256,9.901928347916049e-14,3.391010053673932e-23,4.663975811999802e-26,1.8926535843751269e-19,4.382652136235283e-24,-6.7764318059912545e-25,2.996451333651094e-26,-4.1345586277289877e-23,9.312911399422824e-23,-1.2876980731884804e-21
7.020867060857303e-09,0.0027149456784039327,0.0915567593028733,0.0,0.002739895208358644,0.45151197629213935,1.4103899363925035e-39,0.4543061693554672,1.7865939244436302e-17,-1.3994554144213343e-17,1.4386361303608934e-16,8.603696427101315e-21,2.9902476826065075e-31,6.130412772026673e-05,2.1056835279060652e-14,1.842387602210756e-22,1.6755423060180598e-19,2.1071350911845834e-14,1.7597004925595836e-10,1.744171683290291e-17,1.237075415874315e-21,1.0121070098532439e-19,6.105358937060648e-20,2.5189426341540332e-24,6.20070762967039e-32,3.1960925210896e-22,0.002594442809568995,9.937062378119058e-14,3.407470617144315e-23,4.650010925023956e-26,1.9006784316882099e-19,4.415637291974798e-24,-6.7289726474067265e-25,-4.8422065913525606e-26,-4.15317489266946e-23,9.342416878230526e-23,-1.282234128385712e-21
7.0608131768281146e-09,0.0027149456784039327,0.0915567593028733,0.0,0.0027298827877422272,0.45151208833817125,1.4227546584449747e-39,0.4543010510989533,1.7905832065708393e-17,-1.3994507517754405e-17,1.4417416109063991e-16,8.706299475326011e-21,2.9904261183052064e-31,6.108003565576362e-05,2.1235847143691768e-14,9.386153512241261e-24,1.6644399906460966e-19,2.1250401327710445e-14,1.7631733355190224e-10,1.744129046844902e-17,1.2397943143074402e-21,1.0085291293202664e-19,6.137520046953025e-20,1.2096436628328328e-25,6.19138388935257e-32,3.2341970660973354e-22,0.0025995610657354607,9.972067785512472e-14,3.423868966667196e-23,4.6361334038671795e-26,1.908661760764912e-19,4.448934999628795e-24,-6.68201464992205e-25,1.536411230597993e-26,-4.1717098801120394e-23,9.371786855384155e-23,-1.2769047056636324e-21
7.100759292798926e-09,0.0027149456784039327,0.0915567593028733,0.0,0.002719944150583375,0.45151219955865,1.4351459480673873e-39,0.45429597055972304,1.794547544077808e-17,-1.3994461238957477e-17,1.4448251237076693e-16,8.808939681373307e-21,2.9906272988593e-31,6.0857594697439436e-05,2.1415210287503875e-14,-2.1960727847598542e-22,1.653607544523591e-19,2.1429802746027977e-14,1.7666081197890634e-10,1.7440866219874333e-17,1.2419829942055374e-21,1.0049767584040188e-19,6.169387591764654e-20,-1.0251258975745576e-24,6.182035858499727e-32,3.272315366688158e-22,0.002604641604621955,1.0006945519615169e-13,3.440205381370539e-23,4.6223424203147333e-26,1.9166038452329233e-19,4.4822386958285e-24,-6.635550775922777e-25,4.3215822859269944e-26,-4.190166493080102e-23,9.401022453975447e-23,-1.2715450677065324e-21
7.140705408769737e-09,0.0027149456784039327,0.0915567593028733,0.0,0.0027100784868626993,0.4515123099626391,1.4475636177252847e-39,0.4542909273237038,1.7984501950399123e-17,-1.399441530379667e-17,1.4478869015458737e-16,8.91133405257913e-21,2.9907037364604497e-31,6.06367867187456e-05,2.1594922125276744e-14,2.0848808372982198e-22,1.6396366998569642e-19,2.1609552584580026e-14,1.7700051579752208e-10,1.744044406874727e-17,1.2428041940428882e-21,1.0014496260946896e-19,6.200590848113793e-20,3.108435149089655e-24,6.172664777808822e-32,3.31034226799319e-22,0.002609684840301434,1.0041696519503384e-13,3.4564801408769307e-23,4.6086371567291635e-26,1.924504957224495e-19,4.515438427420039e-24,-6.589574111028841e-25,-6.390657943975445e-26,-4.208546054296337e-23,9.430124783715857e-23,-1.2660606563153817e-21
7.180651524740548e-09,0.0027149456784039327,0.0915567593028733,0.0,0.0027002849983830623,0.45151241955906923,1.4600074817603283e-39,0.4542859209828656,1.8023509077992767e-17,-1.3994369708308187e-17,1.450927177131664e-16,9.014523937511847e-21,2.990708821901642e-31,6.041759385769338e-05,2.1774980100197213e-14,8.664723010445527e-23,1.6286522887425472e-19,2.1789648289445017e-14,1.7733647595187782e-10,1.7440023996773417e-17,1.2455614304501244e-21,9.979474652188723e-20,6.232229592705327e-20,4.032840756125317e-25,6.163271856850566e-32,3.348664649881139e-22,0.002614691180803446,1.0076321713963376e-13,3.472693525228066e-23,4.595016805899349e-26,1.9323653673595835e-19,4.548578127953834e-24,-6.544077861510559e-25,9.048970110355358e-27,-4.2268481987003844e-23,9.459094941144318e-23,-1.260712010199629e-21
7.2205976407113595e-09,0.0027149456784039327,0.0915567593028733,0.0,0.002690562898554549,0.4515125283567417,1.4724773564958396e-39,0.4542809511351125,1.8062408567303828e-17,-1.3994324448589076e-17,1.4539461804675554e-16,9.117901116810129e-21,2.9906482787478877e-31,6.0199998512030774e-05,2.195538168329512e-14,-3.450443720977816e-22,1.619165028873861e-19,2.1970087334586e-14,1.7766872307383899e-10,1.7439605985915176e-17,1.2480168240683057e-21,9.944700123549788e-20,6.263686899168045e-20,-2.2974612896134486e-24,6.153858327279541e-32,3.3870565562912144e-22,0.0026196610282240578,1.0110822021641333e-13,3.488845814812161e-23,4.581480570910292e-26,1.9401853448670445e-19,4.581664423901015e-24,-6.499055351767336e-25,7.647419712703217e-26,-4.245072009059768e-23,9.487934009831048e-23,-1.2553486704079191e-21
