Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51)
5.119749245770085e-18,0.0005394621125486658,0.0915567593028733,0.0,0.0015876369774196115,0.4515426283518911,3.6464192750071564e-73,0.45690061233533025,4.9027380859393565e-52,2.8770859773228575e-62,3.227690423628081e-41,1.0784952006670014e-78,3.534131468148721e-110,8.417680090275298e-12,4.2532223274351145e-32,2.175665717328492e-40,1.2126214842959606e-44,4.2532223489988487e-32,3.1512233344705714e-19,1.8243782812868605e-42,1.5436966886463842e-32,6.667722776244486e-31,1.797978830280256e-52,1.5852625806245226e-67,5.433554238283816e-69,4.345287973283757e-80,5.696715869868348e-12,1.315262525047075e-22,1.1697523867313048e-43,1.064620473687541e-53,1.3108421393783746e-52
1.0239499576556702e-17,0.0005394621125486658,0.0915567593028733,0.0,0.0015876369576084957,0.4515426283476822,1.4825643029184149e-72,0.4569006123296335,1.5688668843713778e-50,9.203279096740406e-61,6.592467552799537e-41,2.759033858782726e-76,3.617292376392872e-107,1.6835361684281227e-11,1.7012891771784723e-31,1.7405220592463524e-39,1.9401824063859348e-43,1.7012891944303843e-31,6.30244728292042e-19,1.458955430644777e-41,6.172306208717704e-32,2.6670717749926138e-30,2.875648106698316e-51,1.013863293099913e-65,4.428922670247742e-68,1.1116215786887268e-77,1.1393432757352992e-11,2.630525306935221e-22,9.35342403608284e-43,1.7028938348974222e-52,5.329633194231822e-52
2.0479000238129938e-17,0.0005394621125486658,0.0915567593028733,0.0,0.0015876369179862663,0.45154262833926456,6.698109542953268e-72,0.4569006123182401,5.020312248097192e-49,2.942876869064901e-59,1.5378220134578174e-40,7.053337434171461e-74,3.6961969315760506e-104,3.367072403166558e-11,6.805157055872823e-31,1.3924004369866676e-38,3.1042522305256015e-42,6.805157193902867e-31,1.260489501826367e-18,1.1662894618531668e-40,2.466939690107096e-31,1.0668145875009931e-29,4.59746130352252e-50,6.479714163600207e-64,4.068427010559768e-67,2.841806796572118e-75,2.2786865963295973e-11,5.261050805013156e-22,7.475395531855044e-42,2.723031986490777e-51,2.4078864779096532e-51
3.0718500899703174e-17,0.0005394621125486658,0.0915567593028733,0.0,0.001587636878364039,0.4515426283308469,1.6487284687248325e-71,0.45690061230684664,2.3516876967533726e-48,1.3763531904595971e-58,2.886373013301759e-40,5.409867030592789e-73,2.2327762240826895e-103,5.050608553842091e-11,1.4460958797274652e-30,3.9813666046127214e-38,1.183489270703641e-41,1.4460959191982609e-30,1.890734259205049e-18,3.3334229724020485e-40,5.239337164269701e-31,2.2669601847995684e-29,1.752163461486515e-49,3.696000233604848e-63,1.3721692261724493e-66,2.17964856244117e-74,3.41802986002127e-11,7.891576237392735e-22,2.136290906156026e-41,1.0020727362428226e-50,5.926972128374721e-51
5.1197502222849645e-17,0.0005394621125486658,0.0915567593028733,0.0,0.0015876367991195922,0.45154262831401154,9.161497290828028e-71,0.45690061228405976,3.371265810732022e-47,2.0074898109102893e-57,1.1075832674181393e-39,5.6580752451791855e-71,1.5476937878440612e-100,8.417680518940637e-11,3.998029671414529e-30,1.8296486368131446e-37,9.73202031707452e-41,3.998029852848776e-30,3.151223709339847e-18,1.529927036351681e-39,1.4464524691064083e-30,6.267329546226168e-29,1.4387373982635244e-48,1.0336884604588216e-61,1.4428210513045447e-65,2.2796522343229715e-72,5.696716159794143e-11,1.3152626839358497e-21,9.800907183098232e-41,7.70927122715268e-50,3.293443058455014e-50
6.962860341368147e-17,0.0005394621125486658,0.0915567593028733,0.0,0.001587636727799596,0.4515426282988597,2.5770956782916244e-70,0.4569006122635516,1.1866771600087493e-46,7.183129534513905e-57,2.729345631376189e-39,3.610687003675759e-70,1.5719258510767585e-99,1.1448045015918318e-10,7.119306121984748e-30,4.11847128637436e-37,2.8383495926662797e-40,7.119306530453934e-30,4.285664162261889e-18,3.441367284135275e-39,2.5732632623716924e-30,1.1160081535129336e-28,4.1929094365612135e-48,4.601219231291749e-61,5.392260177263753e-65,1.4547545469755461e-71,7.747533645735976e-11,1.7887572168854697e-21,2.2040926786004913e-40,2.1244359077022752e-49,9.264334172061578e-50
8.805970460451329e-17,0.0005394621125486658,0.0915567593028733,0.0,0.001587636656479607,0.4515426282837079,6.266594339196818e-70,0.45690061224304346,3.162587660283894e-46,1.8972403809067901e-56,5.7971923609708096e-39,1.3869437129984766e-69,5.999109315431414e-99,1.4478409225400372e-10,1.1113337003927712e-29,7.784080727064025e-37,6.4946295275828014e-40,1.111333777606958e-29,5.4201045599320736e-18,6.499490689551742e-39,4.0130634716661235e-30,1.742076832133159e-28,9.58802859780465e-48,1.4076496188227295e-60,1.524662065717974e-64,5.588029841151797e-71,9.798350937072401e-11,2.262251727366431e-21,4.161757908538606e-40,4.7840032757090895e-49,2.2527615768481586e-49
1.064908057953451e-16,0.0005394621125486658,0.0915567593028733,0.0,0.0015876365851596244,0.45154262826855607,1.324356440244514e-69,0.4569006122225353,7.126963671238924e-46,4.295684819954804e-56,1.1038782268670696e-38,4.564503796004339e-69,2.760712636650997e-98,1.750877316331139e-10,1.5931776877161252e-29,1.3010642705188108e-36,1.2843451768468518e-39,1.5931778167958888e-29,6.554544905411027e-18,1.0856001060482568e-38,5.7477829521165306e-30,2.4973561364340353e-28,1.894779617112696e-47,3.675041087392027e-60,3.788228331539719e-64,1.8390496440824278e-70,1.184916804458342e-10,2.7357462166233644e-21,6.949811338574911e-40,9.19794684020191e-49,4.760893968896638e-49
1.4335300817700876e-16,0.0005394621125486658,0.0915567593028733,0.0,0.0015876364425196736,0.4515426282382524,4.1099483174382e-69,0.45690061218151895,2.4265584415204523e-45,1.4997324449042811e-55,2.9904219367830746e-38,3.525680005371561e-68,4.6460014488783703e-97,2.3569500419817237e-10,2.74487059879287e-29,2.7775708141376033e-36,3.592458513761204e-39,2.74487087444606e-29,8.823425477347805e-18,2.3149881889624855e-38,9.887670360374354e-30,4.302561854712982e-28,5.292781398216472e-47,1.697323217477039e-59,1.6644192605509136e-63,1.4205050203428824e-69,1.595080184039507e-10,3.6827351467362315e-21,1.4814914226211377e-39,2.383509790862597e-48,1.4774742071267074e-48
1.802152105586724e-16,0.0005394621125486658,0.0915567593028733,0.0,0.0015876362998797464,0.45154262820794877,1.0227147005610768e-68,0.4569006121405026,6.267561539648686e-45,3.902794086404575e-55,6.607203737764539e-38,1.4336524889292143e-67,2.4912918374446857e-96,2.963022667247704e-10,4.201298571031429e-29,5.050619965928298e-36,8.04396107501384e-39,4.201299072423785e-29,1.1092305856364595e-17,4.205023765262278e-38,1.5111549886401887e-29,6.58533783878703e-28,1.1838168671143023e-46,5.251406588713099e-59,5.057505150312651e-63,5.776220628971599e-69,2.0052434956713405e-10,4.629723998396469e-21,2.6901393450736844e-39,5.056528344489129e-48,3.6765289495422404e-48
2.1707741294033604e-16,0.0005394621125486658,0.0915567593028733,0.0,0.0015876361572398443,0.4515426281776451,2.2472192915487507e-68,0.45690061209948624,1.4085882696057266e-44,8.81327843425744e-55,1.2966513531498714e-37,4.849266440348153e-67,1.1399140517989474e-95,3.569095185319604e-10,5.983131040018394e-29,8.354558234400537e-36,1.5893079982942512e-38,5.983131869670835e-29,1.3361186029376106e-17,6.948324216148697e-38,2.1487916345851342e-29,9.378039794970857e-28,2.336323238602932e-46,1.3861450894594002e-58,1.3223014076243683e-62,1.95378120314019e-68,2.415406734745011e-10,5.576712766282826e-21,4.4436533936153165e-39,9.58435619613097e-48,8.078465737031792e-48
2.9080181770366336e-16,0.0005394621125486658,0.0915567593028733,0.0,0.001587635871960118,0.4515426281170379,9.553013712713537e-68,0.45690061201745363,6.070741820929451e-44,3.788166254141071e-54,4.111806181064022e-37,7.120754523068754e-66,3.440464705563269e-94,4.781239893836974e-10,1.0541345415106095e-28,1.9270435449567994e-35,5.071346126585649e-38,1.0541347330215703e-28,1.789894574577531e-17,1.5983926304377735e-37,3.7731025040122486e-29,1.6521719360427736e-27,7.431671510881604e-46,8.776205977206151e-58,8.314889249050378e-62,2.86896925748577e-67,3.2357329911293794e-10,7.470690046013394e-21,1.02136304785903e-38,2.9167172520081717e-47,3.434184772370155e-47
3.6452622246699063e-16,0.0005394621125486658,0.0915567593028733,0.0,0.0015876355866804937,0.45154262805643064,2.8096067538092007e-67,0.45690061193542114,1.7882082282699783e-43,1.1116479766310828e-53,9.894664012614054e-37,3.733567977839951e-65,2.4065410222261444e-93,5.993384166877193e-10,1.6421491503535225e-28,3.701724510555372e-35,1.2230912418850386e-37,1.6421495184908205e-28,2.243670462529337e-17,3.0626954221265657e-37,5.858316731871268e-29,2.5736397277131205e-27,1.7876120415107724e-45,3.18767494893163e-57,3.0205763256209194e-61,1.5042635881368346e-66,4.0560589527516564e-10,9.364666985418763e-21,1.9555107019598135e-38,6.881467667402014e-47,1.0100169626120302e-46
5.119750319936452e-16,0.0005394621125486658,0.0915567593028733,0.0,0.001587635016121553,0.4515426279352163,1.649310922446317e-66,0.456900611771356,1.0384380051030471e-42,6.365517184031904e-53,3.9380990474491054e-36,7.648687434660118e-64,1.1117196211591987e-91,8.417671405627859e-10,3.2150213961742623e-28,1.0180728388921855e-34,4.87631907045536e-37,3.2150224102155344e-28,3.1512219872018036e-17,8.374177488589471e-37,1.1388569744379517e-28,5.038108652671647e-27,7.080772351743532e-45,2.748591125718941e-56,2.6265423072679237e-60,3.0816747072824283e-65,5.696709991122635e-10,1.3152619842575512e-20,5.337193132389348e-38,2.716350667955709e-46,5.929053125246973e-46
8.068726510469544e-16,0.0005394621125486658,0.0915567593028733,0.0,0.0015876338750049027,0.45154262769278786,1.8939306018260705e-65,0.4569006114432261,1.1601944904201198e-41,6.89952096045267e-52,2.583207336127318e-35,4.23590062953868e-62,1.4280650220505607e-89,1.3266240653427945e-09,7.948195040495311e-28,4.050199388481272e-34,3.202136833310683e-36,7.948199087742063e-28,4.9663240315861834e-17,3.28864257626739e-36,2.7740290833033873e-28,1.2452119818435184e-26,4.584745580314521e-44,5.048075418193451e-55,4.94064617584373e-59,1.7066546312636678e-63,8.978008528244868e-10,2.0728521470126207e-20,2.087693370955415e-37,1.8142578052435725e-45,6.80841836011465e-45
1.3966678891535726e-15,0.0005394621125486658,0.0915567593028733,0.0,0.001587631592776526,0.451542627207932,3.4633645183582684e-64,0.4569006107869678,2.072012779858254e-40,1.1814171953359499e-50,2.4750698821901557e-34,4.439483567654817e-60,4.970991415914134e-87,2.296335822787967e-09,2.3764493699535298e-27,2.1618768648588285e-33,3.071475791200767e-35,2.3764515443821534e-27,8.596524100365145e-17,1.708717246350865e-35,8.047275975459996e-28,3.72115195009917e-26,4.273576304666473e-43,1.5450410990564196e-53,1.5899174707537976e-57,1.7886786907579683e-61,1.5540591443501257e-09,3.58803083775721e-20,1.0760330923734263e-36,1.7940926279741955e-44,1.2450280610819528e-43
2.5762583653668094e-15,0.0005394621125486658,0.0915567593028733,0.0,0.0015876270283394693,0.4515426262382244,8.235441026293015e-63,0.4569006094744568,4.86650054402104e-39,2.6105198101165303e-49,2.99498287702222e-33,6.532730484310816e-58,2.4254687150365726e-84,4.235750967964873e-09,8.079690213908414e-27,1.3906558547758276e-32,3.723337001276025e-34,8.079704382083153e-27,1.585690815796772e-16,1.0425519833096988e-34,2.5789151095766535e-27,1.263819303155187e-25,4.899574820346316e-42,6.1841232683709606e-52,7.018238090388154e-56,2.632052948310473e-59,2.8665700638163034e-09,6.618381680182816e-20,6.467172528967261e-36,2.2088109130633192e-43,2.9605019102598226e-42
3.7558488415800465e-15,0.0005394621125486658,0.0915567593028733,0.0,0.0015876224639286762,0.4515426252685224,4.262273425285998e-62,0.4569006081619534,2.5483056254029514e-38,1.3431758108186763e-48,1.2192498120828378e-32,5.928012864638774e-57,2.934581633607021e-83,6.175154951914453e-09,1.7169564790445717e-26,4.1355682884510135e-32,1.517321549350213e-33,1.7169607346088588e-26,2.3117270775687507e-16,2.990238089994979e-34,5.21661715069804e-27,2.683247134057538e-25,1.9301198425913475e-41,3.919760636887321e-51,4.6262538137239094e-55,2.3884107536533796e-58,4.179073431867829e-09,9.648723803877028e-20,1.836321629092452e-35,8.838349592566011e-43,1.532210152204029e-41
4.935439317793283e-15,0.0005394621125486658,0.0915567593028733,0.0,0.00158761789954415,0.451542624298826,1.426681617502521e-61,0.4569006068494575,8.68256731286532e-38,4.508849524934209e-48,3.400912851183078e-32,3.3831983600186825e-56,2.802545931672224e-82,8.114547772403602e-09,2.9646057607885117e-26,9.110575502178655e-32,4.236566676210247e-33,2.9646152274499955e-26,3.037761195363333e-16,6.370271282508949e-34,8.59657184936108e-27,4.629052872024393e-25,5.208695090661877e-41,1.587530263243519e-50,1.9485017956945138e-54,1.3630988208300547e-57,5.491569248560006e-09,1.267905720887985e-19,3.876649899148696e-35,2.4383596574587414e-42,5.128641540475641e-41
