Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44),CH2OX2(50),CH3X(53),CH4(39),H(23),CH4X(405),CH2OX(174),CHOX(173),HCO(31),OCHCO(440)
2.522666957010519e-11,0.002771910154243354,0.1557,0.0,0.008100350927790805,0.6423713096719252,0.2019,1.441516063775159e-87,3.7476906394144476e-54,6.102148636825982e-39,1.1809818633703279e-83,3.0474847603767847e-44,4.9818817303761816e-74,5.738065614588487e-05,2.014275053922134e-45,2.2648946381474884e-54,3.624334246914159e-54,1.4337438534743576e-40,7.624863399308532e-86,2.7533116843406668e-34,3.106118399114723e-88,5.847784973098073e-95,8.578948499222844e-40,3.079024006158023e-45,3.1326102845073363e-99,1.4523677841752593e-45,3.027486376928431e-84,9.251526737796799e-16,1.512160218745772e-43,2.5366384626423078e-42,1.1482240037066378e-88,9.986440132636032e-47,4.711070620163943e-43,1.2990964792500559e-19,-1.8627714807806896e-24,3.6166177262500316e-25,-1.2990758910535212e-19,1.8478190481701648e-45,3.3414942667455796e-44,1.704097133193041e-30,1.0072301072995967e-37
2.529897919973907e-11,0.002771910154243354,0.1557,0.0,0.008100196589311494,0.6423712325026855,0.2019,1.4995108429451836e-87,3.8602097217802125e-54,6.119910032942051e-39,1.222906808699801e-83,3.1254745682788415e-44,5.1340360621098916e-74,5.753499462541546e-05,2.065822143727443e-45,2.319215635129039e-54,3.7328171309541844e-54,1.4542990812926702e-40,7.931249447916326e-86,2.7848568260989854e-34,3.221683925487306e-88,6.06806103702023e-95,8.725970208817524e-40,3.1400508241307985e-45,3.2779793290901004e-99,1.4895360954303352e-45,3.1586845673654697e-84,9.277952374968784e-16,1.5294233550055888e-43,2.5656411536888567e-42,1.1987528611082557e-88,1.0214736575762981e-46,4.7781283930654686e-43,-2.051379360292619e-19,1.3212039563523884e-24,3.637038965766436e-25,2.0513666427875227e-19,1.8786602259906196e-45,3.3954938197637644e-44,1.718690641192099e-30,1.0161523942049066e-37
2.537128882937295e-11,0.002771910154243354,0.1557,0.0,0.008100042330361606,0.6423711553732103,0.2019,1.5596618970318844e-87,3.975737948396877e-54,6.13767603920734e-39,1.266192354233488e-83,3.2052213466188667e-44,5.2904105071490335e-74,5.768925357557666e-05,2.1185304677124554e-45,2.374661544057759e-54,3.8441902026924695e-54,1.4750886418156752e-40,8.249010653843628e-86,2.8166711131738928e-34,3.3411960763888613e-88,6.295951635195283e-95,8.87507313199052e-40,3.2021015863550075e-45,3.4297627549891565e-99,1.5275417418368717e-45,3.2951606352618013e-84,9.304377505596118e-16,1.546832896175067e-43,2.5948904497162316e-42,1.2513611442124231e-88,1.0447562416929983e-46,4.84594024577904e-43,-2.3308093703415047e-21,-5.689339533357943e-25,3.6575149919623756e-25,2.3312482968518115e-21,1.909928401494709e-45,3.450188411760669e-44,1.7333664206984634e-30,1.0251268010985655e-37
2.544359845900683e-11,0.002771910154243354,0.1557,0.0,0.008099888151095757,0.6423710782835775,0.2019,1.6220428610008153e-87,4.094345943150153e-54,6.155446707255021e-39,1.3108785794799395e-83,3.2867592746122743e-44,5.451110474542923e-74,5.7843432841554436e-05,2.1724226153681935e-45,2.4312519792608394e-54,3.9585209651541727e-54,1.4961145197697985e-40,8.578534799746673e-86,2.848756054075559e-34,3.4647773176437913e-88,6.531696560337756e-95,9.026280500014396e-40,3.2651903208722865e-45,3.5882296503309965e-99,1.5664010124844816e-45,3.437110665917301e-84,9.330802129940256e-16,1.5643896531149416e-43,2.624387723667152e-42,1.30612854170162e-88,1.0684993808289948e-46,4.914512351418766e-43,2.8000839572535257e-22,-5.816722210498473e-25,3.6780457762494987e-25,-2.7964277751392976e-22,1.9416282165959192e-45,3.505584572143629e-44,1.7481246919991398e-30,1.0341534732216766e-37
2.551590808864071e-11,0.002771910154243354,0.1557,0.0,0.008099734051667869,0.6423710012338636,0.2019,1.6867297802315827e-87,4.2161058314959255e-54,6.173222089161547e-39,1.3570066822313226e-83,3.3701231197135093e-44,5.61624384386801e-74,5.799753226883232e-05,2.2275215649506177e-45,2.4890068498558285e-54,4.0758783473361277e-54,1.5173787114190165e-40,8.920222335560566e-86,2.8811131615117424e-34,3.5925538291561787e-88,6.775542713697227e-95,9.179615743113954e-40,3.3293312165672995e-45,3.753660363007019e-99,1.6061304768049015e-45,3.584737774445564e-84,9.357226248263209e-16,1.5820944388701358e-43,2.6541343522319638e-42,1.3631377161556686e-88,1.092710800574571e-46,4.983850915153927e-43,2.3606885264692234e-19,-2.865864708850264e-24,3.698631289981597e-25,-2.360658069339878e-19,1.9737643492640403e-45,3.561688868132505e-44,1.7629656752592797e-30,1.043232555737429e-37
2.558821771827459e-11,0.002771910154243354,0.1557,0.0,0.008099580032232415,0.6423709242241462,0.2019,1.7538010121921455e-87,4.341091163621688e-54,6.191002237418813e-39,1.4046189282970386e-83,3.4553482054617857e-44,5.7859208448982195e-74,5.8151551703609093e-05,2.2838506622298513e-45,2.547946339349399e-54,4.1963326310288117e-54,1.5388832239616161e-40,9.274485860668287e-86,2.9137439521018326e-34,3.7246554203922713e-88,7.027743786706558e-95,9.33510247796557e-40,3.3945386138786304e-45,3.926346142675695e-99,1.6467469692479547e-45,3.738251838253337e-84,9.383649860827473e-16,1.5999480685134367e-43,2.6841317155891627e-42,1.422474195309672e-88,1.1173983305690079e-46,5.053962171961458e-43,2.1187813325392724e-20,-9.013075369137038e-25,3.719271504458692e-25,-2.1186290782012475e-20,2.0063415114624746e-45,3.618507902183316e-44,1.777889590530185e-30,1.0523641937362116e-37
2.5660527347908468e-11,0.002771910154243354,0.1557,0.0,0.008099426092943401,0.6423708472545017,0.2019,1.8233372497535645e-87,4.469376908703268e-54,6.20878720492627e-39,1.453758655953406e-83,3.5424704066067574e-44,5.9602540553256336e-74,5.830549099241939e-05,2.341433617268602e-45,2.6080909043996874e-54,4.319955445132506e-54,1.5606300751685897e-40,9.641750245512453e-86,2.9466499462757645e-34,3.86121532570692e-88,7.288560346707435e-95,9.492764504169439e-40,3.46082699621142e-45,4.106589379437281e-99,1.688267586958546e-45,3.8978695883684113e-84,9.410072967896025e-16,1.6179513590883758e-43,2.714381197315088e-42,1.4842264160747674e-88,1.1425699032702277e-46,5.124852386244248e-43,-2.2380449196409095e-20,-5.090363771339989e-25,3.73996639092861e-25,2.2381711903852954e-20,2.039364449474159e-45,3.676048311018054e-44,1.7928966577519036e-30,1.06154853223726e-37
2.5732836977542348e-11,0.002771910154243354,0.1557,0.0,0.008099272233954236,0.642370770325007,0.2019,1.8954216430004994e-87,4.601039513562235e-54,6.226577045003257e-39,1.504470327256317e-83,3.6315261700341465e-44,6.13935850430038e-74,5.8459349982094694e-05,2.400294518251705e-45,2.669461284624352e-54,4.4468198211563166e-54,1.5826212936654131e-40,1.0022453270866978e-85,2.979832668369614e-34,4.002370464959377e-88,7.558260196712285e-95,9.652625809797694e-40,3.528210997205225e-45,4.294704290799176e-99,1.7307096997493694e-45,4.0638149873057454e-84,9.43649556973235e-16,1.6361051296638513e-43,2.7448841844691456e-42,1.5484858893218643e-88,1.1682335576132897e-46,5.196527852924024e-43,-1.9135274174733699e-19,1.1377616835545204e-24,3.760715920585736e-25,1.913520220787599e-19,2.072837945109435e-45,3.734316766488528e-44,1.807987096750178e-30,1.0707857161867013e-37
2.5805146607176227e-11,0.002771910154243354,0.1557,0.0,0.008099118455417281,0.6423706934357383,0.2019,1.9701398875212173e-87,4.7361569443908697e-54,6.244371811397547e-39,1.5567995649549335e-83,3.7225525295503283e-44,6.323351746386006e-74,5.861312851960662e-05,2.4604578412570904e-45,2.732078510622065e-54,4.577000232689756e-54,1.6048589190752263e-40,1.0417046091068179e-85,3.01329364669054e-34,4.1482616596871886e-88,7.837118633126137e-95,9.814710575219683e-40,3.596705405854982e-45,4.491017429540659e-99,1.774090957146919e-45,4.236319504293524e-84,9.462917666600423e-16,1.6544102013676269e-43,2.7756420676519592e-42,1.6153473202197264e-88,1.1943974415710068e-46,5.26899489803473e-43,-1.829465602018043e-20,-4.40519290684578e-25,3.781520064570161e-25,1.829514923723892e-20,2.106766816155286e-45,3.793319976193991e-44,1.8231611272343665e-30,1.0800758904562145e-37
2.5877456236810106e-11,0.002771910154243354,0.1557,0.0,0.008098964757484665,0.6423706165867717,0.2019,2.047580684496684e-87,4.87480894040849e-54,6.262171558350353e-39,1.6107933559613039e-83,3.815587200871214e-44,6.512354291356487e-74,5.876682645244489e-05,2.5219485130333415e-45,2.795963949165713e-54,4.710572835823078e-54,1.6273450037796183e-40,1.082599564976391e-85,3.047034414091509e-34,4.2990336825134134e-88,8.125419706557549e-95,9.979043202268444e-40,3.6663251746676734e-45,4.695870044907625e-99,1.818429333661154e-45,4.415623495058687e-84,9.489339258764806e-16,1.6728673977007791e-43,2.8066562415386438e-42,1.684909202341327e-88,1.22106982947852e-46,5.34225988269902e-43,2.9818854924080484e-20,-8.727263334522582e-25,3.802378793959903e-25,-2.981807527937807e-20,2.141155920169766e-45,3.853064688810614e-44,1.838418968780213e-30,1.0894191998320052e-37
