Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44),CH2OX2(50),CH3X(53),CH4(39),H(23),CH4X(405),CH2OX(174),CHOX(173),HCO(31)
4.373305350066666,0.0027079452504016393,0.1557,0.0,0.007616171004187104,0.6421475270274488,0.20189999999999908,3.837468318542794e-23,2.8768952165901953e-16,1.2619084359214168e-23,-8.880336738559622e-31,6.363399559817297e-19,1.2063664290462955e-38,0.0002016777903864922,6.800548218384256e-16,4.277108271877083e-29,8.747897923259862e-20,2.704903479720442e-20,7.206435685666847e-32,2.218291454769038e-22,5.462695816072167e-43,2.445673867658202e-41,1.762943294013426e-23,2.502931181107256e-28,2.1190725165989068e-45,2.163015112255497e-21,2.2344473644775895e-22,0.00015163407735529789,1.1631729898909382e-28,1.4660243422564241e-30,3.8468873273746544e-30,3.6289874387981303e-22,5.333639303699567e-30,8.775113685647001e-29,9.284104627676597e-16,4.146339766745148e-22,3.942138234321671e-17,1.1189904751262237e-32,8.445812589260678e-32,9.131310372475555e-24
4.766511348539946,0.0027079452504016393,0.1557,0.0,0.007603204312320378,0.6421343876253214,0.201899999999999,4.5377190596247064e-23,3.175411077144133e-16,1.304191753785986e-23,2.7916852012085596e-30,6.760803159941686e-19,1.407479328365166e-38,0.00020133236986362814,7.372173267466745e-16,4.7139496248612555e-29,9.639014185883097e-20,2.9291309433449495e-20,8.490173153463876e-32,2.3133599205375624e-22,6.435592422293699e-43,2.878292151322862e-41,1.9016674647848313e-23,2.701749662935563e-28,1.1740102804873271e-45,2.3363113093897192e-21,2.623684204451433e-22,0.00016494618974385693,1.2973597463305119e-28,1.5526497476282019e-30,-7.046163807340796e-30,3.93614040188305e-22,5.643225751160105e-30,9.548451056018543e-29,1.0119598020549277e-15,4.1462397766366028e-22,4.289509110847613e-17,1.1670255415248135e-32,8.807771539607784e-32,9.146661610842226e-24
5.159717347013226,0.0027079452504016393,0.1557,0.0,0.007590288375879516,0.6421212996581382,0.2018999999999989,5.383005450329971e-23,3.484161176830322e-16,1.2217791000369086e-23,-7.293407302458956e-30,5.924273220590035e-19,1.6478766110075207e-38,0.00020098830838196244,7.934854876290304e-16,4.8047512683651196e-29,1.0558758690079982e-19,2.416506552756137e-20,1.0110681255407667e-31,2.088885671796017e-22,7.664088522932789e-43,3.4334507369761094e-41,1.5651152247020285e-23,2.2189239947455166e-28,4.875285269070553e-45,1.915082832562582e-21,3.1339620401120974e-22,0.00017820618766767256,9.474905601051184e-29,1.3180852005306516e-30,1.5983196023215015e-29,3.188807724252849e-22,4.803780952399789e-30,1.0320987949065257e-28,1.0956416780237822e-15,4.146139984767005e-22,4.636564291613485e-17,1.0534952086159148e-32,7.953119444343839e-32,9.162004472201266e-24
5.552923345486506,0.0027079452504016393,0.1557,0.0,0.007577422995308178,0.6421082629236503,0.20189999999999883,6.121918820784527e-23,3.802580696834003e-16,1.4211238282054516e-23,1.87598928569458e-29,7.877179021482598e-19,4.909444856239767e-38,0.00020064560054389898,8.484864496744345e-16,5.802367564611757e-29,1.1502666398713712e-19,3.620766987879874e-20,1.130196457583371e-31,2.6605684090017074e-22,8.56605322890573e-43,3.833764452979416e-41,2.4135649780691253e-23,3.43656606319565e-28,-8.014521377641841e-45,2.977696064697934e-21,3.4508059054432914e-22,0.0001914142760741031,1.8595861831298334e-28,1.954123700014406e-30,-3.472135831635921e-29,5.072098052081826e-22,7.082417954057399e-30,1.1086618736792848e-28,1.1790558923079652e-15,4.146040390794532e-22,4.980382082861303e-17,1.3427340904097178e-32,1.0129715877514955e-31,9.177338846673473e-24
5.946129343959786,0.0027079452504016393,0.1557,0.0,0.007564607971849867,0.6420952772204118,0.20189999999999875,6.584699899202889e-23,4.1330131129791723e-16,1.33814788055524e-23,4.9385599582658164e-30,7.033522688946767e-19,-1.0852591131073615e-38,0.00020030424097397507,9.025825332783818e-16,5.914465951500619e-29,1.2481594482507155e-19,3.0911866826522095e-20,1.2175112078009536e-31,2.432216533994665e-22,9.227415978123288e-43,4.131482073777686e-41,2.071131416665786e-23,2.945404140236826e-28,-9.878116343020876e-45,2.549352670690556e-21,3.7206738451163054e-22,0.00020457065909703577,1.5200387792696179e-28,1.733429570901371e-30,-2.234228304895411e-29,4.3118370142507555e-22,6.293502450230691e-30,1.1854116460188497e-28,1.2627572569094072e-15,4.145940994621345e-22,5.3251602341551565e-17,1.2272668265556146e-32,9.260300300818412e-32,9.192664624350864e-24
6.339335342433066,0.0027079452504016393,0.1557,0.0,0.0075518431075387304,0.6420823423477756,0.20189999999999866,7.236629983655262e-23,4.47504877081928e-16,1.2955730151135502e-23,1.7224151606115528e-30,6.592540686553544e-19,2.0324254419547045e-38,0.0001999642243184498,9.55472969189566e-16,6.133224142761244e-29,1.3492282816928084e-19,2.8037577529529336e-20,1.344668694734398e-31,2.2873120768056785e-22,1.0192052892716164e-42,4.5677137618492374e-41,1.8528809959002402e-23,2.6318724976930073e-28,-3.785878084369589e-46,2.2753791217140234e-21,4.1270665776858553e-22,0.00021767554006046813,1.2602053775111792e-28,1.5439741689880168e-30,-1.412342981004437e-31,3.82643279037634e-22,5.613783767088238e-30,1.2618840766592842e-28,1.346426283817324e-15,4.1458417959244018e-22,5.668673117100212e-17,1.15387869815396e-32,8.708598274163679e-32,9.207981695819677e-24
6.732541340906346,0.0027079452504016393,0.1557,0.0,0.007539128205213364,0.6420694581058919,0.20189999999999858,1.0077151658209246e-22,4.830246173304314e-16,9.408816126661748e-24,-5.875659139875629e-29,3.05337086027466e-19,2.6665621277587064e-37,0.00019962554524581176,1.0073775183071134e-15,5.072479339780802e-29,1.4543378978443563e-19,4.532602059125293e-21,1.9103359822436991e-31,9.960953172779806e-23,1.4482125016576517e-42,6.480702983050315e-41,-7.492960923937399e-25,-1.3794819434338445e-29,5.064089011417904e-44,-1.4399562301227003e-22,5.955426288468972e-22,0.00023072912148194865,-9.94707686178252e-29,-1.3130533018700562e-31,9.967521475254103e-29,-4.5911801455548714e-23,-3.987755026483914e-31,1.3387858231269277e-28,1.4304050608730724e-15,4.145742794588952e-22,6.014296568194985e-17,4.9985038717475514e-33,3.792483775258736e-32,9.22328995165107e-24
7.125747339379626,0.0027079452504016393,0.1557,0.0,0.007526463068450555,0.6420566242957004,0.2018999999999985,1.4026608853710003e-22,5.196221403785396e-16,1.2410656674841649e-23,-7.999236791817091e-30,6.011543103397803e-19,-5.053682199894516e-38,0.0001992881984447896,1.057503939458891e-15,6.596568041684897e-29,1.5615718915296947e-19,2.3969946327676778e-20,2.620589561144716e-31,1.9860224926333518e-22,1.9864452656686148e-42,8.894747255627374e-41,1.3977254255114798e-23,1.9765718941371326e-28,3.0281422975578335e-44,1.701800136936265e-21,8.077784189322273e-22,0.00024373160507562105,6.125049113385489e-29,1.0111155048811433e-30,3.166263786068296e-29,2.8118221474664745e-22,3.695636066971024e-30,1.4141330569955344e-28,1.5137573773322847e-15,4.145643990044907e-22,6.352556854973208e-17,1.0009475703773244e-32,7.561483289563643e-32,9.238589283362583e-24
7.518953337852906,0.0027079452504016393,0.1557,0.0,0.007513847501600335,0.6420438407189308,0.20189999999999841,1.65840931136368e-22,5.5760543313321405e-16,1.3838450923925262e-23,1.3718439927835845e-29,7.401985165514397e-19,-2.043031640272694e-37,0.0001989521786256305,1.106410173414977e-15,7.810332804023193e-29,1.6725004848471145e-19,3.303894362292454e-20,3.0403337262822406e-31,2.6835359156209137e-22,2.304038369825607e-42,1.0344717499936015e-40,2.4368510208195542e-23,3.472417387269224e-28,-4.023050534173597e-44,3.010838565297314e-21,9.216080302481977e-22,0.0002566831917553245,2.0915861315713193e-28,2.2381069861577007e-30,-3.394909799149322e-29,5.125590230487329e-22,8.113181630207466e-30,1.4892791484452393e-28,1.5972842177704332e-15,4.1455453823051195e-22,6.689948708514357e-17,1.3549296523433312e-32,1.02171612201613e-31,9.253879581993793e-24
7.872838736478858,0.0027079452504016393,0.1557,0.0,0.0075025357126538095,0.642032378286178,0.20189999999999833,1.698578316254113e-22,5.930336582383647e-16,1.3064194217954129e-23,-4.609100194841892e-31,6.618103401144364e-19,1.5847608791111035e-38,0.00019865089100369203,1.1493998700446396e-15,7.74716985571033e-29,1.7763365204151546e-19,2.7777145819976683e-20,3.139677659024787e-31,2.280370955626282e-22,2.379587646992273e-42,1.0665238186171914e-40,1.8324192315135573e-23,2.6021971574566924e-28,-1.0001796925475412e-45,2.249262591902056e-21,9.58500969428905e-22,0.00026829626831858627,1.2243880175044084e-28,1.5194448519045382e-30,-5.66003861962554e-30,3.7789367179263207e-22,5.525781444035557e-30,1.5574510513992814e-28,1.6726500530299468e-15,4.1454568034880654e-22,6.996199807418833e-17,1.150292523320994e-32,8.682170994365112e-32,9.26763303760867e-24
8.22672413510481,0.0027079452504016393,0.1557,0.0,0.00749126377602273,0.6420209562391048,0.20189999999999825,2.0041877387644543e-22,6.2960806483809e-16,1.2001904368793561e-23,-2.0282224615943607e-29,5.535112381907816e-19,1.8185009898725932e-37,0.00019835067014528965,1.1912751369978656e-15,7.675563765620826e-29,1.8830886335079194e-19,1.845139447897459e-20,3.6780624477381476e-31,1.857096052655609e-22,2.7874631887869317e-42,1.2530739315131513e-40,1.1989886014040271e-23,1.6935096071181318e-28,-1.8725407867566646e-44,1.4567588511596123e-21,1.11447382475842e-21,0.00027986842582175704,7.668127160936603e-29,1.3090406487243605e-30,4.082707882321333e-29,2.3726129887296317e-22,4.7871540083863385e-30,1.6252620043033368e-28,1.7480643723321066e-15,4.1453683837071304e-22,7.300821406831493e-17,9.362270548011954e-33,7.070615171395801e-32,9.281379009697395e-24
