Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(51),H2X(50)
5.696287601645796e-08,0.0027344314106420324,0.0915567593028733,0.0,0.0005612751064170207,0.45153649529675427,3.8271040045415797e-13,0.4531636670854857,8.841148777250118e-16,1.4986373761569889e-19,2.1293618118625076e-16,3.98052721967132e-18,-2.947241014936815e-29,1.2266118141582044e-05,4.124389203229788e-13,5.03492532105886e-21,1.4438506805654218e-19,2.975553024936429e-14,9.403403295364144e-11,8.457237240971394e-16,-2.50386034415348e-22,2.3957859063180917e-20,7.22565901641934e-18,1.2982442391969888e-20,2.0220203808804522e-32,1.6115928224298846e-19,0.003736945161094751,2.7071537959129375e-13
5.7058569151550275e-08,0.0027344314106420324,0.0915567593028733,0.0,0.0005606132094742606,0.45153650260141764,3.835000945702413e-13,0.45316332883243227,8.842596157922294e-16,1.5000347439593404e-19,2.1297190638641388e-16,3.982582393815565e-18,-2.7783654321247033e-29,1.2251508814637564e-05,4.132323308592384e-13,5.029157432846814e-21,1.4407083516472652e-19,2.975925116504538e-14,9.386997292570486e-11,8.458531405654074e-16,-3.037437582721278e-21,2.3930251727362954e-20,7.206449187039329e-18,4.042060587691078e-20,2.0199504694764228e-32,1.6124242941272804e-19,0.0037372834143113882,2.7088677244142997e-13
5.715426228664259e-08,0.0027344314106420324,0.0915567593028733,0.0,0.0005599537087405524,0.451536509879727,3.842898725164221e-13,0.4531629918038375,8.844040147783532e-16,1.5014306628645147e-19,2.130074047748032e-16,3.9970609479991526e-18,-2.878256954637535e-29,1.2236952195664692e-05,4.140258130249966e-13,5.023323447157491e-21,1.4375811291831965e-19,2.976295986916834e-14,9.370642957193173e-11,8.459822407177394e-16,5.368673577787789e-21,2.390274446270096e-20,7.298331466522624e-18,-5.617053277626744e-20,2.0178803973187445e-32,1.618286736490232e-19,0.003737620443068853,2.710579634222964e-13
5.72499554217349e-08,0.0027344314106420324,0.0915567593028733,0.0,0.0005592965927709016,0.4515365171318079,3.850797339685296e-13,0.45316265599385325,8.845480762223633e-16,1.5028251378455693e-19,2.1304273051078934e-16,4.003089449313981e-18,-3.186556677558152e-29,1.2222448033350897e-05,4.1481936656116356e-13,5.017562507694974e-21,1.4344682137169391e-19,2.976665642710995e-14,9.354340151206037e-11,8.461110260735601e-16,3.8824090788950585e-21,2.387533250598464e-20,7.278682737091468e-18,-3.2449205562461654e-20,2.015827503724666e-32,1.6207272944909594e-19,0.00373795625321542,2.7122895326427477e-13
5.7345648556827214e-08,0.0027344314106420324,0.0915567593028733,0.0,0.0005586418501941756,0.45153652435778546,3.858696786040986e-13,0.45316232139666757,8.846918016895228e-16,1.504218173962943e-19,2.1307840897626391e-16,3.991119263609095e-18,-2.690900020753568e-29,1.220799607795841e-05,4.156129912097954e-13,5.01193547204444e-21,1.4313692293278295e-19,2.977034090611826e-14,9.338088754899809e-11,8.462394983300041e-16,-1.0708254515962361e-20,2.3848013684391126e-20,7.136046882106895e-18,1.329748453567599e-19,2.013786288528236e-32,1.6158790645768468e-19,0.003738290850562865,2.7139974269428705e-13
5.744134169191953e-08,0.0027344314106420324,0.0915567593028733,0.0,0.0005579894697063362,0.4515365315577836,3.8665970610235727e-13,0.4531619880065048,8.848351929061529e-16,1.5056097760949054e-19,2.1311414681701218e-16,4.001414492060651e-18,-1.8019511905867066e-29,1.2193596081301445e-05,4.1640668671429565e-13,5.006161085263907e-21,1.428285508545532e-19,2.977401336930923e-14,9.321888616451113e-11,8.463676593141772e-16,9.780050180467075e-22,2.3820796719095305e-20,7.272958625961404e-18,-4.327610028312422e-21,2.0117421703971507e-32,1.620047328837999e-19,0.003738624240886741,2.7157033243575257e-13
5.753703482701184e-08,0.0027344314106420324,0.0915567593028733,0.0,0.0005573394400724738,0.4515365387319257,3.8744981614416163e-13,0.4531616558176256,8.84978251359509e-16,1.5069999490378305e-19,2.131495555137707e-16,4.006147421934402e-18,-1.458723918748709e-29,1.217924779673224e-05,4.172004528193515e-13,5.0004284444679254e-21,1.425215977737759e-19,2.977767387821946e-14,9.305739580678361e-11,8.464955106178262e-16,2.784470230875215e-21,2.379367364458945e-20,7.298930764973454e-18,-2.4913930487382698e-20,2.009707418916689e-32,1.6219631605263153e-19,0.0037389564299266584,2.717407232086344e-13
5.762315864859492e-08,0.0027344314106420324,0.0915567593028733,0.0,0.0005567564141547216,0.45153654516664804,3.881609854940319e-13,0.45316135787001655,8.851067207252658e-16,1.5082498867701978e-19,2.1318114557051824e-16,4.009021373380309e-18,-1.57379786789103e-29,1.2166378351835285e-05,4.1791490246726695e-13,4.995356038776557e-21,1.422465204225253e-19,2.97809581677842e-14,9.291249025669456e-11,8.466103128644198e-16,-3.0877813030121153e-22,2.3769343006513586e-20,7.268254778655909e-18,1.2042054686737157e-20,2.0078829512346423e-32,1.6231263141849388e-19,0.0037392543776798466,2.718939053784006e-13
5.7709282470178005e-08,0.0027344314106420324,0.0915567593028733,0.0,0.0005561752752972688,0.451536551580615,3.888722212165818e-13,0.45316106088669295,8.852349229866362e-16,1.5094986744056747e-19,2.1321264171200118e-16,4.016712383286194e-18,-1.7121668909086037e-29,1.2153550417531705e-05,4.1862940891122377e-13,4.99025750038404e-21,1.4197261149833517e-19,2.978423287264687e-14,9.276799655061934e-11,8.4672486578588e-16,1.2085347842754044e-21,2.3745090315977928e-20,7.288155211630285e-18,-6.5990133877781e-21,2.0060611533970055e-32,1.626240172277872e-19,0.0037395513611473436,2.720469274841058e-13
5.779540629176109e-08,0.0027344314106420324,0.0915567593028733,0.0,0.0005555960154559376,0.4515365579739151,3.8958352308255375e-13,0.45316076486354384,8.853628592803624e-16,1.5107463154920506e-19,2.1324414542255892e-16,4.02114070087904e-18,-1.7178838760959113e-29,1.2140763817179884e-05,4.193439719675291e-13,4.985120691661476e-21,1.4169987005047853e-19,2.978749803881033e-14,9.262391370762944e-11,8.46839170517886e-16,4.041788399396351e-22,2.3720914105579197e-20,7.284602981301272e-18,1.5986955552855479e-21,2.0042454483862787e-32,1.6280327650673075e-19,0.0037398473844397636,2.72199790043557e-13
5.788153011334417e-08,0.0027344314106420324,0.0915567593028733,0.0,0.0005550186266319749,0.4515365643466359,3.902948908637791e-13,0.4531604697964817,8.854905306372729e-16,1.511992813604029e-19,2.132759175317586e-16,4.013404473344123e-18,-1.0728630620829731e-29,1.2128018375125506e-05,4.200585914532589e-13,4.9801333054754345e-21,1.4142819548433804e-19,2.979075371258086e-14,9.248024080869732e-11,8.469532285752704e-16,-7.218355544923814e-21,2.3696811829014297e-20,7.207928973771143e-18,9.556581759979425e-20,2.0024425393359063e-32,1.624899179851539e-19,0.00374014245164483,2.7235249357236187e-13
5.796765393492725e-08,0.0027344314106420324,0.0915567593028733,0.0,0.0005544431008684487,0.45153657069886494,3.910063243331163e-13,0.45316017568144157,8.856179382205625e-16,1.513238172159373e-19,2.1330752453465688e-16,4.020673201729911e-18,-5.3901018773359826e-30,1.2115313916683348e-05,4.2077326718633415e-13,4.975200705417709e-21,1.4115763085379495e-19,2.9793999937431495e-14,9.23369766637299e-11,8.470670409651173e-16,-5.897514478639263e-22,2.3672787773144385e-20,7.285095739812427e-18,2.0070731862186736e-20,2.0006406742936547e-32,1.6278419695979402e-19,0.0037404365668275317,2.725050385839069e-13
5.8053777756510334e-08,0.0027344314106420324,0.0915567593028733,0.0,0.000553869430253202,0.45153657703068906,3.917178232644595e-13,0.453159882514381,8.857450832793603e-16,1.5144823945872702e-19,2.1333875593721543e-16,4.03123116336674e-18,-6.55064583413305e-30,1.2102650268137978e-05,4.2148799898543896e-13,4.9700475712964274e-21,1.4088830748434117e-19,2.979723675714708e-14,9.219412017162078e-11,8.471806086898202e-16,3.400988516320599e-21,2.3648840609338064e-20,7.338408154237662e-18,-3.500081641714407e-20,1.9988395168712793e-32,1.632116815366655e-19,0.0037407297340302822,2.726574255894036e-13
5.813990157809342e-08,0.0027344314106420324,0.0915567593028733,0.0,0.0005532976069219568,0.45153658334219465,3.9242938743275535e-13,0.45315959029127983,8.858719668071645e-16,1.5157254845528235e-19,2.133704945725292e-16,4.006478506850424e-18,2.5666663800443564e-30,1.2090027256744885e-05,4.2220278666993673e-13,4.9649071948683164e-21,1.4062009729050405e-19,2.980046421909359e-14,9.205167065832268e-11,8.472939331672364e-16,-1.9311608929333917e-20,2.362496358702657e-20,7.100499439692058e-18,2.378794977942129e-19,1.997054719213817e-32,1.622092305338425e-19,0.0037410219572730783,2.7280965509793434e-13
