Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),H2X(53)
7.037113848204813e-19,0.0024393115802153024,0.11111111111111112,0.0,0.007178893976723387,0.22222222222188606,0.22222222222109483,0.22222222222221324,0.22222222222011356,8.114606104688587e-52,6.924236374836482e-41,3.386673421680036e-89,1.5863242858576113e-113,5.379134108184704e-13,3.889607098251764e-19,7.067452627305721e-21,2.1086836110777687e-12,1.127417320703235e-12,8.994322576215938e-15,4.493047024660826e-36,1.9135436014133822e-32,1.9135435167362499e-32,3.6710364327085446e-53,2.9013496738911557e-57,2.496697453025891e-75,2.498735976040989e-72,4.974404377506817e-96,4.9531851686730404e-145,6.723917549227964e-14
1.4074233661850004e-18,0.0024393115802153024,0.11111111111111112,0.0,0.007178893972873135,0.22222222222154986,0.2222222222199674,0.22222222222220425,0.2222222222180049,1.6229220357555472e-51,1.3848480109995621e-40,1.7339492683957078e-86,3.2487461388135056e-110,1.0758272768617603e-12,7.779217488203887e-19,1.4134911235634534e-20,4.217368955230332e-12,2.2548355962766613e-12,1.7988651110052865e-14,3.594441170938829e-35,7.654179698552148e-32,7.654179021134496e-32,1.488950624358235e-52,9.2843310108761e-56,3.195720598076001e-73,1.99899171150438e-71,2.5463624392651703e-93,2.0287959248966178e-141,1.3447840793446584e-13
2.814847328914039e-18,0.0024393115802153024,0.11111111111111112,0.0,0.007178893965172632,0.22222222222087748,0.22222222221771257,0.22222222222218627,0.2222222222137875,3.2458488215037414e-51,2.769698994058335e-40,8.877510514902565e-84,1.8524177382592286e-106,2.1516550066370934e-12,1.5558438251418233e-18,2.8269828421884126e-20,8.434739480095494e-12,4.509672144861142e-12,3.597730317682462e-14,2.875554352824052e-34,3.06167319390219e-31,3.0616726519679188e-31,6.2846186852802414e-52,2.970988021446248e-54,4.0903786397544415e-71,1.5991980613064816e-70,1.3036845001817333e-90,2.313255276571719e-137,2.689568726703471e-13
5.6296952543721165e-18,0.0024393115802153024,0.11111111111111112,0.0,0.007178893949771628,0.2222222222195327,0.2222222222132029,0.2222222222221503,0.22222222220535276,6.491828319329411e-51,5.5394367371339085e-40,4.544960515218401e-81,3.79466776027995e-103,4.30331045694277e-12,3.111687971108582e-18,5.65396626727471e-20,1.686947987606601e-11,9.019345231780614e-12,7.19545873067708e-14,2.300444041629609e-33,1.2246697451781108e-30,1.2246693116307787e-30,3.040119523356429e-51,9.507165049304238e-53,5.235309530471504e-69,1.2793889310564264e-69,6.674468759230276e-88,9.478864010943164e-134,5.379138015481448e-13
1.125939110528827e-17,0.0024393115802153024,0.11111111111111112,0.0,0.0071788939189696204,0.22222222221684312,0.22222222220418356,0.22222222222207832,0.22222222218848328,1.2987816960903012e-50,1.1079484656934467e-39,2.3266851719816846e-78,7.770362988530152e-100,8.606621320574162e-12,6.223376236336462e-18,1.130793306878955e-19,3.373895805296823e-11,1.8038691364621605e-11,1.4390907555236244e-13,1.8403554457570402e-32,4.898681553712429e-30,4.898678085336423e-30,2.058111516845269e-50,3.0422933283067856e-51,6.700231341204285e-67,1.0238242732630505e-68,3.4169248275309816e-85,3.8819853791446825e-130,1.0758276569278815e-12
1.6889086956204423e-17,0.0024393115802153024,0.11111111111111112,0.0,0.007178893888167616,0.22222222221415355,0.22222222219516422,0.22222222222200635,0.2222222221716138,1.9496297506159549e-50,1.6620840997768097e-39,2.0251983297745336e-77,4.9609974442244916e-99,1.2909932147225593e-11,9.335064474857111e-18,1.6961899821642292e-19,5.0608433614832015e-11,2.7058037456464653e-11,2.1586348378374228e-13,5.463555396141419e-32,1.0409702235496494e-29,1.0409691938540694e-29,6.268069535970839e-50,1.4554878434927224e-50,4.5047043985359826e-66,3.0406776512368117e-68,2.974184604762285e-84,2.866051517351976e-129,1.6137415099317595e-12
2.2518782807120576e-17,0.0024393115802153024,0.11111111111111112,0.0,0.007178893857365615,0.22222222221146398,0.22222222218614487,0.22222222222193438,0.22222222215474433,2.603701522347059e-50,2.2164732405873136e-39,1.2098507935942321e-76,5.7653004856821236e-98,1.721324293689706e-11,1.2446752686668931e-17,2.2615866525828584e-19,6.74779065616578e-11,3.6077383507309755e-11,2.878178120009988e-13,1.1904799822602053e-31,1.7757733706817135e-29,1.7757711269904496e-29,1.4907285924295432e-49,4.8171627660769075e-50,2.0725829059072756e-65,6.630543972974137e-68,1.776780511710671e-83,3.1661807101606446e-128,2.1516553605597787e-12
3.377817450895288e-17,0.0024393115802153024,0.11111111111111112,0.0,0.00717889379576162,0.22222222220608484,0.2222222221681062,0.22222222222179047,0.22222222212100537,3.936005401176677e-50,3.326531406763318e-39,2.8513584153667133e-75,5.139419680693738e-96,2.5819864429450254e-11,1.8670129047602326e-17,3.392379981996693e-19,1.0121684631797646e-10,5.411607551278032e-11,4.3172628064753766e-13,3.4555961723407863e-31,3.676515602478247e-29,3.676509089534436e-29,5.359896007588921e-49,2.8106606332860015e-49,2.52488059174231e-64,1.933233669087866e-67,4.187501267459178e-82,2.9445776846361527e-126,3.2274830562398245e-12
4.503756621078519e-17,0.0024393115802153024,0.11111111111111112,0.0,0.007178893734157635,0.2222222222007057,0.2222222221500675,0.22222222222164656,0.22222222208726647,5.329735087085326e-50,4.4393573206712686e-39,1.783277377537394e-74,4.634841721871793e-95,3.4426485786014894e-11,2.4893505310301984e-17,4.523173293509816e-19,1.3495577645787103e-10,7.215476736748685e-11,5.75634455054344e-13,7.5569991013341445e-31,6.252794126563927e-29,6.252779883191169e-29,1.3810183275804083e-48,9.351407764402392e-49,1.1674614022773457e-63,4.254833194225464e-67,2.6189386050004564e-81,2.9089073821379687e-125,4.3033107431829935e-12
5.62969579126175e-17,0.0024393115802153024,0.11111111111111112,0.0,0.00717889367255366,0.22222222219532656,0.22222222213202883,0.22222222222150265,0.22222222205352754,6.859428317881091e-50,5.557011393515443e-39,8.601885129877979e-74,3.3842472073638623e-94,4.3033106996877473e-11,3.1116881467740255e-17,5.653966585840619e-19,1.6869469629445664e-10,9.01934590606605e-11,7.195423142048867e-13,1.4177958738336036e-30,9.552862849550159e-29,9.552836126685025e-29,3.01641687123626e-48,2.521481034004192e-48,4.2785899700852334e-63,8.073382585801619e-67,1.263288581432385e-80,2.2146972499797305e-124,5.379138420765226e-12
